network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.525585,False
ContA-ContC,3.393016,False
ContA-DefaultA,0.905556,False
ContA-DefaultB,10.347791,False
ContA-DefaultC,2.276908,False
ContA-DorsAttnA,0.560383,False
ContA-DorsAttnB,2.046116,False
ContA-LimbicA,14.748808,False
ContA-LimbicB,10.875928,False
ContA-SalVentAttnA,0.75601,False
ContA-SalVentAttnB,3.101028,False
ContA-SomMotA,1.016672,False
ContA-SomMotB,1.260602,False
ContA-TempPar,0.85599,False
ContA-VisCent,3.186594,False
ContA-VisPeri,0.714831,False
ContB-ContA,0.822951,False
ContB-ContB,0.0,True
ContB-ContC,3.878728,False
ContB-DefaultA,5.062431,False
ContB-DefaultB,9.687565,False
ContB-DefaultC,1.493653,False
ContB-DorsAttnA,1.269666,False
ContB-DorsAttnB,0.436734,False
ContB-LimbicA,5.263521,False
ContB-LimbicB,3.610982,False
ContB-SalVentAttnA,0.629579,False
ContB-SalVentAttnB,1.210026,False
ContB-SomMotA,0.989475,False
ContB-SomMotB,1.378375,False
ContB-TempPar,1.030833,False
ContB-VisCent,4.405383,False
ContB-VisPeri,0.011258,False
ContC-ContA,1.434818,False
ContC-ContB,0.873648,False
ContC-ContC,0.0,True
ContC-DefaultA,19.62013,False
ContC-DefaultB,6.289254,False
ContC-DefaultC,0.379991,False
ContC-DorsAttnA,3.12157,False
ContC-DorsAttnB,7.184651,False
ContC-LimbicA,11.453853,False
ContC-LimbicB,8.323693,False
ContC-SalVentAttnA,1.161445,False
ContC-SalVentAttnB,9.309226,False
ContC-SomMotA,4.453308,False
ContC-SomMotB,0.428124,False
ContC-TempPar,11.952465,False
ContC-VisCent,6.052405,False
ContC-VisPeri,4.425899,False
DefaultA-ContA,0.961041,False
DefaultA-ContB,1.460744,False
DefaultA-ContC,13.770579,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.866271,False
DefaultA-DefaultC,1.693176,False
DefaultA-DorsAttnA,0.935597,False
DefaultA-DorsAttnB,3.626884,False
DefaultA-LimbicA,10.069209,False
DefaultA-LimbicB,19.053289,False
DefaultA-SalVentAttnA,8.803516,False
DefaultA-SalVentAttnB,12.249911,False
DefaultA-SomMotA,0.907776,False
DefaultA-SomMotB,1.498218,False
DefaultA-TempPar,7.225378,False
DefaultA-VisCent,3.424889,False
DefaultA-VisPeri,2.527935,False
DefaultB-ContA,2.411767,False
DefaultB-ContB,2.037653,False
DefaultB-ContC,1.181974,False
DefaultB-DefaultA,3.298203,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,10.844224,False
DefaultB-DorsAttnA,1.568825,False
DefaultB-DorsAttnB,0.749016,False
DefaultB-LimbicA,4.21497,False
DefaultB-LimbicB,6.659281,False
DefaultB-SalVentAttnA,3.677122,False
DefaultB-SalVentAttnB,5.368612,False
DefaultB-SomMotA,0.303763,False
DefaultB-SomMotB,1.406555,False
DefaultB-TempPar,2.600566,False
DefaultB-VisCent,2.229046,False
DefaultB-VisPeri,5.149274,False
DefaultC-ContA,0.97501,False
DefaultC-ContB,3.352342,False
DefaultC-ContC,5.704488,False
DefaultC-DefaultA,3.942442,False
DefaultC-DefaultB,11.588696,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.846772,False
DefaultC-DorsAttnB,3.666197,False
DefaultC-LimbicA,1.430431,False
DefaultC-LimbicB,3.028073,False
DefaultC-SalVentAttnA,2.163492,False
DefaultC-SalVentAttnB,3.818638,False
DefaultC-SomMotA,0.086718,False
DefaultC-SomMotB,0.634858,False
