network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,27.954537,False
ContA-ContC,24.497928,False
ContA-DefaultA,14.033536,False
ContA-DefaultB,10.348569,False
ContA-DefaultC,0.030078,False
ContA-DorsAttnA,1.410916,False
ContA-DorsAttnB,2.519124,False
ContA-LimbicA,25.760687,False
ContA-LimbicB,3.638276,False
ContA-SalVentAttnA,1.719793,False
ContA-SalVentAttnB,4.861675,False
ContA-SomMotA,6.347502,False
ContA-SomMotB,10.595618,False
ContA-TempPar,3.297054,False
ContA-VisCent,2.29485,False
ContA-VisPeri,1.246443,False
ContB-ContA,3.982577,False
ContB-ContB,0.0,True
ContB-ContC,24.875038,False
ContB-DefaultA,8.483706,False
ContB-DefaultB,4.894197,False
ContB-DefaultC,0.090401,False
ContB-DorsAttnA,2.108212,False
ContB-DorsAttnB,4.451912,False
ContB-LimbicA,13.404718,False
ContB-LimbicB,0.062331,False
ContB-SalVentAttnA,3.333964,False
ContB-SalVentAttnB,1.924203,False
ContB-SomMotA,2.675867,False
ContB-SomMotB,5.174069,False
ContB-TempPar,6.221249,False
ContB-VisCent,1.148516,False
ContB-VisPeri,3.688269,False
ContC-ContA,0.282717,False
ContC-ContB,3.516689,False
ContC-ContC,0.0,True
ContC-DefaultA,5.546236,False
ContC-DefaultB,4.228237,False
ContC-DefaultC,0.532708,False
ContC-DorsAttnA,1.23688,False
ContC-DorsAttnB,1.131052,False
ContC-LimbicA,0.314134,False
ContC-LimbicB,0.16853,False
ContC-SalVentAttnA,0.632972,False
ContC-SalVentAttnB,0.740562,False
ContC-SomMotA,0.096441,False
ContC-SomMotB,0.406704,False
ContC-TempPar,0.654772,False
ContC-VisCent,1.198062,False
ContC-VisPeri,0.2349,False
DefaultA-ContA,9.548199,False
DefaultA-ContB,11.479392,False
DefaultA-ContC,35.519852,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.938332,False
DefaultA-DefaultC,0.315696,False
DefaultA-DorsAttnA,0.420724,False
DefaultA-DorsAttnB,0.994599,False
DefaultA-LimbicA,4.634696,False
DefaultA-LimbicB,0.474999,False
DefaultA-SalVentAttnA,3.36186,False
DefaultA-SalVentAttnB,1.271867,False
DefaultA-SomMotA,0.530623,False
DefaultA-SomMotB,2.314309,False
DefaultA-TempPar,2.385607,False
DefaultA-VisCent,0.248622,False
DefaultA-VisPeri,1.070841,False
DefaultB-ContA,3.798905,False
DefaultB-ContB,4.924923,False
DefaultB-ContC,6.500809,False
DefaultB-DefaultA,1.182156,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.087739,False
DefaultB-DorsAttnA,1.4645,False
DefaultB-DorsAttnB,5.23857,False
