network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,15.4016,False
ContA-ContC,0.072856,False
ContA-DefaultA,0.652505,False
ContA-DefaultB,3.546725,False
ContA-DefaultC,2.874355,False
ContA-DorsAttnA,0.734139,False
ContA-DorsAttnB,1.868341,False
ContA-LimbicA,8.13191,False
ContA-LimbicB,9.113891,False
ContA-SalVentAttnA,1.941075,False
ContA-SalVentAttnB,6.470209,False
ContA-SomMotA,9.502607,False
ContA-SomMotB,0.094098,False
ContA-TempPar,1.545415,False
ContA-VisCent,0.634406,False
ContA-VisPeri,3.259596,False
ContB-ContA,7.619003,False
ContB-ContB,0.0,True
ContB-ContC,2.350038,False
ContB-DefaultA,0.725799,False
ContB-DefaultB,1.776844,False
ContB-DefaultC,1.233511,False
ContB-DorsAttnA,1.51734,False
ContB-DorsAttnB,0.075274,False
ContB-LimbicA,12.51841,False
ContB-LimbicB,1.450343,False
ContB-SalVentAttnA,6.591288,False
ContB-SalVentAttnB,3.128133,False
ContB-SomMotA,7.614213,False
ContB-SomMotB,1.743373,False
ContB-TempPar,2.155138,False
ContB-VisCent,4.071152,False
ContB-VisPeri,8.627548,False
ContC-ContA,9.440111,False
ContC-ContB,1.887759,False
ContC-ContC,0.0,True
ContC-DefaultA,0.855028,False
ContC-DefaultB,5.29272,False
ContC-DefaultC,1.316776,False
ContC-DorsAttnA,0.978231,False
ContC-DorsAttnB,0.385711,False
ContC-LimbicA,2.570498,False
ContC-LimbicB,0.588582,False
ContC-SalVentAttnA,0.025294,False
ContC-SalVentAttnB,0.176388,False
ContC-SomMotA,3.350639,False
ContC-SomMotB,2.451559,False
ContC-TempPar,0.516195,False
ContC-VisCent,3.138991,False
ContC-VisPeri,3.272566,False
DefaultA-ContA,2.731211,False
DefaultA-ContB,0.130212,False
DefaultA-ContC,7.793619,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.815704,False
DefaultA-DefaultC,0.246782,False
DefaultA-DorsAttnA,2.300759,False
DefaultA-DorsAttnB,1.034387,False
DefaultA-LimbicA,6.218802,False
DefaultA-LimbicB,4.962778,False
DefaultA-SalVentAttnA,1.838392,False
DefaultA-SalVentAttnB,3.327509,False
DefaultA-SomMotA,2.672999,False
DefaultA-SomMotB,0.984914,False
DefaultA-TempPar,0.22356,False
DefaultA-VisCent,2.97248,False
DefaultA-VisPeri,1.622786,False
DefaultB-ContA,1.079312,False
DefaultB-ContB,0.273286,False
DefaultB-ContC,0.185164,False
DefaultB-DefaultA,2.112585,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.735275,False
DefaultB-DorsAttnA,5.901882,False
DefaultB-DorsAttnB,3.413935,False
DefaultB-LimbicA,4.330286,False
DefaultB-LimbicB,3.371349,False
DefaultB-SalVentAttnA,2.935361,False
DefaultB-SalVentAttnB,5.146552,False
DefaultB-SomMotA,1.079138,False
DefaultB-SomMotB,1.141301,False
DefaultB-TempPar,4.664895,False
DefaultB-VisCent,1.777125,False
DefaultB-VisPeri,0.87281,False
DefaultC-ContA,1.693223,False
DefaultC-ContB,4.110723,False
DefaultC-ContC,1.878656,False
DefaultC-DefaultA,3.445203,False
DefaultC-DefaultB,4.766936,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.540586,False
DefaultC-DorsAttnB,0.387641,False
DefaultC-LimbicA,2.490314,False
DefaultC-LimbicB,6.694632,False
DefaultC-SalVentAttnA,1.615378,False
DefaultC-SalVentAttnB,2.357652,False
DefaultC-SomMotA,0.250417,False
DefaultC-SomMotB,2.413743,False
DefaultC-TempPar,3.031293,False
DefaultC-VisCent,1.106168,False
DefaultC-VisPeri,0.183436,False
DorsAttnA-ContA,1.73632,False
DorsAttnA-ContB,0.27417,False
DorsAttnA-ContC,0.648486,False
DorsAttnA-DefaultA,0.496183,False
DorsAttnA-DefaultB,11.100668,False
DorsAttnA-DefaultC,7.066973,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.824877,False
DorsAttnA-LimbicA,0.897187,False
DorsAttnA-LimbicB,0.108708,False
DorsAttnA-SalVentAttnA,2.1519,False
DorsAttnA-SalVentAttnB,0.037183,False
DorsAttnA-SomMotA,0.531694,False
DorsAttnA-SomMotB,7.854481,False
DorsAttnA-TempPar,1.41516,False
DorsAttnA-VisCent,1.517861,False
DorsAttnA-VisPeri,0.983442,False
DorsAttnB-ContA,3.365158,False
DorsAttnB-ContB,2.051641,False
DorsAttnB-ContC,1.130325,False
DorsAttnB-DefaultA,0.642394,False
DorsAttnB-DefaultB,1.275247,False
DorsAttnB-DefaultC,1.403684,False
DorsAttnB-DorsAttnA,5.167402,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,6.147317,False
DorsAttnB-LimbicB,4.642096,False
DorsAttnB-SalVentAttnA,0.452022,False
DorsAttnB-SalVentAttnB,0.492127,False
DorsAttnB-SomMotA,2.119718,False
DorsAttnB-SomMotB,2.894582,False
DorsAttnB-TempPar,0.671933,False
DorsAttnB-VisCent,0.657495,False
DorsAttnB-VisPeri,4.006515,False
LimbicA-ContA,9.199533,False
LimbicA-ContB,8.557009,False
LimbicA-ContC,0.962196,False
LimbicA-DefaultA,1.726448,False
LimbicA-DefaultB,2.706319,False
LimbicA-DefaultC,1.908911,False
