network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,17.840797,False
ContA-ContC,0.488562,False
ContA-DefaultA,0.502842,False
ContA-DefaultB,3.394003,False
ContA-DefaultC,0.988188,False
ContA-DorsAttnA,6.279561,False
ContA-DorsAttnB,5.644884,False
ContA-LimbicA,21.142936,False
ContA-LimbicB,0.338134,False
ContA-SalVentAttnA,0.181888,False
ContA-SalVentAttnB,0.066917,False
ContA-SomMotA,7.327238,False
ContA-SomMotB,0.921435,False
ContA-TempPar,3.285389,False
ContA-VisCent,6.180333,False
ContA-VisPeri,22.000267,False
ContB-ContA,5.558019,False
ContB-ContB,0.0,True
ContB-ContC,0.722575,False
ContB-DefaultA,0.149948,False
ContB-DefaultB,2.192562,False
ContB-DefaultC,5.521137,False
ContB-DorsAttnA,0.839504,False
ContB-DorsAttnB,2.710578,False
ContB-LimbicA,4.50446,False
ContB-LimbicB,1.965909,False
ContB-SalVentAttnA,3.182667,False
ContB-SalVentAttnB,1.753809,False
ContB-SomMotA,2.280447,False
ContB-SomMotB,0.993557,False
ContB-TempPar,2.492817,False
ContB-VisCent,11.16072,False
ContB-VisPeri,3.301532,False
ContC-ContA,1.858137,False
ContC-ContB,0.686643,False
ContC-ContC,0.0,True
ContC-DefaultA,13.661857,False
ContC-DefaultB,2.138356,False
ContC-DefaultC,1.445143,False
ContC-DorsAttnA,0.384638,False
ContC-DorsAttnB,4.405772,False
ContC-LimbicA,4.546998,False
ContC-LimbicB,1.632446,False
ContC-SalVentAttnA,2.321213,False
ContC-SalVentAttnB,8.379408,False
ContC-SomMotA,1.593522,False
ContC-SomMotB,1.100096,False
ContC-TempPar,2.018328,False
ContC-VisCent,1.017896,False
ContC-VisPeri,3.847453,False
DefaultA-ContA,1.444432,False
DefaultA-ContB,1.398026,False
DefaultA-ContC,13.933815,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.499424,False
DefaultA-DefaultC,0.063793,False
DefaultA-DorsAttnA,0.497899,False
DefaultA-DorsAttnB,7.878704,False
DefaultA-LimbicA,1.680514,False
DefaultA-LimbicB,12.815402,False
DefaultA-SalVentAttnA,1.053181,False
DefaultA-SalVentAttnB,9.875895,False
DefaultA-SomMotA,4.029001,False
DefaultA-SomMotB,1.02354,False
DefaultA-TempPar,6.576665,False
DefaultA-VisCent,0.255562,False
DefaultA-VisPeri,9.12268,False
DefaultB-ContA,2.310625,False
DefaultB-ContB,0.49109,False
DefaultB-ContC,3.553333,False
DefaultB-DefaultA,2.94525,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.067148,False
DefaultB-DorsAttnA,3.945173,False
DefaultB-DorsAttnB,5.792443,False
DefaultB-LimbicA,2.538019,False
DefaultB-LimbicB,2.536026,False
DefaultB-SalVentAttnA,0.715692,False
DefaultB-SalVentAttnB,1.041982,False
DefaultB-SomMotA,3.358671,False
DefaultB-SomMotB,0.128221,False
DefaultB-TempPar,1.426217,False
DefaultB-VisCent,2.673875,False
DefaultB-VisPeri,5.907659,False
DefaultC-ContA,4.80826,False
DefaultC-ContB,5.697801,False
DefaultC-ContC,0.704903,False
DefaultC-DefaultA,1.10274,False
DefaultC-DefaultB,36.391491,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.461198,False
DefaultC-DorsAttnB,4.337282,False
DefaultC-LimbicA,4.690486,False
DefaultC-LimbicB,1.645794,False
DefaultC-SalVentAttnA,1.184099,False
DefaultC-SalVentAttnB,0.468568,False
DefaultC-SomMotA,2.952087,False
DefaultC-SomMotB,2.684416,False
DefaultC-TempPar,2.313493,False
DefaultC-VisCent,5.599446,False
DefaultC-VisPeri,1.147663,False
DorsAttnA-ContA,1.625129,False
DorsAttnA-ContB,0.150303,False
DorsAttnA-ContC,4.875991,False
DorsAttnA-DefaultA,6.46669,False
DorsAttnA-DefaultB,12.375313,False
DorsAttnA-DefaultC,9.761418,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.28232,False
DorsAttnA-LimbicA,3.494858,False
DorsAttnA-LimbicB,8.959845,False
DorsAttnA-SalVentAttnA,1.7616,False
DorsAttnA-SalVentAttnB,6.280798,False
DorsAttnA-SomMotA,0.489771,False
DorsAttnA-SomMotB,0.337521,False
DorsAttnA-TempPar,3.51184,False
DorsAttnA-VisCent,3.306141,False
DorsAttnA-VisPeri,5.814978,False
DorsAttnB-ContA,1.747091,False
DorsAttnB-ContB,6.752979,False
DorsAttnB-ContC,0.338086,False
DorsAttnB-DefaultA,0.060959,False
DorsAttnB-DefaultB,0.149138,False
DorsAttnB-DefaultC,1.899291,False
DorsAttnB-DorsAttnA,8.518171,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.686737,False
DorsAttnB-LimbicB,1.503578,False
DorsAttnB-SalVentAttnA,0.536918,False
DorsAttnB-SalVentAttnB,0.120317,False
DorsAttnB-SomMotA,2.89714,False
DorsAttnB-SomMotB,0.053121,False
DorsAttnB-TempPar,3.984954,False
DorsAttnB-VisCent,3.149916,False
DorsAttnB-VisPeri,5.14342,False
LimbicA-ContA,6.277569,False
LimbicA-ContB,3.023668,False
LimbicA-ContC,0.318448,False
LimbicA-DefaultA,0.332878,False
LimbicA-DefaultB,1.563391,False
LimbicA-DefaultC,0.985317,False
LimbicA-DorsAttnA,2.393934,False
LimbicA-DorsAttnB,2.650606,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,0.827936,False
LimbicA-SalVentAttnA,1.211298,False
LimbicA-SalVentAttnB,3.590014,False
LimbicA-SomMotA,4.753139,False
LimbicA-SomMotB,3.274525,False
LimbicA-TempPar,6.078192,False
LimbicA-VisCent,6.588815,False
LimbicA-VisPeri,12.630519,False
LimbicB-ContA,1.696184,False
LimbicB-ContB,0.030912,False
LimbicB-ContC,8.783761,False
LimbicB-DefaultA,10.099191,False
LimbicB-DefaultB,11.078441,False
LimbicB-DefaultC,1.295962,False
LimbicB-DorsAttnA,1.416049,False
LimbicB-DorsAttnB,8.510795,False
LimbicB-LimbicA,12.123844,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,5.830733,False
LimbicB-SalVentAttnB,11.201099,False
LimbicB-SomMotA,4.101119,False
LimbicB-SomMotB,0.191507,False
LimbicB-TempPar,1.503682,False
LimbicB-VisCent,0.714659,False
LimbicB-VisPeri,4.177434,False
SalVentAttnA-ContA,0.345141,False
SalVentAttnA-ContB,0.230824,False
SalVentAttnA-ContC,0.263307,False
SalVentAttnA-DefaultA,4.157796,False
SalVentAttnA-DefaultB,1.268428,False
SalVentAttnA-DefaultC,1.013045,False
SalVentAttnA-DorsAttnA,0.244294,False
SalVentAttnA-DorsAttnB,0.165507,False
SalVentAttnA-LimbicA,0.684728,False
SalVentAttnA-LimbicB,3.711953,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.9995,False
SalVentAttnA-SomMotA,0.256449,False
SalVentAttnA-SomMotB,0.680751,False
SalVentAttnA-TempPar,0.216682,False
SalVentAttnA-VisCent,1.606891,False
SalVentAttnA-VisPeri,0.195991,False
SalVentAttnB-ContA,5.580129,False
SalVentAttnB-ContB,0.458218,False
