network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.395976,False
ContA-ContC,10.018079,False
ContA-DefaultA,5.626475,False
ContA-DefaultB,6.019602,False
ContA-DefaultC,1.47021,False
ContA-DorsAttnA,1.068522,False
ContA-DorsAttnB,0.906268,False
ContA-LimbicA,30.631216,False
ContA-LimbicB,16.429781,False
ContA-SalVentAttnA,0.878581,False
ContA-SalVentAttnB,3.620687,False
ContA-SomMotA,1.975245,False
ContA-SomMotB,1.288635,False
ContA-TempPar,1.682875,False
ContA-VisCent,1.532559,False
ContA-VisPeri,1.829839,False
ContB-ContA,2.461532,False
ContB-ContB,0.0,True
ContB-ContC,11.148422,False
ContB-DefaultA,4.509576,False
ContB-DefaultB,4.22238,False
ContB-DefaultC,0.548979,False
ContB-DorsAttnA,0.610361,False
ContB-DorsAttnB,0.251903,False
ContB-LimbicA,6.494718,False
ContB-LimbicB,15.300052,False
ContB-SalVentAttnA,1.079413,False
ContB-SalVentAttnB,3.480971,False
ContB-SomMotA,4.936977,False
ContB-SomMotB,3.523067,False
ContB-TempPar,2.438187,False
ContB-VisCent,1.550001,False
ContB-VisPeri,2.077989,False
ContC-ContA,1.448383,False
ContC-ContB,4.494869,False
ContC-ContC,0.0,True
ContC-DefaultA,9.365742,False
ContC-DefaultB,5.154329,False
ContC-DefaultC,1.440809,False
ContC-DorsAttnA,1.55689,False
ContC-DorsAttnB,1.665178,False
ContC-LimbicA,2.190809,False
ContC-LimbicB,4.55646,False
ContC-SalVentAttnA,2.124628,False
ContC-SalVentAttnB,3.945178,False
ContC-SomMotA,1.269095,False
ContC-SomMotB,3.747396,False
ContC-TempPar,3.116358,False
ContC-VisCent,5.665791,False
ContC-VisPeri,1.135277,False
DefaultA-ContA,0.774131,False
DefaultA-ContB,11.966648,False
DefaultA-ContC,33.032075,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.050097,False
DefaultA-DefaultC,2.986993,False
DefaultA-DorsAttnA,0.712321,False
DefaultA-DorsAttnB,1.458303,False
DefaultA-LimbicA,8.375945,False
DefaultA-LimbicB,10.564619,False
DefaultA-SalVentAttnA,5.316512,False
DefaultA-SalVentAttnB,0.344023,False
DefaultA-SomMotA,0.983597,False
DefaultA-SomMotB,3.063884,False
DefaultA-TempPar,1.701832,False
DefaultA-VisCent,1.619663,False
DefaultA-VisPeri,1.20094,False
DefaultB-ContA,1.000172,False
DefaultB-ContB,12.964658,False
DefaultB-ContC,19.929496,False
DefaultB-DefaultA,8.968715,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,9.007448,False
DefaultB-DorsAttnA,3.039563,False
DefaultB-DorsAttnB,2.451258,False
DefaultB-LimbicA,2.471339,False
DefaultB-LimbicB,7.912348,False
DefaultB-SalVentAttnA,7.722866,False
DefaultB-SalVentAttnB,0.349912,False
DefaultB-SomMotA,1.02726,False
DefaultB-SomMotB,4.894202,False
DefaultB-TempPar,0.48314,False
DefaultB-VisCent,1.086256,False
DefaultB-VisPeri,0.626359,False
DefaultC-ContA,0.837048,False
DefaultC-ContB,2.986682,False
DefaultC-ContC,2.213607,False
DefaultC-DefaultA,0.567106,False
DefaultC-DefaultB,5.590239,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.539556,False
DefaultC-DorsAttnB,1.059277,False
DefaultC-LimbicA,0.82177,False
DefaultC-LimbicB,1.789484,False
DefaultC-SalVentAttnA,14.358618,False
DefaultC-SalVentAttnB,5.62471,False
DefaultC-SomMotA,1.23728,False
DefaultC-SomMotB,1.803791,False
DefaultC-TempPar,4.935495,False
DefaultC-VisCent,4.819002,False
DefaultC-VisPeri,0.660176,False
DorsAttnA-ContA,2.704636,False
DorsAttnA-ContB,5.522811,False
DorsAttnA-ContC,6.614201,False
DorsAttnA-DefaultA,1.63986,False
DorsAttnA-DefaultB,5.400022,False
DorsAttnA-DefaultC,1.602788,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.151999,False
DorsAttnA-LimbicA,2.362889,False
DorsAttnA-LimbicB,1.81028,False
DorsAttnA-SalVentAttnA,9.580592,False
DorsAttnA-SalVentAttnB,0.153034,False
DorsAttnA-SomMotA,4.934162,False
DorsAttnA-SomMotB,0.491117,False
DorsAttnA-TempPar,0.533619,False
DorsAttnA-VisCent,4.98559,False
DorsAttnA-VisPeri,5.215903,False
DorsAttnB-ContA,4.025453,False
DorsAttnB-ContB,4.062903,False
DorsAttnB-ContC,4.233505,False
DorsAttnB-DefaultA,5.015204,False
DorsAttnB-DefaultB,4.750349,False
DorsAttnB-DefaultC,0.465956,False
DorsAttnB-DorsAttnA,4.28915,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.257867,False
DorsAttnB-LimbicB,2.613035,False
DorsAttnB-SalVentAttnA,4.106414,False
DorsAttnB-SalVentAttnB,2.382416,False
DorsAttnB-SomMotA,0.752199,False
DorsAttnB-SomMotB,1.015125,False
DorsAttnB-TempPar,2.061016,False
DorsAttnB-VisCent,0.852753,False
DorsAttnB-VisPeri,0.42844,False
LimbicA-ContA,11.177572,False
LimbicA-ContB,16.107548,False
LimbicA-ContC,11.485851,False
LimbicA-DefaultA,6.856027,False
LimbicA-DefaultB,1.632057,False
LimbicA-DefaultC,0.383579,False
LimbicA-DorsAttnA,0.347299,False
LimbicA-DorsAttnB,1.677613,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,33.067881,False
LimbicA-SalVentAttnA,0.943319,False
LimbicA-SalVentAttnB,13.431116,False
LimbicA-SomMotA,2.387106,False
LimbicA-SomMotB,3.212832,False
LimbicA-TempPar,1.718026,False
LimbicA-VisCent,0.365795,False
LimbicA-VisPeri,0.693787,False
LimbicB-ContA,1.560328,False
LimbicB-ContB,7.555524,False
LimbicB-ContC,4.575585,False
LimbicB-DefaultA,4.368489,False
LimbicB-DefaultB,0.637673,False
LimbicB-DefaultC,0.475405,False
LimbicB-DorsAttnA,0.702313,False
LimbicB-DorsAttnB,0.776494,False
LimbicB-LimbicA,4.723989,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.189122,False
LimbicB-SalVentAttnB,4.474227,False
LimbicB-SomMotA,4.501583,False
LimbicB-SomMotB,2.767644,False
LimbicB-TempPar,0.829111,False
LimbicB-VisCent,1.110739,False
LimbicB-VisPeri,0.621752,False
SalVentAttnA-ContA,0.872558,False
SalVentAttnA-ContB,0.578709,False
SalVentAttnA-ContC,6.437389,False
SalVentAttnA-DefaultA,1.116245,False
SalVentAttnA-DefaultB,1.222,False
SalVentAttnA-DefaultC,0.281233,False
SalVentAttnA-DorsAttnA,4.391597,False
SalVentAttnA-DorsAttnB,1.16864,False
SalVentAttnA-LimbicA,1.571642,False
SalVentAttnA-LimbicB,0.477723,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.644787,False
SalVentAttnA-SomMotA,4.182968,False
SalVentAttnA-SomMotB,1.08712,False
SalVentAttnA-TempPar,1.349908,False
SalVentAttnA-VisCent,5.601587,False
SalVentAttnA-VisPeri,4.115894,False
SalVentAttnB-ContA,7.157984,False
SalVentAttnB-ContB,4.524136,False
SalVentAttnB-ContC,1.66507,False
SalVentAttnB-DefaultA,1.490707,False
SalVentAttnB-DefaultB,0.389017,False
SalVentAttnB-DefaultC,3.826565,False
SalVentAttnB-DorsAttnA,2.737405,False
SalVentAttnB-DorsAttnB,2.753419,False
SalVentAttnB-LimbicA,17.562568,False
SalVentAttnB-LimbicB,39.613851,False
SalVentAttnB-SalVentAttnA,7.040216,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,6.936597,False
SalVentAttnB-SomMotB,1.788075,False
SalVentAttnB-TempPar,3.761921,False
SalVentAttnB-VisCent,0.427138,False
SalVentAttnB-VisPeri,2.478957,False
SomMotA-ContA,8.328017,False
SomMotA-ContB,11.829725,False
SomMotA-ContC,1.895349,False
SomMotA-DefaultA,0.569939,False
SomMotA-DefaultB,1.50164,False
SomMotA-DefaultC,3.773603,False
SomMotA-DorsAttnA,9.968982,False
SomMotA-DorsAttnB,1.980096,False
SomMotA-LimbicA,16.18654,False
SomMotA-LimbicB,14.900738,False
SomMotA-SalVentAttnA,3.220235,False
SomMotA-SalVentAttnB,13.888071,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,0.530197,False
SomMotA-TempPar,4.586385,False
SomMotA-VisCent,7.10866,False
SomMotA-VisPeri,4.435783,False
SomMotB-ContA,1.598461,False
SomMotB-ContB,5.416349,False
SomMotB-ContC,3.378008,False
SomMotB-DefaultA,5.054618,False
SomMotB-DefaultB,8.451351,False
SomMotB-DefaultC,6.983258,False
SomMotB-DorsAttnA,4.920775,False
SomMotB-DorsAttnB,0.3492,False
SomMotB-LimbicA,0.939933,False
SomMotB-LimbicB,1.692745,False
SomMotB-SalVentAttnA,3.771386,False
SomMotB-SalVentAttnB,0.054234,False
SomMotB-SomMotA,4.064016,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.675155,False
SomMotB-VisCent,1.523851,False
SomMotB-VisPeri,1.905626,False
TempPar-ContA,0.237947,False
TempPar-ContB,1.508306,False
TempPar-ContC,0.595042,False
