network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.065314,False
ContA-ContC,4.399261,False
ContA-DefaultA,1.517973,False
ContA-DefaultB,7.13395,False
ContA-DefaultC,32.449035,False
ContA-DorsAttnA,2.082208,False
ContA-DorsAttnB,0.668284,False
ContA-LimbicA,13.574166,False
ContA-LimbicB,0.777134,False
ContA-SalVentAttnA,0.161958,False
ContA-SalVentAttnB,0.735658,False
ContA-SomMotA,26.050238,False
ContA-SomMotB,9.195439,False
ContA-TempPar,34.142116,False
ContA-VisCent,9.535366,False
ContA-VisPeri,44.984799,False
ContB-ContA,1.649632,False
ContB-ContB,0.0,True
ContB-ContC,5.384077,False
ContB-DefaultA,0.237056,False
ContB-DefaultB,0.315486,False
ContB-DefaultC,7.742609,False
ContB-DorsAttnA,5.335105,False
ContB-DorsAttnB,0.570022,False
ContB-LimbicA,1.124455,False
ContB-LimbicB,0.207659,False
ContB-SalVentAttnA,0.236725,False
ContB-SalVentAttnB,6.645504,False
ContB-SomMotA,13.763781,False
ContB-SomMotB,4.464755,False
ContB-TempPar,13.620961,False
ContB-VisCent,1.546007,False
ContB-VisPeri,27.251312,False
ContC-ContA,0.625445,False
ContC-ContB,3.09654,False
ContC-ContC,0.0,True
ContC-DefaultA,2.253522,False
ContC-DefaultB,2.224052,False
ContC-DefaultC,5.878137,False
ContC-DorsAttnA,1.77361,False
ContC-DorsAttnB,0.019034,False
ContC-LimbicA,0.942701,False
ContC-LimbicB,4.226944,False
ContC-SalVentAttnA,0.929836,False
ContC-SalVentAttnB,0.320633,False
ContC-SomMotA,11.289587,False
ContC-SomMotB,3.291509,False
ContC-TempPar,5.969518,False
ContC-VisCent,0.821808,False
ContC-VisPeri,11.517246,False
DefaultA-ContA,0.326168,False
DefaultA-ContB,2.259446,False
DefaultA-ContC,12.221694,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.100988,False
DefaultA-DefaultC,15.907434,False
