network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.496227,False
ContA-ContC,2.579241,False
ContA-DefaultA,10.705862,False
ContA-DefaultB,5.55838,False
ContA-DefaultC,2.296085,False
ContA-DorsAttnA,1.69481,False
ContA-DorsAttnB,1.327999,False
ContA-LimbicA,26.961844,False
ContA-LimbicB,11.938535,False
ContA-SalVentAttnA,10.074893,False
ContA-SalVentAttnB,8.471389,False
ContA-SomMotA,5.552812,False
ContA-SomMotB,0.743671,False
ContA-TempPar,0.698978,False
ContA-VisCent,0.228056,False
ContA-VisPeri,12.091082,False
ContB-ContA,0.207844,False
ContB-ContB,0.0,True
ContB-ContC,1.769753,False
ContB-DefaultA,1.173071,False
ContB-DefaultB,4.618192,False
ContB-DefaultC,3.272548,False
ContB-DorsAttnA,1.582945,False
ContB-DorsAttnB,0.354798,False
ContB-LimbicA,7.573138,False
ContB-LimbicB,7.81124,False
ContB-SalVentAttnA,2.311654,False
ContB-SalVentAttnB,3.863703,False
ContB-SomMotA,11.328501,False
ContB-SomMotB,0.969215,False
ContB-TempPar,0.372603,False
ContB-VisCent,0.25723,False
ContB-VisPeri,8.245884,False
ContC-ContA,4.43585,False
ContC-ContB,1.275902,False
ContC-ContC,0.0,True
ContC-DefaultA,2.045066,False
ContC-DefaultB,1.467001,False
ContC-DefaultC,0.552815,False
ContC-DorsAttnA,0.71101,False
ContC-DorsAttnB,0.247335,False
ContC-LimbicA,1.387775,False
ContC-LimbicB,4.350798,False
ContC-SalVentAttnA,1.567872,False
ContC-SalVentAttnB,0.567252,False
ContC-SomMotA,1.171417,False
ContC-SomMotB,2.097834,False
ContC-TempPar,1.586808,False
ContC-VisCent,1.552318,False
ContC-VisPeri,2.927733,False
DefaultA-ContA,6.415483,False
DefaultA-ContB,5.763629,False
DefaultA-ContC,9.405859,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.299091,False
DefaultA-DefaultC,1.258569,False
DefaultA-DorsAttnA,0.480241,False
DefaultA-DorsAttnB,1.410081,False
DefaultA-LimbicA,3.081244,False
DefaultA-LimbicB,12.842179,False
DefaultA-SalVentAttnA,5.706057,False
DefaultA-SalVentAttnB,2.536293,False
DefaultA-SomMotA,3.693168,False
DefaultA-SomMotB,2.187788,False
DefaultA-TempPar,0.318638,False
DefaultA-VisCent,1.356459,False
DefaultA-VisPeri,5.251748,False
DefaultB-ContA,1.793871,False
DefaultB-ContB,5.75358,False
DefaultB-ContC,4.107142,False
DefaultB-DefaultA,3.498714,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.629703,False
DefaultB-DorsAttnA,2.472807,False
DefaultB-DorsAttnB,1.792621,False
DefaultB-LimbicA,1.105894,False
DefaultB-LimbicB,4.460283,False
DefaultB-SalVentAttnA,3.198792,False
DefaultB-SalVentAttnB,0.258053,False
DefaultB-SomMotA,0.53181,False
DefaultB-SomMotB,0.269099,False
DefaultB-TempPar,0.844271,False
DefaultB-VisCent,0.463584,False
DefaultB-VisPeri,4.751245,False
DefaultC-ContA,1.281116,False
DefaultC-ContB,1.225979,False
DefaultC-ContC,2.126183,False
DefaultC-DefaultA,0.012884,False
DefaultC-DefaultB,2.472541,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.892756,False
DefaultC-DorsAttnB,0.330315,False
DefaultC-LimbicA,0.627632,False
DefaultC-LimbicB,0.950967,False
DefaultC-SalVentAttnA,0.093422,False
DefaultC-SalVentAttnB,0.418661,False
DefaultC-SomMotA,1.179154,False
DefaultC-SomMotB,0.192101,False
