network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.020228,False
ContA-ContC,1.653567,False
ContA-DefaultA,1.168642,False
ContA-DefaultB,0.232868,False
ContA-DefaultC,0.697042,False
ContA-DorsAttnA,3.993582,False
ContA-DorsAttnB,2.401937,False
ContA-LimbicA,17.841454,False
ContA-LimbicB,5.101919,False
ContA-SalVentAttnA,13.143591,False
ContA-SalVentAttnB,1.169139,False
ContA-SomMotA,7.442955,False
ContA-SomMotB,1.884588,False
ContA-TempPar,0.39938,False
ContA-VisCent,1.869764,False
ContA-VisPeri,2.639703,False
ContB-ContA,3.204022,False
ContB-ContB,0.0,True
ContB-ContC,0.669098,False
ContB-DefaultA,3.587218,False
ContB-DefaultB,5.063828,False
ContB-DefaultC,5.605726,False
ContB-DorsAttnA,2.492151,False
ContB-DorsAttnB,3.523293,False
ContB-LimbicA,3.030314,False
ContB-LimbicB,0.464219,False
ContB-SalVentAttnA,6.919538,False
ContB-SalVentAttnB,0.77805,False
ContB-SomMotA,2.245855,False
ContB-SomMotB,0.060802,False
ContB-TempPar,4.399957,False
ContB-VisCent,0.861196,False
ContB-VisPeri,3.623127,False
ContC-ContA,1.994995,False
ContC-ContB,0.831222,False
ContC-ContC,0.0,True
ContC-DefaultA,5.348253,False
ContC-DefaultB,3.968622,False
ContC-DefaultC,5.174278,False
ContC-DorsAttnA,3.576023,False
ContC-DorsAttnB,1.106848,False
ContC-LimbicA,3.608344,False
ContC-LimbicB,7.197349,False
ContC-SalVentAttnA,3.352442,False
ContC-SalVentAttnB,3.690875,False
ContC-SomMotA,4.238714,False
ContC-SomMotB,9.360202,False
ContC-TempPar,4.194959,False
ContC-VisCent,4.496928,False
ContC-VisPeri,1.566685,False
DefaultA-ContA,0.285962,False
DefaultA-ContB,1.575799,False
DefaultA-ContC,1.923768,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.538157,False
DefaultA-DefaultC,4.182003,False
DefaultA-DorsAttnA,2.695311,False
DefaultA-DorsAttnB,0.620535,False
DefaultA-LimbicA,0.693132,False
DefaultA-LimbicB,5.765458,False
DefaultA-SalVentAttnA,0.681501,False
DefaultA-SalVentAttnB,4.295362,False
DefaultA-SomMotA,2.048859,False
DefaultA-SomMotB,0.710425,False
DefaultA-TempPar,4.15564,False
DefaultA-VisCent,3.495175,False
DefaultA-VisPeri,1.017281,False
DefaultB-ContA,0.942617,False
DefaultB-ContB,0.297819,False
DefaultB-ContC,1.567595,False
DefaultB-DefaultA,5.06646,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.045046,False
DefaultB-DorsAttnA,0.14024,False
