network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.248684,False
ContA-ContC,0.470545,False
ContA-DefaultA,1.084205,False
ContA-DefaultB,3.594303,False
ContA-DefaultC,2.29547,False
ContA-DorsAttnA,0.346032,False
ContA-DorsAttnB,0.662189,False
ContA-LimbicA,4.984156,False
ContA-LimbicB,8.646597,False
ContA-SalVentAttnA,2.231766,False
ContA-SalVentAttnB,4.77412,False
ContA-SomMotA,4.66923,False
ContA-SomMotB,2.119781,False
ContA-TempPar,3.916694,False
ContA-VisCent,5.39469,False
ContA-VisPeri,4.543301,False
ContB-ContA,1.816866,False
ContB-ContB,0.0,True
ContB-ContC,0.699891,False
ContB-DefaultA,0.011606,False
ContB-DefaultB,9.209638,False
ContB-DefaultC,0.472206,False
ContB-DorsAttnA,3.302892,False
ContB-DorsAttnB,2.485633,False
ContB-LimbicA,1.943651,False
ContB-LimbicB,1.373987,False
ContB-SalVentAttnA,0.896235,False
ContB-SalVentAttnB,0.828395,False
ContB-SomMotA,3.801844,False
ContB-SomMotB,0.439642,False
ContB-TempPar,1.372693,False
ContB-VisCent,1.652086,False
ContB-VisPeri,3.98027,False
ContC-ContA,0.029244,False
ContC-ContB,0.456642,False
ContC-ContC,0.0,True
ContC-DefaultA,5.234433,False
ContC-DefaultB,1.890305,False
ContC-DefaultC,0.237624,False
ContC-DorsAttnA,1.470213,False
ContC-DorsAttnB,2.068188,False
ContC-LimbicA,0.784468,False
ContC-LimbicB,0.776834,False
ContC-SalVentAttnA,1.242235,False
ContC-SalVentAttnB,4.136964,False
ContC-SomMotA,1.093753,False
ContC-SomMotB,1.874838,False
ContC-TempPar,0.1835,False
ContC-VisCent,1.298099,False
ContC-VisPeri,0.557484,False
DefaultA-ContA,2.545578,False
DefaultA-ContB,1.40838,False
DefaultA-ContC,15.883555,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.882484,False
DefaultA-DefaultC,0.134647,False
DefaultA-DorsAttnA,4.064437,False
DefaultA-DorsAttnB,0.616682,False
DefaultA-LimbicA,4.076677,False
DefaultA-LimbicB,2.090306,False
DefaultA-SalVentAttnA,1.174432,False
DefaultA-SalVentAttnB,7.360492,False
DefaultA-SomMotA,5.226426,False
DefaultA-SomMotB,1.168501,False
DefaultA-TempPar,0.724684,False
DefaultA-VisCent,2.862438,False
DefaultA-VisPeri,2.857243,False
DefaultB-ContA,2.073814,False
DefaultB-ContB,1.814996,False
DefaultB-ContC,1.348033,False
DefaultB-DefaultA,4.903235,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.100498,False
DefaultB-DorsAttnA,3.723493,False
DefaultB-DorsAttnB,3.62268,False
DefaultB-LimbicA,3.381578,False
DefaultB-LimbicB,0.193123,False
DefaultB-SalVentAttnA,2.253156,False
DefaultB-SalVentAttnB,6.092912,False
DefaultB-SomMotA,7.204437,False
DefaultB-SomMotB,2.406149,False
DefaultB-TempPar,0.680716,False
DefaultB-VisCent,1.191893,False
DefaultB-VisPeri,5.237491,False
DefaultC-ContA,1.510365,False
DefaultC-ContB,3.636335,False
DefaultC-ContC,0.738526,False
DefaultC-DefaultA,0.187111,False
DefaultC-DefaultB,11.862337,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.149614,False
DefaultC-DorsAttnB,0.588387,False
DefaultC-LimbicA,0.714243,False
DefaultC-LimbicB,0.535981,False
DefaultC-SalVentAttnA,5.98966,False
DefaultC-SalVentAttnB,1.046113,False
DefaultC-SomMotA,7.797739,False
DefaultC-SomMotB,1.475873,False
DefaultC-TempPar,1.58759,False
DefaultC-VisCent,1.414254,False
DefaultC-VisPeri,7.688611,False
DorsAttnA-ContA,1.777928,False
DorsAttnA-ContB,0.943481,False
DorsAttnA-ContC,1.072912,False
DorsAttnA-DefaultA,6.032046,False
DorsAttnA-DefaultB,2.791935,False
DorsAttnA-DefaultC,7.692114,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.896945,False
DorsAttnA-LimbicA,0.672199,False
DorsAttnA-LimbicB,0.494531,False
DorsAttnA-SalVentAttnA,2.106343,False
DorsAttnA-SalVentAttnB,1.459492,False
DorsAttnA-SomMotA,0.708922,False
DorsAttnA-SomMotB,0.251556,False
DorsAttnA-TempPar,2.177997,False
DorsAttnA-VisCent,1.662954,False
DorsAttnA-VisPeri,0.174283,False
DorsAttnB-ContA,0.718424,False
DorsAttnB-ContB,0.336915,False
DorsAttnB-ContC,1.305912,False
DorsAttnB-DefaultA,0.642736,False
DorsAttnB-DefaultB,1.35871,False
DorsAttnB-DefaultC,0.102557,False
DorsAttnB-DorsAttnA,0.130623,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.018968,False
DorsAttnB-LimbicB,11.586697,False
DorsAttnB-SalVentAttnA,4.497767,False
DorsAttnB-SalVentAttnB,3.863176,False
DorsAttnB-SomMotA,1.576535,False
DorsAttnB-SomMotB,2.609935,False
DorsAttnB-TempPar,1.336289,False
DorsAttnB-VisCent,1.120461,False
DorsAttnB-VisPeri,0.656122,False
LimbicA-ContA,9.646884,False
LimbicA-ContB,0.071461,False
LimbicA-ContC,1.795764,False
LimbicA-DefaultA,1.443896,False
LimbicA-DefaultB,0.910515,False
LimbicA-DefaultC,1.981977,False
LimbicA-DorsAttnA,0.042581,False
LimbicA-DorsAttnB,1.53649,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,21.684476,False
LimbicA-SalVentAttnA,5.996777,False
LimbicA-SalVentAttnB,7.060143,False
LimbicA-SomMotA,4.877095,False
LimbicA-SomMotB,2.398472,False
LimbicA-TempPar,1.502006,False
LimbicA-VisCent,2.087107,False
LimbicA-VisPeri,1.530726,False
LimbicB-ContA,8.548512,False
LimbicB-ContB,0.359628,False
LimbicB-ContC,2.268145,False
LimbicB-DefaultA,1.47117,False
LimbicB-DefaultB,0.469373,False
LimbicB-DefaultC,2.853595,False
LimbicB-DorsAttnA,0.124193,False
LimbicB-DorsAttnB,2.039676,False
LimbicB-LimbicA,7.690606,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.396131,False
LimbicB-SalVentAttnB,10.220897,False
LimbicB-SomMotA,11.01032,False
LimbicB-SomMotB,0.510004,False
LimbicB-TempPar,1.94398,False
LimbicB-VisCent,1.562138,False
LimbicB-VisPeri,3.090395,False
SalVentAttnA-ContA,2.489432,False
SalVentAttnA-ContB,0.803255,False
SalVentAttnA-ContC,1.413596,False
SalVentAttnA-DefaultA,0.286155,False
SalVentAttnA-DefaultB,0.654535,False
SalVentAttnA-DefaultC,0.904887,False
SalVentAttnA-DorsAttnA,0.509138,False
SalVentAttnA-DorsAttnB,1.159893,False
SalVentAttnA-LimbicA,2.885632,False
SalVentAttnA-LimbicB,6.023822,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.729916,False
SalVentAttnA-SomMotA,2.407437,False
SalVentAttnA-SomMotB,0.592681,False
SalVentAttnA-TempPar,0.186346,False
SalVentAttnA-VisCent,1.923326,False
SalVentAttnA-VisPeri,4.226554,False
SalVentAttnB-ContA,6.170305,False
SalVentAttnB-ContB,0.272627,False
SalVentAttnB-ContC,0.289441,False
SalVentAttnB-DefaultA,0.504282,False
SalVentAttnB-DefaultB,0.832879,False
SalVentAttnB-DefaultC,2.500416,False
SalVentAttnB-DorsAttnA,0.14318,False
SalVentAttnB-DorsAttnB,5.233287,False
SalVentAttnB-LimbicA,18.163961,False
SalVentAttnB-LimbicB,51.792654,False
SalVentAttnB-SalVentAttnA,9.471434,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,8.088725,False
SalVentAttnB-SomMotB,0.190007,False
SalVentAttnB-TempPar,1.889606,False
SalVentAttnB-VisCent,1.554031,False
SalVentAttnB-VisPeri,2.65077,False
SomMotA-ContA,8.248236,False
SomMotA-ContB,11.144206,False
SomMotA-ContC,0.954575,False
SomMotA-DefaultA,0.612203,False
SomMotA-DefaultB,1.190307,False
SomMotA-DefaultC,5.989043,False
SomMotA-DorsAttnA,0.058027,False
SomMotA-DorsAttnB,0.976542,False
SomMotA-LimbicA,10.023832,False
SomMotA-LimbicB,10.376655,False
SomMotA-SalVentAttnA,5.182371,False
SomMotA-SalVentAttnB,4.17558,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,2.696639,False
SomMotA-TempPar,16.751501,False
SomMotA-VisCent,8.783021,False
SomMotA-VisPeri,11.835113,False
SomMotB-ContA,0.686082,False
SomMotB-ContB,1.95184,False
SomMotB-ContC,5.198886,False
SomMotB-DefaultA,0.448723,False
SomMotB-DefaultB,0.100534,False
SomMotB-DefaultC,0.181816,False
SomMotB-DorsAttnA,1.515935,False
SomMotB-DorsAttnB,1.533566,False
SomMotB-LimbicA,1.072602,False
SomMotB-LimbicB,0.01775,False
SomMotB-SalVentAttnA,0.774045,False
SomMotB-SalVentAttnB,0.280285,False
SomMotB-SomMotA,1.591694,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,4.373651,False
SomMotB-VisCent,19.074507,False
SomMotB-VisPeri,0.069679,False
TempPar-ContA,13.47553,False
TempPar-ContB,4.720369,False
TempPar-ContC,1.469049,False
TempPar-DefaultA,1.811807,False
TempPar-DefaultB,0.215021,False
TempPar-DefaultC,0.834007,False
TempPar-DorsAttnA,8.936151,False
TempPar-DorsAttnB,4.5471,False
TempPar-LimbicA,7.120787,False
TempPar-LimbicB,3.399608,False
TempPar-SalVentAttnA,1.990909,False
TempPar-SalVentAttnB,4.248271,False
TempPar-SomMotA,1.674715,False
TempPar-SomMotB,7.320461,False
TempPar-TempPar,0.0,True
TempPar-VisCent,5.643417,False
TempPar-VisPeri,6.417709,False
VisCent-ContA,1.442103,False
VisCent-ContB,3.904657,False
VisCent-ContC,2.25754,False
VisCent-DefaultA,1.19337,False
VisCent-DefaultB,1.077553,False
VisCent-DefaultC,4.28757,False
VisCent-DorsAttnA,2.615651,False
VisCent-DorsAttnB,0.54741,False
VisCent-LimbicA,0.014082,False
VisCent-LimbicB,0.161786,False
VisCent-SalVentAttnA,0.369129,False
VisCent-SalVentAttnB,0.585707,False
VisCent-SomMotA,0.087561,False
VisCent-SomMotB,7.537359,False
VisCent-TempPar,7.262881,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.217255,False
VisPeri-ContA,3.217119,False
VisPeri-ContB,9.636108,False
VisPeri-ContC,1.802647,False
VisPeri-DefaultA,0.591838,False
VisPeri-DefaultB,2.877828,False
VisPeri-DefaultC,1.633703,False
VisPeri-DorsAttnA,4.060277,False
VisPeri-DorsAttnB,0.262177,False
VisPeri-LimbicA,3.457079,False
VisPeri-LimbicB,1.493807,False
VisPeri-SalVentAttnA,3.701365,False
VisPeri-SalVentAttnB,1.413909,False
VisPeri-SomMotA,7.089425,False
VisPeri-SomMotB,2.205664,False
VisPeri-TempPar,12.285717,False
VisPeri-VisCent,7.130721,False
VisPeri-VisPeri,0.0,True
