network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.892875,False
ContA-ContC,8.654549,False
ContA-DefaultA,13.740677,False
ContA-DefaultB,10.413478,False
ContA-DefaultC,0.943131,False
ContA-DorsAttnA,3.708227,False
ContA-DorsAttnB,3.099638,False
ContA-LimbicA,40.993019,False
ContA-LimbicB,14.521998,False
ContA-SalVentAttnA,0.747507,False
ContA-SalVentAttnB,9.587863,False
ContA-SomMotA,6.26358,False
ContA-SomMotB,4.42555,False
ContA-TempPar,10.24215,False
ContA-VisCent,1.848572,False
ContA-VisPeri,0.134203,False
ContB-ContA,7.314042,False
ContB-ContB,0.0,True
ContB-ContC,12.913041,False
ContB-DefaultA,5.065493,False
ContB-DefaultB,7.803505,False
ContB-DefaultC,7.337431,False
ContB-DorsAttnA,1.936705,False
ContB-DorsAttnB,0.524546,False
ContB-LimbicA,9.537375,False
ContB-LimbicB,3.329515,False
ContB-SalVentAttnA,0.455298,False
ContB-SalVentAttnB,0.531164,False
ContB-SomMotA,0.258304,False
ContB-SomMotB,1.497524,False
ContB-TempPar,0.509954,False
ContB-VisCent,0.315267,False
ContB-VisPeri,0.248732,False
ContC-ContA,1.283918,False
ContC-ContB,4.685274,False
ContC-ContC,0.0,True
ContC-DefaultA,3.591326,False
ContC-DefaultB,3.781344,False
ContC-DefaultC,0.74403,False
ContC-DorsAttnA,1.273801,False
ContC-DorsAttnB,0.173558,False
ContC-LimbicA,1.659578,False
ContC-LimbicB,4.753751,False
ContC-SalVentAttnA,0.738079,False
ContC-SalVentAttnB,3.046618,False
ContC-SomMotA,1.087794,False
ContC-SomMotB,5.177638,False
ContC-TempPar,0.756768,False
ContC-VisCent,0.347091,False
ContC-VisPeri,0.803499,False
DefaultA-ContA,9.573547,False
DefaultA-ContB,10.307826,False
DefaultA-ContC,27.590451,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,29.874332,False
DefaultA-DefaultC,0.658056,False
DefaultA-DorsAttnA,6.489409,False
DefaultA-DorsAttnB,4.457425,False
DefaultA-LimbicA,7.052021,False
DefaultA-LimbicB,11.820803,False
DefaultA-SalVentAttnA,0.582462,False
DefaultA-SalVentAttnB,3.704715,False
DefaultA-SomMotA,7.6635,False
DefaultA-SomMotB,4.617567,False
DefaultA-TempPar,1.654224,False
DefaultA-VisCent,1.94731,False
