network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.118025,False
ContA-ContC,0.255047,False
ContA-DefaultA,14.763749,False
ContA-DefaultB,9.020124,False
ContA-DefaultC,1.786178,False
ContA-DorsAttnA,0.469039,False
ContA-DorsAttnB,1.320835,False
ContA-LimbicA,18.507437,False
ContA-LimbicB,1.850962,False
ContA-SalVentAttnA,14.391213,False
ContA-SalVentAttnB,3.233902,False
ContA-SomMotA,0.879003,False
ContA-SomMotB,2.667192,False
ContA-TempPar,0.051183,False
ContA-VisCent,1.877266,False
ContA-VisPeri,3.46956,False
ContB-ContA,3.944253,False
ContB-ContB,0.0,True
ContB-ContC,0.814257,False
ContB-DefaultA,0.197584,False
ContB-DefaultB,0.68159,False
ContB-DefaultC,0.352176,False
ContB-DorsAttnA,0.939355,False
ContB-DorsAttnB,3.46307,False
ContB-LimbicA,2.00958,False
ContB-LimbicB,10.443971,False
ContB-SalVentAttnA,0.130274,False
ContB-SalVentAttnB,2.452753,False
ContB-SomMotA,2.157048,False
ContB-SomMotB,0.599777,False
ContB-TempPar,2.73574,False
ContB-VisCent,2.24403,False
ContB-VisPeri,2.445431,False
ContC-ContA,0.580015,False
ContC-ContB,4.897309,False
ContC-ContC,0.0,True
ContC-DefaultA,0.036491,False
ContC-DefaultB,0.008256,False
ContC-DefaultC,0.285418,False
ContC-DorsAttnA,3.06158,False
ContC-DorsAttnB,0.775962,False
ContC-LimbicA,0.055896,False
ContC-LimbicB,6.734043,False
ContC-SalVentAttnA,0.808621,False
ContC-SalVentAttnB,1.561125,False
ContC-SomMotA,0.060326,False
ContC-SomMotB,0.950643,False
ContC-TempPar,1.701322,False
ContC-VisCent,0.358983,False
ContC-VisPeri,0.180132,False
DefaultA-ContA,7.480151,False
DefaultA-ContB,0.541295,False
DefaultA-ContC,0.011294,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,12.897131,False
DefaultA-DefaultC,0.490094,False
DefaultA-DorsAttnA,4.271701,False
DefaultA-DorsAttnB,1.275448,False
DefaultA-LimbicA,3.777103,False
DefaultA-LimbicB,16.294709,False
DefaultA-SalVentAttnA,6.491208,False
DefaultA-SalVentAttnB,4.201668,False
DefaultA-SomMotA,7.007425,False
DefaultA-SomMotB,1.274665,False
DefaultA-TempPar,1.896507,False
DefaultA-VisCent,2.356264,False
DefaultA-VisPeri,4.246263,False
DefaultB-ContA,0.467547,False
DefaultB-ContB,3.93207,False
DefaultB-ContC,2.716,False
DefaultB-DefaultA,8.810415,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.650218,False
DefaultB-DorsAttnA,4.165757,False
DefaultB-DorsAttnB,1.106403,False
DefaultB-LimbicA,2.529298,False
DefaultB-LimbicB,21.384431,False
DefaultB-SalVentAttnA,2.015876,False
DefaultB-SalVentAttnB,3.53304,False
DefaultB-SomMotA,1.520831,False
DefaultB-SomMotB,0.109232,False
DefaultB-TempPar,0.923791,False
DefaultB-VisCent,1.602663,False
DefaultB-VisPeri,1.597978,False
DefaultC-ContA,7.732914,False
DefaultC-ContB,2.350954,False
DefaultC-ContC,5.470925,False
DefaultC-DefaultA,0.669083,False
DefaultC-DefaultB,11.434566,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.407265,False
DefaultC-DorsAttnB,0.755882,False
DefaultC-LimbicA,1.530085,False
DefaultC-LimbicB,3.324597,False
DefaultC-SalVentAttnA,9.282132,False
DefaultC-SalVentAttnB,2.722359,False
DefaultC-SomMotA,1.747662,False
DefaultC-SomMotB,4.136733,False
DefaultC-TempPar,0.688033,False
DefaultC-VisCent,0.57335,False
DefaultC-VisPeri,5.132549,False
DorsAttnA-ContA,3.18299,False
DorsAttnA-ContB,1.07208,False
DorsAttnA-ContC,3.785361,False
DorsAttnA-DefaultA,5.562336,False
DorsAttnA-DefaultB,7.276195,False
DorsAttnA-DefaultC,0.682623,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.003708,False
DorsAttnA-LimbicA,1.357399,False
DorsAttnA-LimbicB,7.84623,False
DorsAttnA-SalVentAttnA,3.928339,False
DorsAttnA-SalVentAttnB,2.175154,False
DorsAttnA-SomMotA,5.222024,False
DorsAttnA-SomMotB,4.386067,False
DorsAttnA-TempPar,5.358666,False
DorsAttnA-VisCent,0.257213,False
DorsAttnA-VisPeri,4.74324,False
DorsAttnB-ContA,0.734586,False
DorsAttnB-ContB,1.765637,False
DorsAttnB-ContC,0.072593,False
DorsAttnB-DefaultA,0.587073,False
DorsAttnB-DefaultB,5.631604,False
DorsAttnB-DefaultC,3.649573,False
DorsAttnB-DorsAttnA,2.824148,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.031961,False
DorsAttnB-LimbicB,5.449281,False
DorsAttnB-SalVentAttnA,1.64969,False
DorsAttnB-SalVentAttnB,0.416087,False
DorsAttnB-SomMotA,0.156676,False
DorsAttnB-SomMotB,0.927411,False
DorsAttnB-TempPar,1.29271,False
DorsAttnB-VisCent,1.360391,False
DorsAttnB-VisPeri,0.164684,False
LimbicA-ContA,19.004023,False
LimbicA-ContB,0.524516,False
LimbicA-ContC,0.503632,False
LimbicA-DefaultA,21.419956,False
LimbicA-DefaultB,6.292471,False
LimbicA-DefaultC,5.452834,False
LimbicA-DorsAttnA,3.935512,False
LimbicA-DorsAttnB,0.237287,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,4.394849,False
LimbicA-SalVentAttnA,7.236443,False
LimbicA-SalVentAttnB,6.206632,False
LimbicA-SomMotA,0.496226,False
LimbicA-SomMotB,3.697133,False
LimbicA-TempPar,0.172302,False
LimbicA-VisCent,1.673413,False
LimbicA-VisPeri,3.528581,False
LimbicB-ContA,1.011228,False
LimbicB-ContB,2.357412,False
LimbicB-ContC,0.212995,False
LimbicB-DefaultA,0.209616,False
LimbicB-DefaultB,0.50111,False
LimbicB-DefaultC,0.185635,False
LimbicB-DorsAttnA,0.213712,False
LimbicB-DorsAttnB,0.785857,False
LimbicB-LimbicA,0.120892,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,2.792534,False
LimbicB-SalVentAttnB,3.50744,False
LimbicB-SomMotA,1.680516,False
LimbicB-SomMotB,0.52704,False
LimbicB-TempPar,2.813231,False
LimbicB-VisCent,0.146165,False
LimbicB-VisPeri,2.777104,False
SalVentAttnA-ContA,13.325818,False
SalVentAttnA-ContB,1.48904,False
SalVentAttnA-ContC,0.12801,False
SalVentAttnA-DefaultA,12.559703,False
SalVentAttnA-DefaultB,10.880419,False
SalVentAttnA-DefaultC,3.121433,False
SalVentAttnA-DorsAttnA,1.094689,False
SalVentAttnA-DorsAttnB,5.545258,False
SalVentAttnA-LimbicA,2.145408,False
SalVentAttnA-LimbicB,0.758186,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.804541,False
SalVentAttnA-SomMotA,3.936096,False
SalVentAttnA-SomMotB,4.2474,False
SalVentAttnA-TempPar,0.355359,False
SalVentAttnA-VisCent,1.188674,False
SalVentAttnA-VisPeri,8.125506,False
SalVentAttnB-ContA,0.047223,False
SalVentAttnB-ContB,1.711761,False
SalVentAttnB-ContC,0.497242,False
SalVentAttnB-DefaultA,2.524691,False
SalVentAttnB-DefaultB,1.481706,False
