network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,9.129876,False
ContA-ContC,9.614622,False
ContA-DefaultA,8.058527,False
ContA-DefaultB,17.290378,False
ContA-DefaultC,9.902673,False
ContA-DorsAttnA,4.138052,False
ContA-DorsAttnB,0.578842,False
ContA-LimbicA,30.865792,False
ContA-LimbicB,23.373899,False
ContA-SalVentAttnA,2.336583,False
ContA-SalVentAttnB,10.093619,False
ContA-SomMotA,10.910861,False
ContA-SomMotB,0.365257,False
ContA-TempPar,1.663521,False
ContA-VisCent,2.960983,False
ContA-VisPeri,11.225217,False
ContB-ContA,7.819835,False
ContB-ContB,0.0,True
ContB-ContC,0.486825,False
ContB-DefaultA,1.390878,False
ContB-DefaultB,5.260081,False
ContB-DefaultC,8.303714,False
ContB-DorsAttnA,2.792607,False
ContB-DorsAttnB,5.371866,False
ContB-LimbicA,8.904972,False
ContB-LimbicB,4.351333,False
ContB-SalVentAttnA,1.666789,False
ContB-SalVentAttnB,0.247171,False
ContB-SomMotA,5.16244,False
ContB-SomMotB,1.507036,False
ContB-TempPar,4.844751,False
ContB-VisCent,1.079887,False
ContB-VisPeri,7.044818,False
ContC-ContA,0.026694,False
ContC-ContB,1.38442,False
ContC-ContC,0.0,True
ContC-DefaultA,7.544827,False
ContC-DefaultB,2.940761,False
ContC-DefaultC,2.460584,False
ContC-DorsAttnA,1.707784,False
ContC-DorsAttnB,0.357413,False
ContC-LimbicA,0.621746,False
ContC-LimbicB,7.135976,False
ContC-SalVentAttnA,1.961254,False
ContC-SalVentAttnB,1.495909,False
ContC-SomMotA,0.021475,False
ContC-SomMotB,0.194484,False
ContC-TempPar,0.735614,False
ContC-VisCent,1.539811,False
ContC-VisPeri,0.657403,False
DefaultA-ContA,1.002796,False
DefaultA-ContB,0.010631,False
DefaultA-ContC,35.959541,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.982171,False
DefaultA-DefaultC,1.284588,False
DefaultA-DorsAttnA,2.511575,False
DefaultA-DorsAttnB,0.34702,False
DefaultA-LimbicA,1.594435,False
DefaultA-LimbicB,13.853829,False
DefaultA-SalVentAttnA,0.686035,False
DefaultA-SalVentAttnB,3.750256,False
DefaultA-SomMotA,3.421122,False
DefaultA-SomMotB,1.817442,False
DefaultA-TempPar,1.581319,False
DefaultA-VisCent,4.337518,False
DefaultA-VisPeri,2.953114,False
DefaultB-ContA,1.918344,False
DefaultB-ContB,0.280556,False
DefaultB-ContC,10.156521,False
DefaultB-DefaultA,7.982756,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.635546,False
DefaultB-DorsAttnA,4.591179,False
DefaultB-DorsAttnB,0.438996,False
DefaultB-LimbicA,0.323294,False
DefaultB-LimbicB,4.185392,False
DefaultB-SalVentAttnA,0.680191,False
DefaultB-SalVentAttnB,0.521231,False
