network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.567747,False
ContA-ContC,5.597952,False
ContA-DefaultA,3.38023,False
ContA-DefaultB,9.345736,False
ContA-DefaultC,16.830454,False
ContA-DorsAttnA,5.845651,False
ContA-DorsAttnB,8.365598,False
ContA-LimbicA,13.900655,False
ContA-LimbicB,3.031642,False
ContA-SalVentAttnA,2.68367,False
ContA-SalVentAttnB,6.348705,False
ContA-SomMotA,1.942026,False
ContA-SomMotB,7.095718,False
ContA-TempPar,1.887078,False
ContA-VisCent,0.376433,False
ContA-VisPeri,1.12703,False
ContB-ContA,5.220982,False
ContB-ContB,0.0,True
ContB-ContC,15.043008,False
ContB-DefaultA,12.838529,False
ContB-DefaultB,8.87393,False
ContB-DefaultC,15.235333,False
ContB-DorsAttnA,4.16709,False
ContB-DorsAttnB,5.244111,False
ContB-LimbicA,1.38631,False
ContB-LimbicB,4.253886,False
ContB-SalVentAttnA,3.151433,False
ContB-SalVentAttnB,2.117355,False
ContB-SomMotA,3.200277,False
ContB-SomMotB,6.373124,False
ContB-TempPar,1.268839,False
ContB-VisCent,2.042517,False
ContB-VisPeri,4.085167,False
ContC-ContA,1.874446,False
ContC-ContB,2.619847,False
ContC-ContC,0.0,True
ContC-DefaultA,15.716837,False
ContC-DefaultB,11.142286,False
ContC-DefaultC,4.52705,False
ContC-DorsAttnA,7.902838,False
ContC-DorsAttnB,5.845122,False
ContC-LimbicA,2.154433,False
ContC-LimbicB,8.567262,False
ContC-SalVentAttnA,2.112492,False
ContC-SalVentAttnB,0.833325,False
ContC-SomMotA,5.992063,False
ContC-SomMotB,7.203054,False
ContC-TempPar,1.659027,False
ContC-VisCent,2.916697,False
ContC-VisPeri,4.450464,False
DefaultA-ContA,0.404862,False
DefaultA-ContB,1.505272,False
DefaultA-ContC,8.832808,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.906522,False
DefaultA-DefaultC,6.192808,False
DefaultA-DorsAttnA,9.649607,False
DefaultA-DorsAttnB,6.22218,False
DefaultA-LimbicA,3.134757,False
DefaultA-LimbicB,7.026516,False
DefaultA-SalVentAttnA,1.859292,False
DefaultA-SalVentAttnB,0.486132,False
DefaultA-SomMotA,2.494285,False
DefaultA-SomMotB,6.660893,False
DefaultA-TempPar,0.854711,False
DefaultA-VisCent,4.77923,False
DefaultA-VisPeri,4.063501,False
DefaultB-ContA,3.448003,False
DefaultB-ContB,1.975475,False
DefaultB-ContC,2.578818,False
DefaultB-DefaultA,2.00884,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.711493,False
DefaultB-DorsAttnA,8.075114,False
DefaultB-DorsAttnB,7.796144,False
DefaultB-LimbicA,0.656734,False
DefaultB-LimbicB,4.396864,False
DefaultB-SalVentAttnA,2.305738,False
DefaultB-SalVentAttnB,0.806581,False
DefaultB-SomMotA,6.43946,False
