network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.974568,False
ContA-ContC,0.937533,False
ContA-DefaultA,0.241784,False
ContA-DefaultB,2.453899,False
ContA-DefaultC,0.705831,False
ContA-DorsAttnA,0.72062,False
ContA-DorsAttnB,0.565526,False
ContA-LimbicA,30.921749,False
ContA-LimbicB,4.286043,False
ContA-SalVentAttnA,1.484769,False
ContA-SalVentAttnB,2.625073,False
ContA-SomMotA,3.082053,False
ContA-SomMotB,2.621616,False
ContA-TempPar,0.696552,False
ContA-VisCent,2.597065,False
ContA-VisPeri,0.371096,False
ContB-ContA,11.397179,False
ContB-ContB,0.0,True
ContB-ContC,1.158603,False
ContB-DefaultA,5.503671,False
ContB-DefaultB,17.257861,False
ContB-DefaultC,3.628703,False
ContB-DorsAttnA,5.027845,False
ContB-DorsAttnB,0.071373,False
ContB-LimbicA,3.273829,False
ContB-LimbicB,1.833379,False
ContB-SalVentAttnA,2.873258,False
ContB-SalVentAttnB,0.642317,False
ContB-SomMotA,12.21148,False
ContB-SomMotB,9.506115,False
ContB-TempPar,2.483183,False
ContB-VisCent,6.455137,False
ContB-VisPeri,2.839176,False
ContC-ContA,1.740959,False
ContC-ContB,2.378963,False
ContC-ContC,0.0,True
ContC-DefaultA,18.264587,False
ContC-DefaultB,1.889906,False
ContC-DefaultC,2.559618,False
ContC-DorsAttnA,0.037549,False
ContC-DorsAttnB,0.240963,False
ContC-LimbicA,1.116422,False
ContC-LimbicB,4.070378,False
ContC-SalVentAttnA,0.950198,False
ContC-SalVentAttnB,0.148767,False
ContC-SomMotA,2.980568,False
ContC-SomMotB,1.199071,False
ContC-TempPar,1.126138,False
ContC-VisCent,2.436052,False
ContC-VisPeri,2.190904,False
DefaultA-ContA,4.23501,False
DefaultA-ContB,0.626897,False
DefaultA-ContC,7.901506,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.508976,False
DefaultA-DefaultC,1.259885,False
DefaultA-DorsAttnA,0.675881,False
DefaultA-DorsAttnB,1.802168,False
DefaultA-LimbicA,2.12202,False
DefaultA-LimbicB,0.619971,False
DefaultA-SalVentAttnA,0.622873,False
DefaultA-SalVentAttnB,0.386396,False
DefaultA-SomMotA,0.894837,False
DefaultA-SomMotB,0.921214,False
DefaultA-TempPar,0.719854,False
DefaultA-VisCent,3.500287,False
DefaultA-VisPeri,0.945004,False
DefaultB-ContA,0.891657,False
DefaultB-ContB,13.426733,False
DefaultB-ContC,2.939242,False
DefaultB-DefaultA,9.290045,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.860438,False
DefaultB-DorsAttnA,5.020265,False
DefaultB-DorsAttnB,0.636393,False
DefaultB-LimbicA,0.382409,False
DefaultB-LimbicB,4.287511,False
DefaultB-SalVentAttnA,5.019908,False
DefaultB-SalVentAttnB,1.390182,False
DefaultB-SomMotA,1.511459,False
DefaultB-SomMotB,5.165855,False
DefaultB-TempPar,1.612614,False
DefaultB-VisCent,0.080935,False
DefaultB-VisPeri,1.447817,False
DefaultC-ContA,0.013878,False
DefaultC-ContB,1.235615,False
DefaultC-ContC,2.436972,False
DefaultC-DefaultA,4.635807,False
DefaultC-DefaultB,37.776856,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.568935,False
DefaultC-DorsAttnB,1.074203,False
DefaultC-LimbicA,0.404928,False
DefaultC-LimbicB,0.548318,False
DefaultC-SalVentAttnA,1.192033,False
DefaultC-SalVentAttnB,0.347749,False
DefaultC-SomMotA,6.463557,False
DefaultC-SomMotB,7.303564,False
DefaultC-TempPar,1.084913,False
DefaultC-VisCent,5.706455,False
DefaultC-VisPeri,9.172835,False
DorsAttnA-ContA,4.055667,False
DorsAttnA-ContB,4.095011,False
DorsAttnA-ContC,1.262082,False
DorsAttnA-DefaultA,0.918923,False
DorsAttnA-DefaultB,3.120616,False
DorsAttnA-DefaultC,3.020555,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.714151,False
DorsAttnA-LimbicA,6.35084,False
DorsAttnA-LimbicB,5.127941,False
DorsAttnA-SalVentAttnA,3.77558,False
DorsAttnA-SalVentAttnB,1.017732,False
DorsAttnA-SomMotA,0.120733,False
DorsAttnA-SomMotB,2.918889,False
DorsAttnA-TempPar,2.702007,False
DorsAttnA-VisCent,0.896336,False
DorsAttnA-VisPeri,4.998986,False
DorsAttnB-ContA,0.327865,False
DorsAttnB-ContB,2.167703,False
DorsAttnB-ContC,1.58642,False
DorsAttnB-DefaultA,1.606782,False
DorsAttnB-DefaultB,2.920699,False
DorsAttnB-DefaultC,1.865679,False
DorsAttnB-DorsAttnA,0.748921,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.250713,False
DorsAttnB-LimbicB,1.018303,False
DorsAttnB-SalVentAttnA,0.224725,False
DorsAttnB-SalVentAttnB,2.274251,False
DorsAttnB-SomMotA,1.874595,False
DorsAttnB-SomMotB,0.928945,False
DorsAttnB-TempPar,0.620189,False
DorsAttnB-VisCent,4.332426,False
DorsAttnB-VisPeri,1.130858,False
LimbicA-ContA,17.84485,False
LimbicA-ContB,6.204063,False
LimbicA-ContC,1.034323,False
LimbicA-DefaultA,3.670871,False
LimbicA-DefaultB,2.545899,False
LimbicA-DefaultC,1.95491,False
LimbicA-DorsAttnA,7.97223,False
LimbicA-DorsAttnB,3.881225,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,6.934641,False
LimbicA-SalVentAttnA,0.845021,False
LimbicA-SalVentAttnB,1.696664,False
LimbicA-SomMotA,4.653049,False
LimbicA-SomMotB,0.68586,False
LimbicA-TempPar,0.059047,False
LimbicA-VisCent,4.329121,False
LimbicA-VisPeri,7.434174,False
LimbicB-ContA,2.146062,False
LimbicB-ContB,0.454288,False
LimbicB-ContC,4.466997,False
LimbicB-DefaultA,2.456621,False
LimbicB-DefaultB,3.896375,False
LimbicB-DefaultC,2.552694,False
LimbicB-DorsAttnA,0.579552,False
LimbicB-DorsAttnB,0.845233,False
LimbicB-LimbicA,5.396625,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.34592,False
LimbicB-SalVentAttnB,9.001163,False
LimbicB-SomMotA,5.223441,False
LimbicB-SomMotB,2.556197,False
LimbicB-TempPar,0.54867,False
LimbicB-VisCent,0.629426,False
LimbicB-VisPeri,1.689719,False
SalVentAttnA-ContA,0.986203,False
SalVentAttnA-ContB,0.694297,False
SalVentAttnA-ContC,0.068647,False
SalVentAttnA-DefaultA,0.146198,False
SalVentAttnA-DefaultB,0.658659,False
SalVentAttnA-DefaultC,0.741126,False
SalVentAttnA-DorsAttnA,2.304765,False
SalVentAttnA-DorsAttnB,0.336493,False
SalVentAttnA-LimbicA,1.733778,False
SalVentAttnA-LimbicB,0.643794,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.642573,False
SalVentAttnA-SomMotA,0.063528,False
SalVentAttnA-SomMotB,1.598919,False
SalVentAttnA-TempPar,0.589062,False
SalVentAttnA-VisCent,0.124798,False
SalVentAttnA-VisPeri,1.08049,False
SalVentAttnB-ContA,3.795808,False
SalVentAttnB-ContB,1.529527,False
SalVentAttnB-ContC,2.755635,False
SalVentAttnB-DefaultA,2.154063,False
SalVentAttnB-DefaultB,0.055251,False
SalVentAttnB-DefaultC,1.212636,False
SalVentAttnB-DorsAttnA,0.298309,False
SalVentAttnB-DorsAttnB,2.511078,False
SalVentAttnB-LimbicA,8.024938,False
SalVentAttnB-LimbicB,34.120803,False
SalVentAttnB-SalVentAttnA,7.162698,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.885608,False
SalVentAttnB-SomMotB,2.569792,False
SalVentAttnB-TempPar,2.734341,False
SalVentAttnB-VisCent,2.293411,False
SalVentAttnB-VisPeri,0.987369,False
SomMotA-ContA,2.853364,False
SomMotA-ContB,5.744451,False
SomMotA-ContC,3.503572,False
SomMotA-DefaultA,5.29892,False
SomMotA-DefaultB,13.917975,False
SomMotA-DefaultC,4.192678,False
SomMotA-DorsAttnA,4.535115,False
SomMotA-DorsAttnB,3.017484,False
SomMotA-LimbicA,7.812366,False
SomMotA-LimbicB,5.656686,False
SomMotA-SalVentAttnA,1.267122,False
SomMotA-SalVentAttnB,2.047195,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,12.275418,False
SomMotA-TempPar,2.903052,False
SomMotA-VisCent,6.049468,False
SomMotA-VisPeri,6.009336,False
SomMotB-ContA,1.14775,False
SomMotB-ContB,5.72394,False
SomMotB-ContC,0.849475,False
SomMotB-DefaultA,0.951742,False
SomMotB-DefaultB,7.233926,False
