network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.688186,False
ContA-ContC,2.66273,False
ContA-DefaultA,2.788941,False
ContA-DefaultB,7.628884,False
ContA-DefaultC,3.868426,False
ContA-DorsAttnA,0.388832,False
ContA-DorsAttnB,1.70651,False
ContA-LimbicA,12.136948,False
ContA-LimbicB,3.019195,False
ContA-SalVentAttnA,0.155337,False
ContA-SalVentAttnB,0.657305,False
ContA-SomMotA,4.862511,False
ContA-SomMotB,1.634013,False
ContA-TempPar,8.375651,False
ContA-VisCent,0.41259,False
ContA-VisPeri,6.136467,False
ContB-ContA,2.09052,False
ContB-ContB,0.0,True
ContB-ContC,3.233558,False
ContB-DefaultA,7.679843,False
ContB-DefaultB,13.240797,False
ContB-DefaultC,6.124629,False
ContB-DorsAttnA,2.330697,False
ContB-DorsAttnB,8.037611,False
ContB-LimbicA,1.547025,False
ContB-LimbicB,2.645014,False
ContB-SalVentAttnA,1.188673,False
ContB-SalVentAttnB,4.218464,False
ContB-SomMotA,6.733851,False
ContB-SomMotB,0.798523,False
ContB-TempPar,6.497897,False
ContB-VisCent,1.45091,False
ContB-VisPeri,6.196956,False
ContC-ContA,0.358721,False
ContC-ContB,3.718668,False
ContC-ContC,0.0,True
ContC-DefaultA,2.323467,False
ContC-DefaultB,1.067755,False
ContC-DefaultC,0.766059,False
ContC-DorsAttnA,0.893755,False
ContC-DorsAttnB,0.10464,False
ContC-LimbicA,0.696098,False
ContC-LimbicB,5.348684,False
ContC-SalVentAttnA,0.387658,False
ContC-SalVentAttnB,0.272336,False
ContC-SomMotA,0.865347,False
ContC-SomMotB,0.368932,False
ContC-TempPar,1.417774,False
ContC-VisCent,0.153414,False
ContC-VisPeri,1.189135,False
DefaultA-ContA,1.460336,False
DefaultA-ContB,1.017658,False
DefaultA-ContC,14.745359,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.619392,False
DefaultA-DefaultC,3.298927,False
DefaultA-DorsAttnA,4.367389,False
DefaultA-DorsAttnB,4.723392,False
DefaultA-LimbicA,3.290255,False
DefaultA-LimbicB,18.749354,False
DefaultA-SalVentAttnA,0.323118,False
DefaultA-SalVentAttnB,1.361685,False
DefaultA-SomMotA,1.646727,False
DefaultA-SomMotB,1.06406,False
DefaultA-TempPar,4.734126,False
DefaultA-VisCent,0.913708,False
DefaultA-VisPeri,2.000928,False
DefaultB-ContA,4.314834,False
DefaultB-ContB,2.280775,False
DefaultB-ContC,6.546701,False
DefaultB-DefaultA,10.790275,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.491622,False
DefaultB-DorsAttnA,4.132445,False
DefaultB-DorsAttnB,3.918116,False
DefaultB-LimbicA,2.052503,False
DefaultB-LimbicB,11.739032,False
DefaultB-SalVentAttnA,3.6231,False
DefaultB-SalVentAttnB,1.258041,False
DefaultB-SomMotA,3.721197,False
DefaultB-SomMotB,0.131017,False
DefaultB-TempPar,7.343753,False
DefaultB-VisCent,0.836594,False
DefaultB-VisPeri,5.976893,False
DefaultC-ContA,3.696561,False
DefaultC-ContB,0.647348,False
DefaultC-ContC,3.483896,False
DefaultC-DefaultA,4.51433,False
DefaultC-DefaultB,6.57941,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.525597,False
DefaultC-DorsAttnB,3.906805,False
DefaultC-LimbicA,0.083914,False
DefaultC-LimbicB,0.495594,False
DefaultC-SalVentAttnA,4.67136,False
DefaultC-SalVentAttnB,3.822013,False
DefaultC-SomMotA,3.728065,False
DefaultC-SomMotB,1.749428,False
DefaultC-TempPar,2.98923,False
DefaultC-VisCent,0.085269,False
DefaultC-VisPeri,4.341913,False
DorsAttnA-ContA,0.48742,False
DorsAttnA-ContB,0.376736,False
DorsAttnA-ContC,4.38052,False
DorsAttnA-DefaultA,6.962932,False
DorsAttnA-DefaultB,10.886911,False
DorsAttnA-DefaultC,0.961039,False
