network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,17.72689,False
ContA-ContC,3.925976,False
ContA-DefaultA,4.692246,False
ContA-DefaultB,8.398871,False
ContA-DefaultC,3.911536,False
ContA-DorsAttnA,5.288124,False
ContA-DorsAttnB,2.757,False
ContA-LimbicA,26.938157,False
ContA-LimbicB,13.28841,False
ContA-SalVentAttnA,1.04538,False
ContA-SalVentAttnB,7.614796,False
ContA-SomMotA,6.876005,False
ContA-SomMotB,2.213596,False
ContA-TempPar,3.480791,False
ContA-VisCent,12.025051,False
ContA-VisPeri,12.284933,False
ContB-ContA,8.850967,False
ContB-ContB,0.0,True
ContB-ContC,6.243737,False
ContB-DefaultA,2.273479,False
ContB-DefaultB,4.043972,False
ContB-DefaultC,10.018288,False
ContB-DorsAttnA,10.576503,False
ContB-DorsAttnB,4.808917,False
ContB-LimbicA,15.153989,False
ContB-LimbicB,3.232158,False
ContB-SalVentAttnA,5.932007,False
ContB-SalVentAttnB,0.106617,False
ContB-SomMotA,8.972208,False
ContB-SomMotB,6.810387,False
ContB-TempPar,9.785161,False
ContB-VisCent,7.722126,False
ContB-VisPeri,6.912319,False
ContC-ContA,3.820172,False
ContC-ContB,5.610325,False
ContC-ContC,0.0,True
ContC-DefaultA,12.522348,False
ContC-DefaultB,5.320896,False
ContC-DefaultC,1.69636,False
ContC-DorsAttnA,0.844829,False
ContC-DorsAttnB,0.262071,False
ContC-LimbicA,8.408918,False
ContC-LimbicB,11.13079,False
ContC-SalVentAttnA,0.763092,False
ContC-SalVentAttnB,2.863789,False
ContC-SomMotA,5.8883,False
ContC-SomMotB,0.692314,False
ContC-TempPar,1.91924,False
ContC-VisCent,1.070552,False
ContC-VisPeri,4.765452,False
DefaultA-ContA,6.679738,False
DefaultA-ContB,10.045903,False
DefaultA-ContC,22.351939,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.491388,False
DefaultA-DefaultC,0.014341,False
DefaultA-DorsAttnA,3.780602,False
DefaultA-DorsAttnB,0.05633,False
DefaultA-LimbicA,6.742421,False
DefaultA-LimbicB,11.719235,False
DefaultA-SalVentAttnA,6.971946,False
DefaultA-SalVentAttnB,4.749483,False
DefaultA-SomMotA,5.456217,False
DefaultA-SomMotB,10.279246,False
DefaultA-TempPar,1.488083,False
DefaultA-VisCent,4.311825,False
DefaultA-VisPeri,7.399285,False
DefaultB-ContA,3.936059,False
DefaultB-ContB,10.227164,False
DefaultB-ContC,4.221435,False
DefaultB-DefaultA,5.38867,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.24863,False
DefaultB-DorsAttnA,12.451037,False
DefaultB-DorsAttnB,1.952454,False
DefaultB-LimbicA,3.233748,False
DefaultB-LimbicB,3.64089,False
DefaultB-SalVentAttnA,6.993699,False
DefaultB-SalVentAttnB,1.650619,False
DefaultB-SomMotA,0.968723,False
DefaultB-SomMotB,8.707772,False
DefaultB-TempPar,8.309819,False
DefaultB-VisCent,2.019171,False
DefaultB-VisPeri,8.992148,False
DefaultC-ContA,3.124253,False
DefaultC-ContB,4.84061,False
DefaultC-ContC,2.516644,False
DefaultC-DefaultA,0.879804,False
DefaultC-DefaultB,4.056188,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,10.301603,False
DefaultC-DorsAttnB,2.487753,False
DefaultC-LimbicA,1.766475,False
DefaultC-LimbicB,0.604639,False
DefaultC-SalVentAttnA,1.029861,False
DefaultC-SalVentAttnB,0.364861,False
DefaultC-SomMotA,0.640245,False
DefaultC-SomMotB,2.157442,False
DefaultC-TempPar,2.821784,False
DefaultC-VisCent,2.111906,False
DefaultC-VisPeri,1.836238,False
DorsAttnA-ContA,6.996142,False
DorsAttnA-ContB,17.561132,False
DorsAttnA-ContC,0.969779,False
DorsAttnA-DefaultA,5.531019,False
DorsAttnA-DefaultB,14.52865,False
DorsAttnA-DefaultC,16.441414,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.920487,False
DorsAttnA-LimbicA,1.833743,False
DorsAttnA-LimbicB,9.222778,False
DorsAttnA-SalVentAttnA,5.406578,False
DorsAttnA-SalVentAttnB,0.863564,False
DorsAttnA-SomMotA,0.511564,False
DorsAttnA-SomMotB,5.696203,False
