network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,15.337726,False
ContA-ContC,1.444842,False
ContA-DefaultA,1.769058,False
ContA-DefaultB,4.779026,False
ContA-DefaultC,1.250788,False
ContA-DorsAttnA,2.490134,False
ContA-DorsAttnB,3.549891,False
ContA-LimbicA,12.660154,False
ContA-LimbicB,9.434575,False
ContA-SalVentAttnA,0.255039,False
ContA-SalVentAttnB,1.722761,False
ContA-SomMotA,6.054109,False
ContA-SomMotB,2.586788,False
ContA-TempPar,1.998111,False
ContA-VisCent,4.127142,False
ContA-VisPeri,1.875603,False
ContB-ContA,0.648355,False
ContB-ContB,0.0,True
ContB-ContC,0.786703,False
ContB-DefaultA,0.309742,False
ContB-DefaultB,5.17862,False
ContB-DefaultC,7.111214,False
ContB-DorsAttnA,5.581161,False
ContB-DorsAttnB,5.605745,False
ContB-LimbicA,0.287489,False
ContB-LimbicB,0.12996,False
ContB-SalVentAttnA,2.194738,False
ContB-SalVentAttnB,1.821248,False
ContB-SomMotA,0.70643,False
ContB-SomMotB,2.500933,False
ContB-TempPar,0.464472,False
ContB-VisCent,3.328091,False
ContB-VisPeri,1.195642,False
ContC-ContA,0.516787,False
ContC-ContB,2.268636,False
ContC-ContC,0.0,True
ContC-DefaultA,0.780782,False
ContC-DefaultB,0.752788,False
ContC-DefaultC,0.396863,False
ContC-DorsAttnA,2.429332,False
ContC-DorsAttnB,0.800453,False
ContC-LimbicA,0.315516,False
ContC-LimbicB,1.744241,False
ContC-SalVentAttnA,0.890755,False
ContC-SalVentAttnB,1.39324,False
ContC-SomMotA,1.213331,False
ContC-SomMotB,0.875319,False
ContC-TempPar,0.117417,False
ContC-VisCent,2.773835,False
ContC-VisPeri,1.627392,False
DefaultA-ContA,6.807666,False
DefaultA-ContB,1.368509,False
DefaultA-ContC,22.116198,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.303025,False
DefaultA-DefaultC,0.438517,False
DefaultA-DorsAttnA,0.991818,False
DefaultA-DorsAttnB,0.061393,False
DefaultA-LimbicA,8.625801,False
DefaultA-LimbicB,8.75619,False
DefaultA-SalVentAttnA,0.308669,False
DefaultA-SalVentAttnB,3.710398,False
DefaultA-SomMotA,1.809743,False
DefaultA-SomMotB,1.212994,False
DefaultA-TempPar,0.486364,False
DefaultA-VisCent,0.702602,False
DefaultA-VisPeri,1.049421,False
DefaultB-ContA,1.517318,False
DefaultB-ContB,1.097087,False
DefaultB-ContC,0.358536,False
DefaultB-DefaultA,0.155309,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.41617,False
DefaultB-DorsAttnA,2.053381,False
DefaultB-DorsAttnB,4.67618,False
DefaultB-LimbicA,1.428085,False
DefaultB-LimbicB,0.137925,False
DefaultB-SalVentAttnA,2.409345,False
DefaultB-SalVentAttnB,0.092761,False
DefaultB-SomMotA,5.52262,False
DefaultB-SomMotB,0.454261,False
DefaultB-TempPar,1.109926,False
DefaultB-VisCent,0.094591,False
DefaultB-VisPeri,5.213642,False
DefaultC-ContA,2.027817,False
DefaultC-ContB,0.740139,False
DefaultC-ContC,5.74145,False
DefaultC-DefaultA,3.133795,False
DefaultC-DefaultB,6.575498,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.500242,False
DefaultC-DorsAttnB,2.589817,False
DefaultC-LimbicA,1.950264,False
DefaultC-LimbicB,0.770981,False
DefaultC-SalVentAttnA,0.694451,False
DefaultC-SalVentAttnB,1.097867,False
DefaultC-SomMotA,0.285838,False
DefaultC-SomMotB,2.502564,False
DefaultC-TempPar,0.342307,False
DefaultC-VisCent,1.023993,False
DefaultC-VisPeri,0.228694,False
DorsAttnA-ContA,2.032354,False
DorsAttnA-ContB,1.131888,False
DorsAttnA-ContC,1.840949,False
DorsAttnA-DefaultA,0.222167,False
DorsAttnA-DefaultB,2.870494,False
DorsAttnA-DefaultC,2.652154,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.40484,False
DorsAttnA-LimbicA,0.377938,False
DorsAttnA-LimbicB,1.292902,False
DorsAttnA-SalVentAttnA,1.196235,False
DorsAttnA-SalVentAttnB,1.530737,False
DorsAttnA-SomMotA,1.656916,False
DorsAttnA-SomMotB,0.625937,False
DorsAttnA-TempPar,0.013255,False
DorsAttnA-VisCent,0.403248,False
DorsAttnA-VisPeri,6.511332,False
DorsAttnB-ContA,2.486665,False
DorsAttnB-ContB,0.600064,False
DorsAttnB-ContC,2.990961,False
DorsAttnB-DefaultA,0.427464,False
DorsAttnB-DefaultB,3.546173,False
DorsAttnB-DefaultC,1.37066,False
DorsAttnB-DorsAttnA,1.82387,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.808472,False
DorsAttnB-LimbicB,1.134167,False
DorsAttnB-SalVentAttnA,2.497158,False
DorsAttnB-SalVentAttnB,3.804595,False
DorsAttnB-SomMotA,2.433424,False
DorsAttnB-SomMotB,0.301488,False
DorsAttnB-TempPar,2.627783,False
DorsAttnB-VisCent,2.841894,False
DorsAttnB-VisPeri,0.21034,False
LimbicA-ContA,6.48628,False
LimbicA-ContB,5.663869,False
LimbicA-ContC,2.104969,False
LimbicA-DefaultA,1.197733,False
LimbicA-DefaultB,3.01387,False
LimbicA-DefaultC,2.501614,False
LimbicA-DorsAttnA,2.133764,False
LimbicA-DorsAttnB,2.664446,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,14.096699,False
LimbicA-SalVentAttnA,0.034458,False
LimbicA-SalVentAttnB,4.728249,False
LimbicA-SomMotA,7.565012,False
LimbicA-SomMotB,1.999381,False
LimbicA-TempPar,1.102741,False
LimbicA-VisCent,3.177337,False
LimbicA-VisPeri,3.183399,False
LimbicB-ContA,1.920533,False
LimbicB-ContB,1.275539,False
LimbicB-ContC,2.019444,False
LimbicB-DefaultA,2.951211,False
LimbicB-DefaultB,2.477359,False
LimbicB-DefaultC,0.995472,False
LimbicB-DorsAttnA,2.495299,False
LimbicB-DorsAttnB,0.041416,False
LimbicB-LimbicA,1.228544,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.884831,False
LimbicB-SalVentAttnB,3.202979,False
LimbicB-SomMotA,4.516743,False
LimbicB-SomMotB,0.102057,False
LimbicB-TempPar,1.870093,False
LimbicB-VisCent,5.125073,False
LimbicB-VisPeri,0.115016,False
SalVentAttnA-ContA,0.29437,False
SalVentAttnA-ContB,1.853073,False
SalVentAttnA-ContC,1.165348,False
SalVentAttnA-DefaultA,1.389669,False
SalVentAttnA-DefaultB,0.552092,False
SalVentAttnA-DefaultC,0.380708,False
SalVentAttnA-DorsAttnA,0.008637,False
SalVentAttnA-DorsAttnB,0.256233,False
SalVentAttnA-LimbicA,3.754567,False
SalVentAttnA-LimbicB,0.084608,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.86268,False
SalVentAttnA-SomMotA,0.345375,False
SalVentAttnA-SomMotB,2.052945,False
SalVentAttnA-TempPar,0.387817,False
SalVentAttnA-VisCent,1.352282,False
SalVentAttnA-VisPeri,0.585328,False
SalVentAttnB-ContA,13.878858,False
SalVentAttnB-ContB,9.090928,False
SalVentAttnB-ContC,3.010057,False
SalVentAttnB-DefaultA,2.341307,False
SalVentAttnB-DefaultB,4.025651,False
SalVentAttnB-DefaultC,1.791928,False
SalVentAttnB-DorsAttnA,1.270479,False
SalVentAttnB-DorsAttnB,0.824959,False
