network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.180921,False
ContA-ContC,1.239029,False
ContA-DefaultA,0.172491,False
ContA-DefaultB,0.168714,False
ContA-DefaultC,2.531549,False
ContA-DorsAttnA,0.639967,False
ContA-DorsAttnB,2.732715,False
ContA-LimbicA,23.890075,False
ContA-LimbicB,2.697708,False
ContA-SalVentAttnA,0.193557,False
ContA-SalVentAttnB,3.720493,False
ContA-SomMotA,0.498707,False
ContA-SomMotB,2.978886,False
ContA-TempPar,0.817207,False
ContA-VisCent,1.276399,False
ContA-VisPeri,2.56914,False
ContB-ContA,3.602694,False
ContB-ContB,0.0,True
ContB-ContC,0.189954,False
ContB-DefaultA,4.014805,False
ContB-DefaultB,1.337768,False
ContB-DefaultC,2.530689,False
ContB-DorsAttnA,0.273361,False
ContB-DorsAttnB,2.156987,False
ContB-LimbicA,2.056183,False
ContB-LimbicB,0.353119,False
ContB-SalVentAttnA,0.055578,False
ContB-SalVentAttnB,0.226166,False
ContB-SomMotA,1.364837,False
ContB-SomMotB,1.754132,False
ContB-TempPar,3.175217,False
ContB-VisCent,3.607797,False
ContB-VisPeri,3.845487,False
ContC-ContA,0.783208,False
ContC-ContB,1.01575,False
ContC-ContC,0.0,True
ContC-DefaultA,4.831133,False
ContC-DefaultB,1.734923,False
ContC-DefaultC,6.904038,False
ContC-DorsAttnA,3.743001,False
ContC-DorsAttnB,4.297603,False
ContC-LimbicA,1.364867,False
ContC-LimbicB,3.242404,False
ContC-SalVentAttnA,1.066393,False
ContC-SalVentAttnB,0.839322,False
ContC-SomMotA,0.56921,False
ContC-SomMotB,0.146474,False
ContC-TempPar,2.196269,False
ContC-VisCent,2.499664,False
ContC-VisPeri,1.447397,False
DefaultA-ContA,0.763958,False
DefaultA-ContB,1.885036,False
DefaultA-ContC,20.388134,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.539352,False
DefaultA-DefaultC,5.489856,False
DefaultA-DorsAttnA,3.698152,False
DefaultA-DorsAttnB,0.59419,False
DefaultA-LimbicA,0.345785,False
DefaultA-LimbicB,10.676832,False
DefaultA-SalVentAttnA,0.553641,False
DefaultA-SalVentAttnB,2.856195,False
DefaultA-SomMotA,1.391548,False
DefaultA-SomMotB,0.479343,False
