network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.861415,False
ContA-ContC,0.717037,False
ContA-DefaultA,0.494322,False
ContA-DefaultB,2.825185,False
ContA-DefaultC,3.020678,False
ContA-DorsAttnA,0.259471,False
ContA-DorsAttnB,0.024195,False
ContA-LimbicA,0.864078,False
ContA-LimbicB,2.452511,False
ContA-SalVentAttnA,1.206968,False
ContA-SalVentAttnB,1.184085,False
ContA-SomMotA,2.278575,False
ContA-SomMotB,0.794543,False
ContA-TempPar,4.059601,False
ContA-VisCent,2.113225,False
ContA-VisPeri,4.865289,False
ContB-ContA,8.086382,False
ContB-ContB,0.0,True
ContB-ContC,3.467145,False
ContB-DefaultA,1.104391,False
ContB-DefaultB,4.966542,False
ContB-DefaultC,3.933271,False
ContB-DorsAttnA,4.767916,False
ContB-DorsAttnB,0.354609,False
ContB-LimbicA,4.450887,False
ContB-LimbicB,2.47419,False
ContB-SalVentAttnA,1.122102,False
ContB-SalVentAttnB,1.188217,False
ContB-SomMotA,12.698345,False
ContB-SomMotB,8.120354,False
ContB-TempPar,4.089528,False
ContB-VisCent,7.77237,False
ContB-VisPeri,6.816429,False
ContC-ContA,0.727529,False
ContC-ContB,0.085638,False
ContC-ContC,0.0,True
ContC-DefaultA,25.031227,False
ContC-DefaultB,0.39572,False
ContC-DefaultC,1.201997,False
ContC-DorsAttnA,8.085722,False
ContC-DorsAttnB,2.500312,False
ContC-LimbicA,7.905269,False
ContC-LimbicB,10.781492,False
ContC-SalVentAttnA,0.272608,False
ContC-SalVentAttnB,6.605456,False
ContC-SomMotA,5.172341,False
ContC-SomMotB,5.240534,False
ContC-TempPar,1.413728,False
ContC-VisCent,2.446243,False
ContC-VisPeri,3.680849,False
DefaultA-ContA,0.074319,False
DefaultA-ContB,0.311444,False
DefaultA-ContC,2.575723,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.046862,False
DefaultA-DefaultC,1.445152,False
DefaultA-DorsAttnA,2.545003,False
DefaultA-DorsAttnB,2.861403,False
DefaultA-LimbicA,3.548308,False
DefaultA-LimbicB,3.971505,False
DefaultA-SalVentAttnA,1.096551,False
DefaultA-SalVentAttnB,1.34548,False
DefaultA-SomMotA,5.457068,False
DefaultA-SomMotB,2.563968,False
DefaultA-TempPar,3.414422,False
