network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.663653,False
ContA-ContC,1.148351,False
ContA-DefaultA,1.848434,False
ContA-DefaultB,0.949117,False
ContA-DefaultC,0.390607,False
ContA-DorsAttnA,0.912795,False
ContA-DorsAttnB,1.65383,False
ContA-LimbicA,22.612575,False
ContA-LimbicB,11.552185,False
ContA-SalVentAttnA,0.479954,False
ContA-SalVentAttnB,4.57714,False
ContA-SomMotA,1.453039,False
ContA-SomMotB,1.661816,False
ContA-TempPar,0.317064,False
ContA-VisCent,1.889969,False
ContA-VisPeri,0.43298,False
ContB-ContA,1.319231,False
ContB-ContB,0.0,True
ContB-ContC,8.441278,False
ContB-DefaultA,2.627397,False
ContB-DefaultB,1.625634,False
ContB-DefaultC,2.584973,False
ContB-DorsAttnA,1.923128,False
ContB-DorsAttnB,4.405483,False
ContB-LimbicA,1.693497,False
ContB-LimbicB,1.87048,False
ContB-SalVentAttnA,8.218276,False
ContB-SalVentAttnB,0.878135,False
ContB-SomMotA,0.21698,False
ContB-SomMotB,1.329111,False
ContB-TempPar,1.5634,False
ContB-VisCent,4.56246,False
ContB-VisPeri,0.697289,False
ContC-ContA,0.608293,False
ContC-ContB,3.490622,False
ContC-ContC,0.0,True
ContC-DefaultA,6.988826,False
ContC-DefaultB,3.1121,False
ContC-DefaultC,4.246377,False
ContC-DorsAttnA,4.491797,False
ContC-DorsAttnB,1.967305,False
ContC-LimbicA,0.803371,False
ContC-LimbicB,4.449717,False
ContC-SalVentAttnA,0.182355,False
ContC-SalVentAttnB,1.850825,False
ContC-SomMotA,1.378276,False
ContC-SomMotB,0.477948,False
ContC-TempPar,3.02688,False
ContC-VisCent,3.36835,False
ContC-VisPeri,1.321865,False
DefaultA-ContA,1.564645,False
DefaultA-ContB,4.467752,False
DefaultA-ContC,22.141449,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.95518,False
DefaultA-DefaultC,1.416463,False
DefaultA-DorsAttnA,6.510295,False
DefaultA-DorsAttnB,0.495945,False
DefaultA-LimbicA,3.331308,False
DefaultA-LimbicB,13.96171,False
DefaultA-SalVentAttnA,3.227908,False
DefaultA-SalVentAttnB,4.631293,False
DefaultA-SomMotA,0.523095,False
DefaultA-SomMotB,1.38189,False
DefaultA-TempPar,3.681701,False
DefaultA-VisCent,2.604946,False
DefaultA-VisPeri,1.254747,False
DefaultB-ContA,1.423307,False
DefaultB-ContB,3.264757,False
DefaultB-ContC,6.46506,False
DefaultB-DefaultA,3.361587,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.709426,False
DefaultB-DorsAttnA,3.801905,False
DefaultB-DorsAttnB,1.763177,False
DefaultB-LimbicA,0.145742,False
DefaultB-LimbicB,1.392254,False
DefaultB-SalVentAttnA,0.32703,False
DefaultB-SalVentAttnB,0.413016,False
DefaultB-SomMotA,1.962594,False
DefaultB-SomMotB,1.538808,False
DefaultB-TempPar,1.673439,False
DefaultB-VisCent,4.710428,False
DefaultB-VisPeri,2.21381,False
DefaultC-ContA,0.08794,False
DefaultC-ContB,2.793113,False
DefaultC-ContC,0.642206,False
DefaultC-DefaultA,0.123323,False
DefaultC-DefaultB,11.020217,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.293928,False
DefaultC-DorsAttnB,4.834081,False
DefaultC-LimbicA,0.335596,False
DefaultC-LimbicB,0.513652,False
DefaultC-SalVentAttnA,4.63035,False
DefaultC-SalVentAttnB,0.56679,False
DefaultC-SomMotA,6.176725,False
DefaultC-SomMotB,2.203993,False
DefaultC-TempPar,1.227597,False
DefaultC-VisCent,8.581757,False
DefaultC-VisPeri,0.805345,False
DorsAttnA-ContA,2.08618,False
DorsAttnA-ContB,0.88513,False
DorsAttnA-ContC,1.81167,False
DorsAttnA-DefaultA,1.271093,False
DorsAttnA-DefaultB,6.441378,False
DorsAttnA-DefaultC,5.223359,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.665999,False
DorsAttnA-LimbicA,3.431241,False
DorsAttnA-LimbicB,0.189552,False
DorsAttnA-SalVentAttnA,8.836769,False
DorsAttnA-SalVentAttnB,2.128942,False
DorsAttnA-SomMotA,0.995802,False
DorsAttnA-SomMotB,1.391154,False
DorsAttnA-TempPar,2.232973,False
DorsAttnA-VisCent,3.909127,False
DorsAttnA-VisPeri,2.263942,False
DorsAttnB-ContA,10.262059,False
DorsAttnB-ContB,0.366831,False
DorsAttnB-ContC,0.428731,False
DorsAttnB-DefaultA,0.63478,False
DorsAttnB-DefaultB,1.514325,False
DorsAttnB-DefaultC,0.764504,False
DorsAttnB-DorsAttnA,3.030151,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,16.187278,False
DorsAttnB-LimbicB,5.016317,False
DorsAttnB-SalVentAttnA,3.265198,False
DorsAttnB-SalVentAttnB,5.655867,False
DorsAttnB-SomMotA,3.925949,False
DorsAttnB-SomMotB,2.036318,False
DorsAttnB-TempPar,0.586742,False
DorsAttnB-VisCent,4.338762,False
DorsAttnB-VisPeri,1.774709,False
LimbicA-ContA,15.186767,False
LimbicA-ContB,0.123124,False
LimbicA-ContC,0.520918,False
LimbicA-DefaultA,5.299134,False
LimbicA-DefaultB,0.481031,False
LimbicA-DefaultC,0.401919,False
LimbicA-DorsAttnA,0.819359,False
LimbicA-DorsAttnB,1.124866,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,4.092677,False
LimbicA-SalVentAttnA,0.047419,False
LimbicA-SalVentAttnB,1.991781,False
LimbicA-SomMotA,2.355474,False
LimbicA-SomMotB,6.058746,False
LimbicA-TempPar,0.172216,False
LimbicA-VisCent,2.443211,False
LimbicA-VisPeri,0.213872,False
LimbicB-ContA,3.436788,False
LimbicB-ContB,0.434303,False
LimbicB-ContC,5.599228,False
LimbicB-DefaultA,9.597189,False
LimbicB-DefaultB,7.617305,False
LimbicB-DefaultC,0.288749,False
LimbicB-DorsAttnA,1.527693,False
LimbicB-DorsAttnB,1.143151,False
LimbicB-LimbicA,16.394256,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,2.240671,False
LimbicB-SalVentAttnB,7.981365,False
LimbicB-SomMotA,2.625892,False
LimbicB-SomMotB,0.105498,False
LimbicB-TempPar,4.057253,False
LimbicB-VisCent,2.016532,False
LimbicB-VisPeri,2.113172,False
SalVentAttnA-ContA,1.422249,False
SalVentAttnA-ContB,0.250873,False
SalVentAttnA-ContC,0.089342,False
SalVentAttnA-DefaultA,1.025481,False
SalVentAttnA-DefaultB,1.69621,False
SalVentAttnA-DefaultC,0.016243,False
SalVentAttnA-DorsAttnA,3.743924,False
SalVentAttnA-DorsAttnB,2.654723,False
SalVentAttnA-LimbicA,2.870712,False
SalVentAttnA-LimbicB,1.745777,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.91608,False
SalVentAttnA-SomMotA,2.216755,False
SalVentAttnA-SomMotB,0.294705,False
SalVentAttnA-TempPar,0.13767,False
SalVentAttnA-VisCent,0.811077,False
SalVentAttnA-VisPeri,4.185069,False
SalVentAttnB-ContA,4.560834,False
SalVentAttnB-ContB,0.812228,False
SalVentAttnB-ContC,0.510755,False
SalVentAttnB-DefaultA,10.569101,False
SalVentAttnB-DefaultB,5.895455,False
SalVentAttnB-DefaultC,1.851305,False
SalVentAttnB-DorsAttnA,0.396347,False
SalVentAttnB-DorsAttnB,3.372262,False
SalVentAttnB-LimbicA,13.557699,False
SalVentAttnB-LimbicB,43.462713,False
SalVentAttnB-SalVentAttnA,4.96813,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,3.064242,False
SalVentAttnB-SomMotB,0.364603,False
SalVentAttnB-TempPar,1.033997,False
SalVentAttnB-VisCent,1.65853,False
SalVentAttnB-VisPeri,2.522169,False
SomMotA-ContA,4.643393,False
SomMotA-ContB,11.470469,False
SomMotA-ContC,8.311787,False
SomMotA-DefaultA,12.460483,False
SomMotA-DefaultB,8.335665,False
SomMotA-DefaultC,10.278976,False
SomMotA-DorsAttnA,2.053669,False
SomMotA-DorsAttnB,2.485987,False
SomMotA-LimbicA,6.393184,False
SomMotA-LimbicB,11.508828,False
SomMotA-SalVentAttnA,0.449957,False
SomMotA-SalVentAttnB,4.211361,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,3.865483,False
SomMotA-TempPar,3.936173,False
SomMotA-VisCent,7.265002,False
SomMotA-VisPeri,10.97927,False
SomMotB-ContA,0.244535,False
SomMotB-ContB,3.67241,False
SomMotB-ContC,0.202858,False
SomMotB-DefaultA,0.024982,False
SomMotB-DefaultB,0.013021,False
SomMotB-DefaultC,4.209713,False
SomMotB-DorsAttnA,2.194781,False
SomMotB-DorsAttnB,0.241673,False
SomMotB-LimbicA,0.133642,False
SomMotB-LimbicB,0.352821,False
SomMotB-SalVentAttnA,1.03946,False
SomMotB-SalVentAttnB,1.999188,False
SomMotB-SomMotA,2.425704,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.342678,False
SomMotB-VisCent,0.4792,False
SomMotB-VisPeri,1.640168,False
TempPar-ContA,0.483766,False
TempPar-ContB,16.493918,False
TempPar-ContC,0.325385,False
TempPar-DefaultA,0.496783,False
TempPar-DefaultB,1.565743,False
TempPar-DefaultC,15.433413,False
TempPar-DorsAttnA,3.46595,False
TempPar-DorsAttnB,1.189958,False
TempPar-LimbicA,3.466638,False
TempPar-LimbicB,4.151788,False
TempPar-SalVentAttnA,13.904536,False
TempPar-SalVentAttnB,6.116829,False
TempPar-SomMotA,11.129996,False
TempPar-SomMotB,2.988069,False
TempPar-TempPar,0.0,True
TempPar-VisCent,8.605068,False
TempPar-VisPeri,5.357363,False
VisCent-ContA,2.395838,False
VisCent-ContB,2.046132,False
VisCent-ContC,1.59466,False
VisCent-DefaultA,1.108264,False
VisCent-DefaultB,2.540942,False
