network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.238478,False
ContA-ContC,5.245617,False
ContA-DefaultA,0.716193,False
ContA-DefaultB,3.798818,False
ContA-DefaultC,2.695009,False
ContA-DorsAttnA,0.696719,False
ContA-DorsAttnB,3.518426,False
ContA-LimbicA,23.970844,False
ContA-LimbicB,9.519416,False
ContA-SalVentAttnA,0.095856,False
ContA-SalVentAttnB,2.354844,False
ContA-SomMotA,7.585334,False
ContA-SomMotB,2.480972,False
ContA-TempPar,1.541129,False
ContA-VisCent,0.807565,False
ContA-VisPeri,1.506939,False
ContB-ContA,8.468131,False
ContB-ContB,0.0,True
ContB-ContC,1.249055,False
ContB-DefaultA,0.835863,False
ContB-DefaultB,4.408223,False
ContB-DefaultC,0.900647,False
ContB-DorsAttnA,0.099897,False
ContB-DorsAttnB,7.105561,False
ContB-LimbicA,3.603362,False
ContB-LimbicB,2.38994,False
ContB-SalVentAttnA,2.238382,False
ContB-SalVentAttnB,0.81002,False
ContB-SomMotA,1.336721,False
ContB-SomMotB,1.210728,False
ContB-TempPar,3.016318,False
ContB-VisCent,0.866863,False
ContB-VisPeri,3.050239,False
ContC-ContA,0.007796,False
ContC-ContB,2.008744,False
ContC-ContC,0.0,True
ContC-DefaultA,0.822092,False
ContC-DefaultB,0.729432,False
ContC-DefaultC,0.800551,False
ContC-DorsAttnA,3.298841,False
ContC-DorsAttnB,2.402075,False
ContC-LimbicA,1.06256,False
ContC-LimbicB,3.079416,False
ContC-SalVentAttnA,2.473113,False
ContC-SalVentAttnB,1.518134,False
ContC-SomMotA,0.347511,False
ContC-SomMotB,0.217893,False
ContC-TempPar,1.383776,False
ContC-VisCent,1.082403,False
ContC-VisPeri,0.315069,False
DefaultA-ContA,5.480563,False
DefaultA-ContB,0.338412,False
DefaultA-ContC,18.636839,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.067221,False
DefaultA-DefaultC,3.892531,False
DefaultA-DorsAttnA,9.851862,False
DefaultA-DorsAttnB,3.152116,False
DefaultA-LimbicA,2.995253,False
DefaultA-LimbicB,15.663266,False
DefaultA-SalVentAttnA,2.836466,False
DefaultA-SalVentAttnB,1.945268,False
DefaultA-SomMotA,0.563669,False
DefaultA-SomMotB,1.337665,False
DefaultA-TempPar,1.017373,False
DefaultA-VisCent,1.389488,False
DefaultA-VisPeri,2.139973,False
DefaultB-ContA,3.703608,False
DefaultB-ContB,0.213571,False
DefaultB-ContC,1.593916,False
DefaultB-DefaultA,1.035802,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.022113,False
DefaultB-DorsAttnA,4.967668,False
DefaultB-DorsAttnB,0.457913,False
DefaultB-LimbicA,2.595078,False
DefaultB-LimbicB,7.793185,False
DefaultB-SalVentAttnA,1.616175,False
DefaultB-SalVentAttnB,1.879129,False
DefaultB-SomMotA,1.122618,False
DefaultB-SomMotB,1.669519,False
