network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.19454,False
ContA-ContC,6.380878,False
ContA-DefaultA,14.638428,False
ContA-DefaultB,1.337188,False
ContA-DefaultC,0.30377,False
ContA-DorsAttnA,11.55454,False
ContA-DorsAttnB,6.897725,False
ContA-LimbicA,28.282233,False
ContA-LimbicB,19.08246,False
ContA-SalVentAttnA,2.147906,False
ContA-SalVentAttnB,15.40855,False
ContA-SomMotA,4.621648,False
ContA-SomMotB,3.265228,False
ContA-TempPar,0.53104,False
ContA-VisCent,1.566191,False
ContA-VisPeri,6.384505,False
ContB-ContA,3.601383,False
ContB-ContB,0.0,True
ContB-ContC,8.978023,False
ContB-DefaultA,3.55352,False
ContB-DefaultB,0.09675,False
ContB-DefaultC,0.525345,False
ContB-DorsAttnA,1.794528,False
ContB-DorsAttnB,0.659489,False
ContB-LimbicA,7.164309,False
ContB-LimbicB,1.369532,False
ContB-SalVentAttnA,0.195072,False
ContB-SalVentAttnB,0.871261,False
ContB-SomMotA,6.001231,False
ContB-SomMotB,4.897982,False
ContB-TempPar,0.612005,False
ContB-VisCent,3.594297,False
ContB-VisPeri,5.679368,False
ContC-ContA,1.613025,False
ContC-ContB,6.004275,False
ContC-ContC,0.0,True
ContC-DefaultA,8.1973,False
ContC-DefaultB,1.13754,False
ContC-DefaultC,1.107381,False
ContC-DorsAttnA,3.357946,False
ContC-DorsAttnB,2.39673,False
ContC-LimbicA,1.073889,False
ContC-LimbicB,0.606689,False
ContC-SalVentAttnA,2.660559,False
ContC-SalVentAttnB,0.688142,False
ContC-SomMotA,1.713051,False
ContC-SomMotB,3.197541,False
ContC-TempPar,0.862735,False
ContC-VisCent,3.040706,False
ContC-VisPeri,0.986456,False
DefaultA-ContA,2.751774,False
DefaultA-ContB,2.773916,False
DefaultA-ContC,27.680792,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.576256,False
DefaultA-DefaultC,2.230722,False
DefaultA-DorsAttnA,7.852597,False
DefaultA-DorsAttnB,3.941303,False
DefaultA-LimbicA,1.579167,False
DefaultA-LimbicB,14.542854,False
DefaultA-SalVentAttnA,0.301062,False
DefaultA-SalVentAttnB,4.16557,False
DefaultA-SomMotA,3.040364,False
DefaultA-SomMotB,6.120072,False
DefaultA-TempPar,0.834094,False
DefaultA-VisCent,3.014212,False
DefaultA-VisPeri,6.887184,False
DefaultB-ContA,3.715241,False
DefaultB-ContB,4.894957,False
DefaultB-ContC,2.361631,False
DefaultB-DefaultA,8.34724,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.690719,False
DefaultB-DorsAttnA,14.748949,False
DefaultB-DorsAttnB,3.094964,False
DefaultB-LimbicA,2.014719,False
DefaultB-LimbicB,10.765873,False
DefaultB-SalVentAttnA,2.494568,False
DefaultB-SalVentAttnB,6.325758,False
DefaultB-SomMotA,20.769768,False
DefaultB-SomMotB,14.324841,False
DefaultB-TempPar,4.45781,False
DefaultB-VisCent,4.730954,False
DefaultB-VisPeri,28.291345,False
DefaultC-ContA,7.08229,False
DefaultC-ContB,8.233114,False
DefaultC-ContC,0.609591,False
DefaultC-DefaultA,2.9263,False
DefaultC-DefaultB,60.362085,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,14.727948,False
DefaultC-DorsAttnB,4.18413,False
DefaultC-LimbicA,5.430536,False
DefaultC-LimbicB,9.546979,False
DefaultC-SalVentAttnA,2.975027,False
DefaultC-SalVentAttnB,2.866262,False
DefaultC-SomMotA,34.448659,False
DefaultC-SomMotB,16.834619,False
DefaultC-TempPar,8.670018,False
DefaultC-VisCent,2.728271,False
DefaultC-VisPeri,24.1061,False
DorsAttnA-ContA,10.189695,False
DorsAttnA-ContB,0.050496,False
DorsAttnA-ContC,1.20147,False
DorsAttnA-DefaultA,8.111357,False
DorsAttnA-DefaultB,10.356324,False
DorsAttnA-DefaultC,7.932232,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.33472,False
DorsAttnA-LimbicA,4.71411,False
DorsAttnA-LimbicB,7.950564,False
DorsAttnA-SalVentAttnA,5.853465,False
DorsAttnA-SalVentAttnB,3.140963,False
DorsAttnA-SomMotA,2.915253,False
DorsAttnA-SomMotB,1.370172,False
DorsAttnA-TempPar,3.339309,False
DorsAttnA-VisCent,0.358958,False
DorsAttnA-VisPeri,0.612219,False
DorsAttnB-ContA,0.813288,False
DorsAttnB-ContB,2.768303,False
DorsAttnB-ContC,0.204259,False
DorsAttnB-DefaultA,0.113557,False
DorsAttnB-DefaultB,0.484102,False
DorsAttnB-DefaultC,0.937226,False
DorsAttnB-DorsAttnA,1.003845,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.083606,False
DorsAttnB-LimbicB,3.818383,False
DorsAttnB-SalVentAttnA,3.366197,False
DorsAttnB-SalVentAttnB,1.085048,False
DorsAttnB-SomMotA,0.609256,False
DorsAttnB-SomMotB,0.202327,False
DorsAttnB-TempPar,1.239432,False
DorsAttnB-VisCent,6.006246,False
DorsAttnB-VisPeri,0.312907,False
LimbicA-ContA,10.815016,False
LimbicA-ContB,7.161031,False
LimbicA-ContC,3.386569,False
LimbicA-DefaultA,14.955596,False
LimbicA-DefaultB,1.439596,False
LimbicA-DefaultC,2.053915,False
LimbicA-DorsAttnA,4.248025,False
LimbicA-DorsAttnB,9.051108,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,26.000949,False
LimbicA-SalVentAttnA,1.959255,False
LimbicA-SalVentAttnB,22.020468,False
LimbicA-SomMotA,18.44026,False
LimbicA-SomMotB,0.237595,False
LimbicA-TempPar,1.264674,False
LimbicA-VisCent,5.894308,False
LimbicA-VisPeri,15.414636,False
LimbicB-ContA,13.215742,False
LimbicB-ContB,12.243259,False
LimbicB-ContC,4.229017,False
LimbicB-DefaultA,13.424356,False
LimbicB-DefaultB,7.052344,False
LimbicB-DefaultC,8.316678,False
LimbicB-DorsAttnA,2.786143,False
LimbicB-DorsAttnB,2.754879,False
LimbicB-LimbicA,15.573523,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.457635,False
LimbicB-SalVentAttnB,8.390041,False
LimbicB-SomMotA,2.166714,False
LimbicB-SomMotB,1.330017,False
LimbicB-TempPar,0.56389,False
LimbicB-VisCent,4.609881,False
LimbicB-VisPeri,8.891383,False
SalVentAttnA-ContA,2.855401,False
SalVentAttnA-ContB,2.545889,False
SalVentAttnA-ContC,0.003632,False
SalVentAttnA-DefaultA,1.528267,False
SalVentAttnA-DefaultB,1.422832,False
SalVentAttnA-DefaultC,0.141218,False
SalVentAttnA-DorsAttnA,0.656958,False
SalVentAttnA-DorsAttnB,0.262705,False
SalVentAttnA-LimbicA,1.337327,False
SalVentAttnA-LimbicB,3.470373,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.549911,False
SalVentAttnA-SomMotA,1.991958,False
SalVentAttnA-SomMotB,1.151259,False
SalVentAttnA-TempPar,0.661574,False
SalVentAttnA-VisCent,0.085839,False
SalVentAttnA-VisPeri,1.527897,False
SalVentAttnB-ContA,27.134182,False
SalVentAttnB-ContB,5.673301,False
SalVentAttnB-ContC,8.004075,False
SalVentAttnB-DefaultA,10.495701,False
SalVentAttnB-DefaultB,14.98706,False
SalVentAttnB-DefaultC,6.36684,False
SalVentAttnB-DorsAttnA,2.032462,False
SalVentAttnB-DorsAttnB,7.081162,False
