network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,11.712634,False
ContA-ContC,4.054558,False
ContA-DefaultA,2.647263,False
ContA-DefaultB,1.907002,False
ContA-DefaultC,2.548714,False
ContA-DorsAttnA,1.796988,False
ContA-DorsAttnB,3.366437,False
ContA-LimbicA,13.63995,False
ContA-LimbicB,2.957451,False
ContA-SalVentAttnA,0.295758,False
ContA-SalVentAttnB,0.82,False
ContA-SomMotA,5.16534,False
ContA-SomMotB,1.898633,False
ContA-TempPar,1.660698,False
ContA-VisCent,0.443336,False
ContA-VisPeri,7.086523,False
ContB-ContA,7.552944,False
ContB-ContB,0.0,True
ContB-ContC,3.700373,False
ContB-DefaultA,2.624612,False
ContB-DefaultB,6.819599,False
ContB-DefaultC,11.174535,False
ContB-DorsAttnA,0.460416,False
ContB-DorsAttnB,0.698832,False
ContB-LimbicA,3.887229,False
ContB-LimbicB,2.489178,False
ContB-SalVentAttnA,2.32212,False
ContB-SalVentAttnB,1.954919,False
ContB-SomMotA,11.239086,False
ContB-SomMotB,11.825481,False
ContB-TempPar,6.352579,False
ContB-VisCent,3.388541,False
ContB-VisPeri,4.486351,False
ContC-ContA,0.517853,False
ContC-ContB,1.02317,False
ContC-ContC,0.0,True
ContC-DefaultA,11.472395,False
ContC-DefaultB,1.636881,False
ContC-DefaultC,1.304109,False
ContC-DorsAttnA,0.181257,False
ContC-DorsAttnB,0.74417,False
ContC-LimbicA,0.248785,False
ContC-LimbicB,3.035091,False
ContC-SalVentAttnA,0.419661,False
ContC-SalVentAttnB,0.603324,False
ContC-SomMotA,0.249602,False
ContC-SomMotB,1.415256,False
ContC-TempPar,0.656575,False
ContC-VisCent,4.141463,False
ContC-VisPeri,0.223972,False
DefaultA-ContA,0.106832,False
DefaultA-ContB,1.465593,False
DefaultA-ContC,16.629456,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.148403,False
DefaultA-DefaultC,0.164625,False
DefaultA-DorsAttnA,1.130583,False
DefaultA-DorsAttnB,0.832157,False
DefaultA-LimbicA,1.116499,False
DefaultA-LimbicB,7.479536,False
DefaultA-SalVentAttnA,0.394552,False
DefaultA-SalVentAttnB,0.569909,False
DefaultA-SomMotA,0.330177,False
DefaultA-SomMotB,2.376022,False
DefaultA-TempPar,1.234631,False
DefaultA-VisCent,1.836892,False
DefaultA-VisPeri,1.398019,False
DefaultB-ContA,2.704203,False
DefaultB-ContB,3.351681,False
DefaultB-ContC,7.613186,False
DefaultB-DefaultA,9.870999,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.165393,False
DefaultB-DorsAttnA,1.781936,False
DefaultB-DorsAttnB,1.832146,False
DefaultB-LimbicA,2.319892,False
DefaultB-LimbicB,4.497629,False
DefaultB-SalVentAttnA,0.741866,False
DefaultB-SalVentAttnB,1.080818,False
DefaultB-SomMotA,0.891096,False
DefaultB-SomMotB,2.208057,False
DefaultB-TempPar,2.764494,False
DefaultB-VisCent,0.866771,False
DefaultB-VisPeri,0.615277,False
DefaultC-ContA,6.533128,False
DefaultC-ContB,1.879089,False
DefaultC-ContC,1.888325,False
DefaultC-DefaultA,0.910409,False
DefaultC-DefaultB,10.813482,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.179286,False
DefaultC-DorsAttnB,3.374583,False
DefaultC-LimbicA,1.192001,False
DefaultC-LimbicB,0.14197,False
DefaultC-SalVentAttnA,6.13871,False
DefaultC-SalVentAttnB,0.561135,False
DefaultC-SomMotA,0.874809,False
DefaultC-SomMotB,1.135591,False
DefaultC-TempPar,0.933785,False
DefaultC-VisCent,0.919574,False
DefaultC-VisPeri,0.488702,False
DorsAttnA-ContA,0.146691,False
DorsAttnA-ContB,1.390076,False
DorsAttnA-ContC,0.499764,False
DorsAttnA-DefaultA,2.440282,False
DorsAttnA-DefaultB,4.340856,False
DorsAttnA-DefaultC,6.777255,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.003828,False
DorsAttnA-LimbicA,1.852875,False
DorsAttnA-LimbicB,3.901428,False
DorsAttnA-SalVentAttnA,0.798443,False
DorsAttnA-SalVentAttnB,5.350282,False
DorsAttnA-SomMotA,0.51737,False
DorsAttnA-SomMotB,2.619604,False
DorsAttnA-TempPar,6.81872,False
DorsAttnA-VisCent,3.823327,False
DorsAttnA-VisPeri,2.311853,False
DorsAttnB-ContA,3.325174,False
DorsAttnB-ContB,7.379625,False
DorsAttnB-ContC,11.104709,False
DorsAttnB-DefaultA,2.839507,False
DorsAttnB-DefaultB,5.626927,False
DorsAttnB-DefaultC,10.062233,False
DorsAttnB-DorsAttnA,1.362976,False
