network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.72806,False
ContA-ContC,6.585764,False
ContA-DefaultA,8.673029,False
ContA-DefaultB,6.961857,False
ContA-DefaultC,8.113278,False
ContA-DorsAttnA,0.904,False
ContA-DorsAttnB,0.760881,False
ContA-LimbicA,9.613161,False
ContA-LimbicB,7.725615,False
ContA-SalVentAttnA,0.97285,False
ContA-SalVentAttnB,6.446608,False
ContA-SomMotA,1.181142,False
ContA-SomMotB,1.765769,False
ContA-TempPar,1.989915,False
ContA-VisCent,0.460836,False
ContA-VisPeri,0.071213,False
ContB-ContA,5.697949,False
ContB-ContB,0.0,True
ContB-ContC,10.382101,False
ContB-DefaultA,5.648791,False
ContB-DefaultB,5.170005,False
ContB-DefaultC,8.603039,False
ContB-DorsAttnA,0.318875,False
ContB-DorsAttnB,1.537732,False
ContB-LimbicA,11.403505,False
ContB-LimbicB,8.407117,False
ContB-SalVentAttnA,1.919757,False
ContB-SalVentAttnB,4.51628,False
ContB-SomMotA,2.647129,False
ContB-SomMotB,1.619378,False
ContB-TempPar,3.276456,False
ContB-VisCent,7.381246,False
ContB-VisPeri,1.522859,False
ContC-ContA,1.882265,False
ContC-ContB,12.227336,False
ContC-ContC,0.0,True
ContC-DefaultA,6.928576,False
ContC-DefaultB,6.136269,False
ContC-DefaultC,2.188562,False
ContC-DorsAttnA,0.021688,False
ContC-DorsAttnB,1.129501,False
ContC-LimbicA,2.218999,False
ContC-LimbicB,3.416132,False
ContC-SalVentAttnA,0.218804,False
ContC-SalVentAttnB,0.412605,False
ContC-SomMotA,3.061901,False
ContC-SomMotB,1.040429,False
ContC-TempPar,3.414038,False
ContC-VisCent,3.200157,False
ContC-VisPeri,1.45246,False
DefaultA-ContA,1.231556,False
DefaultA-ContB,6.036941,False
DefaultA-ContC,28.769318,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,12.712555,False
DefaultA-DefaultC,8.923379,False
DefaultA-DorsAttnA,1.369883,False
DefaultA-DorsAttnB,0.923024,False
DefaultA-LimbicA,3.483693,False
DefaultA-LimbicB,7.168899,False
DefaultA-SalVentAttnA,0.865732,False
DefaultA-SalVentAttnB,0.879416,False
DefaultA-SomMotA,0.994924,False
DefaultA-SomMotB,2.157102,False
DefaultA-TempPar,5.884933,False
DefaultA-VisCent,3.634779,False
DefaultA-VisPeri,0.240044,False
DefaultB-ContA,1.282885,False
DefaultB-ContB,6.723,False
DefaultB-ContC,11.825891,False
DefaultB-DefaultA,7.294974,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.59125,False
DefaultB-DorsAttnA,2.151297,False
DefaultB-DorsAttnB,0.324704,False
DefaultB-LimbicA,1.499625,False
DefaultB-LimbicB,2.716825,False
DefaultB-SalVentAttnA,3.241968,False
DefaultB-SalVentAttnB,0.697184,False
DefaultB-SomMotA,0.437642,False
DefaultB-SomMotB,4.777458,False
DefaultB-TempPar,1.474021,False
DefaultB-VisCent,0.569933,False
DefaultB-VisPeri,1.902415,False
DefaultC-ContA,1.227095,False
DefaultC-ContB,5.125994,False
DefaultC-ContC,10.121317,False
DefaultC-DefaultA,9.167429,False
DefaultC-DefaultB,8.147208,False
