network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.734822,False
ContA-ContC,5.157001,False
ContA-DefaultA,5.464911,False
ContA-DefaultB,2.568673,False
ContA-DefaultC,2.115944,False
ContA-DorsAttnA,1.478939,False
ContA-DorsAttnB,0.856432,False
ContA-LimbicA,21.51761,False
ContA-LimbicB,13.100013,False
ContA-SalVentAttnA,3.487525,False
ContA-SalVentAttnB,4.679368,False
ContA-SomMotA,8.626072,False
ContA-SomMotB,1.961235,False
ContA-TempPar,0.122179,False
ContA-VisCent,0.730323,False
ContA-VisPeri,7.068562,False
ContB-ContA,2.450548,False
ContB-ContB,0.0,True
ContB-ContC,2.835056,False
ContB-DefaultA,0.427355,False
ContB-DefaultB,0.310583,False
ContB-DefaultC,1.052078,False
ContB-DorsAttnA,0.451596,False
ContB-DorsAttnB,0.537778,False
ContB-LimbicA,2.641672,False
ContB-LimbicB,3.546735,False
ContB-SalVentAttnA,5.490514,False
ContB-SalVentAttnB,0.161294,False
ContB-SomMotA,15.846731,False
ContB-SomMotB,1.48597,False
ContB-TempPar,0.341919,False
ContB-VisCent,0.419058,False
ContB-VisPeri,10.183943,False
ContC-ContA,6.516277,False
ContC-ContB,4.871416,False
ContC-ContC,0.0,True
ContC-DefaultA,12.87603,False
ContC-DefaultB,5.737112,False
ContC-DefaultC,1.25508,False
ContC-DorsAttnA,1.077742,False
ContC-DorsAttnB,0.472314,False
ContC-LimbicA,3.900452,False
ContC-LimbicB,9.985983,False
ContC-SalVentAttnA,1.902869,False
ContC-SalVentAttnB,7.056171,False
ContC-SomMotA,6.288532,False
ContC-SomMotB,1.414642,False
ContC-TempPar,2.115165,False
ContC-VisCent,3.486898,False
ContC-VisPeri,3.125307,False
DefaultA-ContA,14.51404,False
DefaultA-ContB,3.062171,False
DefaultA-ContC,20.650222,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.61081,False
DefaultA-DefaultC,1.216829,False
DefaultA-DorsAttnA,2.752395,False
DefaultA-DorsAttnB,0.246267,False
DefaultA-LimbicA,9.606235,False
DefaultA-LimbicB,11.303901,False
DefaultA-SalVentAttnA,7.299696,False
DefaultA-SalVentAttnB,8.268162,False
DefaultA-SomMotA,8.729004,False
DefaultA-SomMotB,2.262636,False
DefaultA-TempPar,1.969807,False
DefaultA-VisCent,4.411063,False
DefaultA-VisPeri,7.108794,False
DefaultB-ContA,5.23411,False
DefaultB-ContB,2.202883,False
DefaultB-ContC,9.697416,False
DefaultB-DefaultA,5.946706,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.154883,False
DefaultB-DorsAttnA,2.682167,False
DefaultB-DorsAttnB,1.216482,False
DefaultB-LimbicA,2.762755,False
DefaultB-LimbicB,4.784783,False
DefaultB-SalVentAttnA,3.872977,False
DefaultB-SalVentAttnB,4.01201,False
DefaultB-SomMotA,6.374616,False
DefaultB-SomMotB,5.661956,False
DefaultB-TempPar,7.742008,False
DefaultB-VisCent,4.503081,False
DefaultB-VisPeri,5.318195,False
DefaultC-ContA,3.636427,False
DefaultC-ContB,3.532933,False
DefaultC-ContC,4.036261,False
DefaultC-DefaultA,2.289571,False
DefaultC-DefaultB,19.280899,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.274807,False
DefaultC-DorsAttnB,0.490409,False
DefaultC-LimbicA,2.159662,False
DefaultC-LimbicB,2.644843,False
DefaultC-SalVentAttnA,2.148942,False
DefaultC-SalVentAttnB,1.562189,False
DefaultC-SomMotA,3.649327,False
DefaultC-SomMotB,2.792719,False
DefaultC-TempPar,31.983279,False
DefaultC-VisCent,6.831116,False
DefaultC-VisPeri,2.057274,False
DorsAttnA-ContA,0.92882,False
DorsAttnA-ContB,0.46172,False
DorsAttnA-ContC,3.451886,False
DorsAttnA-DefaultA,4.39889,False
DorsAttnA-DefaultB,5.167492,False
DorsAttnA-DefaultC,12.364341,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.160442,False
DorsAttnA-LimbicA,0.399335,False
DorsAttnA-LimbicB,0.997447,False
DorsAttnA-SalVentAttnA,1.813865,False
DorsAttnA-SalVentAttnB,3.235039,False
DorsAttnA-SomMotA,8.555299,False
DorsAttnA-SomMotB,6.019,False
DorsAttnA-TempPar,3.574909,False
DorsAttnA-VisCent,7.347302,False
DorsAttnA-VisPeri,7.731346,False
DorsAttnB-ContA,0.071353,False
DorsAttnB-ContB,2.52307,False
DorsAttnB-ContC,1.192664,False
DorsAttnB-DefaultA,0.334691,False
DorsAttnB-DefaultB,0.229175,False
DorsAttnB-DefaultC,1.134217,False
DorsAttnB-DorsAttnA,4.150946,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.007587,False
DorsAttnB-LimbicB,0.730142,False
DorsAttnB-SalVentAttnA,3.30903,False
DorsAttnB-SalVentAttnB,1.378599,False
DorsAttnB-SomMotA,8.22463,False
DorsAttnB-SomMotB,9.724511,False
DorsAttnB-TempPar,0.254653,False
DorsAttnB-VisCent,13.130249,False
DorsAttnB-VisPeri,4.707249,False
LimbicA-ContA,34.554559,False
LimbicA-ContB,12.258387,False
LimbicA-ContC,5.056533,False
LimbicA-DefaultA,8.838465,False
LimbicA-DefaultB,3.553753,False
LimbicA-DefaultC,1.258809,False
LimbicA-DorsAttnA,1.903738,False
LimbicA-DorsAttnB,1.189163,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,22.273085,False
LimbicA-SalVentAttnA,1.619754,False
LimbicA-SalVentAttnB,4.062615,False
LimbicA-SomMotA,9.553413,False
LimbicA-SomMotB,0.826767,False
LimbicA-TempPar,0.088316,False
LimbicA-VisCent,0.931677,False
LimbicA-VisPeri,6.20257,False
LimbicB-ContA,10.874673,False
LimbicB-ContB,4.100246,False
LimbicB-ContC,11.75311,False
LimbicB-DefaultA,11.943418,False
LimbicB-DefaultB,3.059435,False
LimbicB-DefaultC,0.839113,False
LimbicB-DorsAttnA,0.159355,False
LimbicB-DorsAttnB,3.407236,False
LimbicB-LimbicA,7.442631,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,7.117769,False
LimbicB-SalVentAttnB,6.217509,False
LimbicB-SomMotA,4.583217,False
LimbicB-SomMotB,4.868903,False
LimbicB-TempPar,2.85318,False
LimbicB-VisCent,4.886553,False
LimbicB-VisPeri,2.445981,False
SalVentAttnA-ContA,1.773439,False
SalVentAttnA-ContB,10.56689,False
SalVentAttnA-ContC,3.056181,False
SalVentAttnA-DefaultA,0.6416,False
SalVentAttnA-DefaultB,4.254088,False
SalVentAttnA-DefaultC,7.443054,False
SalVentAttnA-DorsAttnA,5.276507,False
SalVentAttnA-DorsAttnB,6.03443,False
SalVentAttnA-LimbicA,1.419666,False
SalVentAttnA-LimbicB,4.53208,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.177076,False
SalVentAttnA-SomMotA,1.439582,False
SalVentAttnA-SomMotB,3.276175,False
SalVentAttnA-TempPar,3.70508,False
SalVentAttnA-VisCent,6.63306,False
SalVentAttnA-VisPeri,0.315043,False
SalVentAttnB-ContA,25.570166,False
SalVentAttnB-ContB,6.512223,False
SalVentAttnB-ContC,21.148073,False
SalVentAttnB-DefaultA,29.549073,False
SalVentAttnB-DefaultB,19.200166,False
SalVentAttnB-DefaultC,1.495371,False
SalVentAttnB-DorsAttnA,0.182075,False
SalVentAttnB-DorsAttnB,2.665392,False
SalVentAttnB-LimbicA,15.731354,False
SalVentAttnB-LimbicB,44.480648,False
SalVentAttnB-SalVentAttnA,13.648292,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,8.71885,False
SalVentAttnB-SomMotB,4.022668,False
SalVentAttnB-TempPar,5.156104,False
SalVentAttnB-VisCent,3.545915,False
SalVentAttnB-VisPeri,5.968136,False
SomMotA-ContA,12.034352,False
SomMotA-ContB,31.739225,False
SomMotA-ContC,9.512409,False
SomMotA-DefaultA,26.948615,False
SomMotA-DefaultB,28.020212,False
SomMotA-DefaultC,27.005761,False
SomMotA-DorsAttnA,16.409646,False
SomMotA-DorsAttnB,21.060624,False
SomMotA-LimbicA,19.554823,False
SomMotA-LimbicB,17.81954,False
SomMotA-SalVentAttnA,1.776558,False
SomMotA-SalVentAttnB,39.227242,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,3.037807,False
SomMotA-TempPar,13.930244,False
SomMotA-VisCent,9.140457,False
SomMotA-VisPeri,6.697305,False
SomMotB-ContA,4.859347,False
SomMotB-ContB,6.037073,False
SomMotB-ContC,6.26587,False
SomMotB-DefaultA,10.566583,False
SomMotB-DefaultB,12.556107,False
SomMotB-DefaultC,12.341576,False
SomMotB-DorsAttnA,3.922912,False
SomMotB-DorsAttnB,9.120566,False
SomMotB-LimbicA,3.861361,False
SomMotB-LimbicB,3.230468,False
SomMotB-SalVentAttnA,5.413469,False
SomMotB-SalVentAttnB,9.014635,False
SomMotB-SomMotA,2.019209,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,6.271504,False
SomMotB-VisCent,4.468043,False
SomMotB-VisPeri,0.714214,False
TempPar-ContA,2.120538,False
TempPar-ContB,0.45599,False
TempPar-ContC,1.145355,False
TempPar-DefaultA,1.655362,False
TempPar-DefaultB,1.100423,False
TempPar-DefaultC,1.550851,False
TempPar-DorsAttnA,5.832071,False
TempPar-DorsAttnB,0.321582,False
TempPar-LimbicA,1.974114,False
TempPar-LimbicB,1.159204,False
TempPar-SalVentAttnA,2.014067,False
TempPar-SalVentAttnB,2.679924,False
TempPar-SomMotA,7.254415,False
TempPar-SomMotB,3.793377,False
TempPar-TempPar,0.0,True
TempPar-VisCent,2.147618,False
TempPar-VisPeri,4.998723,False
VisCent-ContA,9.62064,False
VisCent-ContB,8.971587,False
VisCent-ContC,7.063326,False
VisCent-DefaultA,10.070245,False
VisCent-DefaultB,9.81182,False
VisCent-DefaultC,8.281465,False
VisCent-DorsAttnA,11.623112,False
VisCent-DorsAttnB,8.247605,False
VisCent-LimbicA,9.674235,False
VisCent-LimbicB,3.755288,False
VisCent-SalVentAttnA,2.119376,False
VisCent-SalVentAttnB,9.470149,False
VisCent-SomMotA,6.632549,False
VisCent-SomMotB,4.737474,False
VisCent-TempPar,3.325025,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.913064,False
VisPeri-ContA,21.586729,False
VisPeri-ContB,28.540669,False
VisPeri-ContC,10.974925,False
VisPeri-DefaultA,30.104651,False
VisPeri-DefaultB,29.30612,False
