network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.78897,False
ContA-ContC,3.064856,False
ContA-DefaultA,1.252639,False
ContA-DefaultB,1.35616,False
ContA-DefaultC,11.890497,False
ContA-DorsAttnA,4.046705,False
ContA-DorsAttnB,4.505944,False
ContA-LimbicA,6.334765,False
ContA-LimbicB,2.76898,False
ContA-SalVentAttnA,0.148195,False
ContA-SalVentAttnB,0.240245,False
ContA-SomMotA,3.043638,False
ContA-SomMotB,1.620081,False
ContA-TempPar,4.406834,False
ContA-VisCent,0.522252,False
ContA-VisPeri,1.606404,False
ContB-ContA,1.313371,False
ContB-ContB,0.0,True
ContB-ContC,3.88787,False
ContB-DefaultA,0.112394,False
ContB-DefaultB,3.877938,False
ContB-DefaultC,16.284029,False
ContB-DorsAttnA,0.93889,False
ContB-DorsAttnB,0.041998,False
ContB-LimbicA,0.102089,False
ContB-LimbicB,0.026865,False
ContB-SalVentAttnA,2.010442,False
ContB-SalVentAttnB,0.517658,False
ContB-SomMotA,4.229609,False
ContB-SomMotB,1.967816,False
ContB-TempPar,3.144572,False
ContB-VisCent,0.505031,False
ContB-VisPeri,2.227698,False
ContC-ContA,1.40106,False
ContC-ContB,1.648015,False
ContC-ContC,0.0,True
ContC-DefaultA,0.837668,False
ContC-DefaultB,2.185949,False
ContC-DefaultC,6.296039,False
ContC-DorsAttnA,3.119566,False
ContC-DorsAttnB,4.10595,False
ContC-LimbicA,1.611341,False
ContC-LimbicB,2.884354,False
ContC-SalVentAttnA,7.699266,False
ContC-SalVentAttnB,2.856773,False
ContC-SomMotA,5.345736,False
ContC-SomMotB,4.145747,False
ContC-TempPar,7.00347,False
ContC-VisCent,0.117563,False
ContC-VisPeri,5.258157,False
DefaultA-ContA,0.444656,False
DefaultA-ContB,0.491883,False
DefaultA-ContC,9.544836,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.579924,False
DefaultA-DefaultC,10.719257,False
DefaultA-DorsAttnA,0.785344,False
DefaultA-DorsAttnB,0.170332,False
DefaultA-LimbicA,0.114899,False
DefaultA-LimbicB,2.80061,False
DefaultA-SalVentAttnA,2.267738,False
DefaultA-SalVentAttnB,0.164055,False
DefaultA-SomMotA,4.58142,False
DefaultA-SomMotB,2.360096,False
DefaultA-TempPar,4.52222,False
DefaultA-VisCent,0.557025,False
DefaultA-VisPeri,3.802507,False
DefaultB-ContA,1.859378,False
DefaultB-ContB,0.120979,False
DefaultB-ContC,4.156421,False
DefaultB-DefaultA,0.200148,False
