network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.411519,False
ContA-ContC,1.226914,False
ContA-DefaultA,1.000521,False
ContA-DefaultB,0.064661,False
ContA-DefaultC,0.682948,False
ContA-DorsAttnA,3.084304,False
ContA-DorsAttnB,1.33236,False
ContA-LimbicA,3.839641,False
ContA-LimbicB,0.901689,False
ContA-SalVentAttnA,1.463157,False
ContA-SalVentAttnB,2.45576,False
ContA-SomMotA,2.305163,False
ContA-SomMotB,1.273172,False
ContA-TempPar,0.308886,False
ContA-VisCent,3.378175,False
ContA-VisPeri,5.451483,False
ContB-ContA,5.533363,False
ContB-ContB,0.0,True
ContB-ContC,1.686952,False
ContB-DefaultA,4.044022,False
ContB-DefaultB,0.126796,False
ContB-DefaultC,0.567583,False
ContB-DorsAttnA,3.229069,False
ContB-DorsAttnB,1.600155,False
ContB-LimbicA,2.275131,False
ContB-LimbicB,0.636769,False
ContB-SalVentAttnA,0.977287,False
ContB-SalVentAttnB,2.717321,False
ContB-SomMotA,2.374814,False
ContB-SomMotB,4.618713,False
ContB-TempPar,1.636172,False
ContB-VisCent,1.517525,False
ContB-VisPeri,3.232369,False
ContC-ContA,0.52604,False
ContC-ContB,4.00322,False
ContC-ContC,0.0,True
ContC-DefaultA,2.285587,False
ContC-DefaultB,2.063602,False
ContC-DefaultC,3.295721,False
ContC-DorsAttnA,6.469925,False
ContC-DorsAttnB,1.048581,False
ContC-LimbicA,2.098126,False
ContC-LimbicB,6.40093,False
ContC-SalVentAttnA,2.215721,False
ContC-SalVentAttnB,2.688499,False
ContC-SomMotA,3.51115,False
ContC-SomMotB,5.664463,False
ContC-TempPar,0.108289,False
ContC-VisCent,3.484893,False
ContC-VisPeri,0.74467,False
DefaultA-ContA,1.444827,False
DefaultA-ContB,6.4527,False
DefaultA-ContC,5.61246,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.905174,False
DefaultA-DefaultC,3.219808,False
DefaultA-DorsAttnA,24.262352,False
DefaultA-DorsAttnB,4.475831,False
DefaultA-LimbicA,2.238835,False
DefaultA-LimbicB,21.676336,False
DefaultA-SalVentAttnA,2.024963,False
DefaultA-SalVentAttnB,1.907085,False
DefaultA-SomMotA,8.940481,False
DefaultA-SomMotB,4.706602,False
DefaultA-TempPar,0.11865,False
DefaultA-VisCent,5.247932,False
DefaultA-VisPeri,0.591798,False
DefaultB-ContA,1.034789,False
DefaultB-ContB,6.077792,False
DefaultB-ContC,1.325634,False
DefaultB-DefaultA,5.62632,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.09275,False
DefaultB-DorsAttnA,2.340589,False
DefaultB-DorsAttnB,9.723824,False
DefaultB-LimbicA,1.799602,False
DefaultB-LimbicB,23.276669,False
DefaultB-SalVentAttnA,1.130861,False
DefaultB-SalVentAttnB,2.898298,False
DefaultB-SomMotA,1.654837,False
DefaultB-SomMotB,0.949201,False
DefaultB-TempPar,0.063649,False
DefaultB-VisCent,4.909629,False
DefaultB-VisPeri,3.729992,False
DefaultC-ContA,0.162915,False
DefaultC-ContB,3.370202,False
DefaultC-ContC,3.505182,False
DefaultC-DefaultA,7.036408,False
DefaultC-DefaultB,12.20367,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.178537,False
DefaultC-DorsAttnB,22.249332,False
DefaultC-LimbicA,2.418798,False
DefaultC-LimbicB,12.463469,False
DefaultC-SalVentAttnA,4.517945,False
DefaultC-SalVentAttnB,6.192308,False
DefaultC-SomMotA,1.786683,False
DefaultC-SomMotB,0.86853,False
DefaultC-TempPar,19.70781,False
DefaultC-VisCent,2.933529,False
DefaultC-VisPeri,9.290824,False
DorsAttnA-ContA,1.028377,False
DorsAttnA-ContB,13.000285,False
DorsAttnA-ContC,4.698815,False
DorsAttnA-DefaultA,29.207096,False
DorsAttnA-DefaultB,13.672149,False
DorsAttnA-DefaultC,0.137158,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,12.486541,False
DorsAttnA-LimbicA,0.124922,False
DorsAttnA-LimbicB,15.006087,False
DorsAttnA-SalVentAttnA,18.759888,False
DorsAttnA-SalVentAttnB,3.54402,False
DorsAttnA-SomMotA,0.397621,False
DorsAttnA-SomMotB,0.20141,False
DorsAttnA-TempPar,1.585723,False
DorsAttnA-VisCent,3.614071,False
DorsAttnA-VisPeri,3.474899,False
DorsAttnB-ContA,0.106098,False
DorsAttnB-ContB,3.388149,False
DorsAttnB-ContC,0.436679,False
DorsAttnB-DefaultA,10.281327,False
DorsAttnB-DefaultB,0.017857,False
DorsAttnB-DefaultC,8.077413,False
DorsAttnB-DorsAttnA,6.874856,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.573461,False
DorsAttnB-LimbicB,1.815445,False
DorsAttnB-SalVentAttnA,0.385612,False
DorsAttnB-SalVentAttnB,6.241631,False
DorsAttnB-SomMotA,0.403289,False
DorsAttnB-SomMotB,7.64948,False
DorsAttnB-TempPar,0.645049,False
DorsAttnB-VisCent,2.139178,False
DorsAttnB-VisPeri,0.734041,False
LimbicA-ContA,21.222806,False
LimbicA-ContB,8.900877,False
LimbicA-ContC,2.385122,False
LimbicA-DefaultA,0.455924,False
LimbicA-DefaultB,0.867931,False
LimbicA-DefaultC,1.614037,False
LimbicA-DorsAttnA,5.865048,False
LimbicA-DorsAttnB,4.949391,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,4.216158,False
LimbicA-SalVentAttnA,8.027889,False
LimbicA-SalVentAttnB,3.291322,False
LimbicA-SomMotA,5.084169,False
LimbicA-SomMotB,2.147099,False
LimbicA-TempPar,1.608181,False
LimbicA-VisCent,2.070256,False
LimbicA-VisPeri,0.739716,False
LimbicB-ContA,0.014865,False
LimbicB-ContB,1.059347,False
LimbicB-ContC,1.818856,False
LimbicB-DefaultA,2.612585,False
LimbicB-DefaultB,3.569201,False
LimbicB-DefaultC,3.296769,False
LimbicB-DorsAttnA,5.629257,False
LimbicB-DorsAttnB,5.827455,False
LimbicB-LimbicA,0.036869,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.669809,False
LimbicB-SalVentAttnB,3.35473,False
LimbicB-SomMotA,1.666885,False
LimbicB-SomMotB,1.077586,False
LimbicB-TempPar,1.18031,False
LimbicB-VisCent,4.045678,False
