network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.531192,False
ContA-ContC,0.107283,False
ContA-DefaultA,6.223703,False
ContA-DefaultB,1.96126,False
ContA-DefaultC,8.779168,False
ContA-DorsAttnA,4.274536,False
ContA-DorsAttnB,4.773984,False
ContA-LimbicA,9.20583,False
ContA-LimbicB,7.643799,False
ContA-SalVentAttnA,0.085156,False
ContA-SalVentAttnB,0.934477,False
ContA-SomMotA,27.796413,False
ContA-SomMotB,1.813181,False
ContA-TempPar,2.115013,False
ContA-VisCent,0.848508,False
ContA-VisPeri,4.697175,False
ContB-ContA,5.565361,False
ContB-ContB,0.0,True
ContB-ContC,0.354608,False
ContB-DefaultA,0.517467,False
ContB-DefaultB,6.564952,False
ContB-DefaultC,3.82736,False
ContB-DorsAttnA,2.609882,False
ContB-DorsAttnB,1.787327,False
ContB-LimbicA,3.935936,False
ContB-LimbicB,5.305004,False
ContB-SalVentAttnA,10.036765,False
ContB-SalVentAttnB,0.476508,False
ContB-SomMotA,0.47721,False
ContB-SomMotB,2.600049,False
ContB-TempPar,1.823418,False
ContB-VisCent,0.254277,False
ContB-VisPeri,1.947477,False
ContC-ContA,3.114832,False
ContC-ContB,1.93165,False
ContC-ContC,0.0,True
ContC-DefaultA,0.140448,False
ContC-DefaultB,0.089209,False
ContC-DefaultC,1.338281,False
ContC-DorsAttnA,2.016704,False
ContC-DorsAttnB,0.427223,False
ContC-LimbicA,0.554922,False
ContC-LimbicB,3.141304,False
ContC-SalVentAttnA,3.075086,False
ContC-SalVentAttnB,3.005151,False
ContC-SomMotA,4.501512,False
ContC-SomMotB,1.675715,False
ContC-TempPar,1.532917,False
ContC-VisCent,0.94176,False
ContC-VisPeri,0.200925,False
DefaultA-ContA,3.727409,False
DefaultA-ContB,0.109255,False
DefaultA-ContC,2.130114,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.249271,False
DefaultA-DefaultC,1.188111,False
DefaultA-DorsAttnA,6.462194,False
DefaultA-DorsAttnB,5.044295,False
DefaultA-LimbicA,1.461365,False
DefaultA-LimbicB,1.026949,False
DefaultA-SalVentAttnA,1.324291,False
DefaultA-SalVentAttnB,4.732289,False
DefaultA-SomMotA,20.130511,False
DefaultA-SomMotB,1.463661,False
DefaultA-TempPar,5.817918,False
DefaultA-VisCent,6.735991,False
DefaultA-VisPeri,1.35361,False
DefaultB-ContA,16.310594,False
DefaultB-ContB,3.853884,False
DefaultB-ContC,1.505123,False
DefaultB-DefaultA,9.178876,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.630854,False
DefaultB-DorsAttnA,12.962215,False
DefaultB-DorsAttnB,4.214918,False
DefaultB-LimbicA,7.469269,False
DefaultB-LimbicB,3.055433,False
DefaultB-SalVentAttnA,4.310062,False
DefaultB-SalVentAttnB,3.983148,False
DefaultB-SomMotA,0.305935,False
DefaultB-SomMotB,0.664537,False
DefaultB-TempPar,5.997525,False
DefaultB-VisCent,3.967356,False
DefaultB-VisPeri,3.315703,False
DefaultC-ContA,11.291181,False
DefaultC-ContB,4.626598,False
DefaultC-ContC,0.361222,False
DefaultC-DefaultA,8.444448,False
DefaultC-DefaultB,40.33637,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,30.503042,False
DefaultC-DorsAttnB,0.855463,False
DefaultC-LimbicA,3.424092,False
DefaultC-LimbicB,6.181083,False
DefaultC-SalVentAttnA,4.486747,False
DefaultC-SalVentAttnB,2.866477,False
DefaultC-SomMotA,9.353683,False
DefaultC-SomMotB,0.876396,False
DefaultC-TempPar,2.33897,False
DefaultC-VisCent,0.430128,False
DefaultC-VisPeri,0.019632,False
DorsAttnA-ContA,3.649267,False
DorsAttnA-ContB,1.257261,False
DorsAttnA-ContC,0.387104,False
DorsAttnA-DefaultA,4.275191,False
DorsAttnA-DefaultB,4.362712,False
DorsAttnA-DefaultC,6.341438,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.860413,False
DorsAttnA-LimbicA,2.521904,False
DorsAttnA-LimbicB,1.898124,False
DorsAttnA-SalVentAttnA,2.596878,False
DorsAttnA-SalVentAttnB,4.284811,False
DorsAttnA-SomMotA,5.407995,False
DorsAttnA-SomMotB,0.232757,False
DorsAttnA-TempPar,10.822971,False
DorsAttnA-VisCent,0.628861,False
DorsAttnA-VisPeri,0.091502,False
DorsAttnB-ContA,5.756603,False
DorsAttnB-ContB,3.14735,False
DorsAttnB-ContC,3.702374,False
DorsAttnB-DefaultA,5.978191,False
DorsAttnB-DefaultB,1.294428,False
DorsAttnB-DefaultC,3.445979,False
DorsAttnB-DorsAttnA,5.275932,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.737679,False
DorsAttnB-LimbicB,9.271655,False
DorsAttnB-SalVentAttnA,0.47968,False
DorsAttnB-SalVentAttnB,1.957979,False
DorsAttnB-SomMotA,2.61818,False
DorsAttnB-SomMotB,4.302398,False
DorsAttnB-TempPar,2.100958,False
DorsAttnB-VisCent,1.299234,False
DorsAttnB-VisPeri,6.208237,False
LimbicA-ContA,0.217123,False
LimbicA-ContB,0.663615,False
LimbicA-ContC,0.857605,False
LimbicA-DefaultA,8.888404,False
LimbicA-DefaultB,5.269539,False
LimbicA-DefaultC,2.273219,False
LimbicA-DorsAttnA,7.760965,False
LimbicA-DorsAttnB,9.298227,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.952778,False
LimbicA-SalVentAttnA,0.777985,False
LimbicA-SalVentAttnB,1.346397,False
LimbicA-SomMotA,18.496074,False
LimbicA-SomMotB,5.591525,False
LimbicA-TempPar,1.902646,False
LimbicA-VisCent,2.082372,False
LimbicA-VisPeri,3.0986,False
LimbicB-ContA,6.551052,False
LimbicB-ContB,1.901063,False
LimbicB-ContC,2.879242,False
LimbicB-DefaultA,7.348599,False
LimbicB-DefaultB,1.478856,False
LimbicB-DefaultC,2.973783,False
LimbicB-DorsAttnA,1.109576,False
LimbicB-DorsAttnB,5.433143,False
LimbicB-LimbicA,7.605614,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.162714,False
LimbicB-SalVentAttnB,9.807986,False
LimbicB-SomMotA,1.060713,False
LimbicB-SomMotB,1.707126,False
LimbicB-TempPar,2.498246,False
LimbicB-VisCent,0.331331,False
LimbicB-VisPeri,0.324102,False
SalVentAttnA-ContA,1.981874,False
SalVentAttnA-ContB,0.627208,False
SalVentAttnA-ContC,0.155485,False
SalVentAttnA-DefaultA,1.047079,False
SalVentAttnA-DefaultB,0.806084,False
SalVentAttnA-DefaultC,1.456834,False
SalVentAttnA-DorsAttnA,2.243187,False
SalVentAttnA-DorsAttnB,0.522465,False
SalVentAttnA-LimbicA,0.465201,False
SalVentAttnA-LimbicB,0.309907,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.477546,False
SalVentAttnA-SomMotA,2.402301,False
SalVentAttnA-SomMotB,0.612248,False
SalVentAttnA-TempPar,0.766668,False
SalVentAttnA-VisCent,1.11979,False
SalVentAttnA-VisPeri,0.430975,False
SalVentAttnB-ContA,3.766156,False
SalVentAttnB-ContB,1.59302,False
SalVentAttnB-ContC,1.142786,False
SalVentAttnB-DefaultA,10.220159,False
SalVentAttnB-DefaultB,1.763753,False
SalVentAttnB-DefaultC,3.425074,False
SalVentAttnB-DorsAttnA,1.097805,False
SalVentAttnB-DorsAttnB,11.997765,False
SalVentAttnB-LimbicA,10.171867,False
SalVentAttnB-LimbicB,28.343962,False
SalVentAttnB-SalVentAttnA,5.693626,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,13.327486,False
SalVentAttnB-SomMotB,1.39702,False
SalVentAttnB-TempPar,2.419651,False
SalVentAttnB-VisCent,1.355735,False
SalVentAttnB-VisPeri,4.236081,False
SomMotA-ContA,12.161846,False
SomMotA-ContB,9.80557,False
SomMotA-ContC,0.294741,False
SomMotA-DefaultA,2.870489,False
SomMotA-DefaultB,11.766929,False
SomMotA-DefaultC,25.330179,False
SomMotA-DorsAttnA,2.104203,False
SomMotA-DorsAttnB,7.64936,False
SomMotA-LimbicA,12.377667,False
SomMotA-LimbicB,7.889562,False
SomMotA-SalVentAttnA,1.605326,False
SomMotA-SalVentAttnB,2.603137,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,0.357237,False
SomMotA-TempPar,6.132095,False
SomMotA-VisCent,5.240171,False
SomMotA-VisPeri,18.082727,False
SomMotB-ContA,5.490722,False
SomMotB-ContB,5.010652,False
SomMotB-ContC,0.634627,False
SomMotB-DefaultA,1.302057,False
SomMotB-DefaultB,3.67976,False
SomMotB-DefaultC,4.812584,False
SomMotB-DorsAttnA,0.156981,False
SomMotB-DorsAttnB,1.505599,False
SomMotB-LimbicA,4.01482,False
SomMotB-LimbicB,1.785807,False
SomMotB-SalVentAttnA,0.431282,False
SomMotB-SalVentAttnB,2.146684,False
SomMotB-SomMotA,1.389272,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.397223,False
SomMotB-VisCent,7.174943,False
SomMotB-VisPeri,2.019011,False
TempPar-ContA,2.518381,False
TempPar-ContB,12.070445,False
TempPar-ContC,2.596669,False
TempPar-DefaultA,3.241847,False
TempPar-DefaultB,9.286784,False
TempPar-DefaultC,30.160234,False
TempPar-DorsAttnA,0.825173,False
TempPar-DorsAttnB,2.443335,False
TempPar-LimbicA,8.141553,False
TempPar-LimbicB,0.66506,False
TempPar-SalVentAttnA,10.661654,False
TempPar-SalVentAttnB,2.626011,False
TempPar-SomMotA,4.813359,False
TempPar-SomMotB,3.871148,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.229619,False
TempPar-VisPeri,6.392076,False
VisCent-ContA,1.939975,False
VisCent-ContB,3.177729,False
VisCent-ContC,3.371121,False
VisCent-DefaultA,2.6344,False
VisCent-DefaultB,0.422968,False
VisCent-DefaultC,11.699035,False
VisCent-DorsAttnA,12.83222,False
VisCent-DorsAttnB,1.180229,False
VisCent-LimbicA,1.425759,False
VisCent-LimbicB,0.492478,False
VisCent-SalVentAttnA,4.400182,False
VisCent-SalVentAttnB,0.817723,False
VisCent-SomMotA,9.680845,False
VisCent-SomMotB,3.857174,False
VisCent-TempPar,0.765437,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,6.21806,False
VisPeri-ContA,21.301672,False
VisPeri-ContB,8.411166,False
VisPeri-ContC,4.417162,False
VisPeri-DefaultA,16.297069,False
VisPeri-DefaultB,6.304637,False
VisPeri-DefaultC,1.111602,False
