network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.947522,False
ContA-ContC,3.860938,False
ContA-DefaultA,0.046684,False
ContA-DefaultB,7.709767,False
ContA-DefaultC,5.484614,False
ContA-DorsAttnA,3.606525,False
ContA-DorsAttnB,2.312629,False
ContA-LimbicA,10.329237,False
ContA-LimbicB,4.541778,False
ContA-SalVentAttnA,1.467093,False
ContA-SalVentAttnB,2.402386,False
ContA-SomMotA,8.712038,False
ContA-SomMotB,2.853075,False
ContA-TempPar,0.476936,False
ContA-VisCent,0.028685,False
ContA-VisPeri,0.598124,False
ContB-ContA,1.601998,False
ContB-ContB,0.0,True
ContB-ContC,0.020146,False
ContB-DefaultA,3.103867,False
ContB-DefaultB,0.16235,False
ContB-DefaultC,4.828013,False
ContB-DorsAttnA,8.618466,False
ContB-DorsAttnB,2.965994,False
ContB-LimbicA,2.748177,False
ContB-LimbicB,0.374563,False
ContB-SalVentAttnA,3.198767,False
ContB-SalVentAttnB,3.329277,False
ContB-SomMotA,7.053199,False
ContB-SomMotB,2.280584,False
ContB-TempPar,0.172816,False
ContB-VisCent,2.872884,False
ContB-VisPeri,0.535763,False
ContC-ContA,1.612233,False
ContC-ContB,3.776345,False
ContC-ContC,0.0,True
ContC-DefaultA,8.209067,False
ContC-DefaultB,18.848251,False
ContC-DefaultC,6.596229,False
ContC-DorsAttnA,3.308029,False
ContC-DorsAttnB,2.387673,False
ContC-LimbicA,6.271349,False
ContC-LimbicB,11.608388,False
ContC-SalVentAttnA,0.462067,False
ContC-SalVentAttnB,1.725156,False
ContC-SomMotA,0.828128,False
ContC-SomMotB,3.876552,False
ContC-TempPar,1.321244,False
ContC-VisCent,5.155687,False
ContC-VisPeri,0.181,False
DefaultA-ContA,4.835653,False
DefaultA-ContB,4.779392,False
DefaultA-ContC,37.209412,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,21.298606,False
DefaultA-DefaultC,6.086079,False
DefaultA-DorsAttnA,1.485708,False
DefaultA-DorsAttnB,3.483162,False
DefaultA-LimbicA,13.834179,False
DefaultA-LimbicB,26.399099,False
DefaultA-SalVentAttnA,0.88829,False
DefaultA-SalVentAttnB,5.098789,False
DefaultA-SomMotA,0.317034,False
DefaultA-SomMotB,3.657851,False
DefaultA-TempPar,1.480443,False
DefaultA-VisCent,5.298048,False
DefaultA-VisPeri,0.443196,False
DefaultB-ContA,3.331935,False
DefaultB-ContB,3.545313,False
DefaultB-ContC,2.156012,False
DefaultB-DefaultA,3.252571,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,16.099378,False
DefaultB-DorsAttnA,5.757748,False
DefaultB-DorsAttnB,2.010636,False
DefaultB-LimbicA,1.233742,False
DefaultB-LimbicB,5.245884,False
