network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.486376,False
ContA-ContC,5.491116,False
ContA-DefaultA,14.66519,False
ContA-DefaultB,20.34579,False
ContA-DefaultC,5.819007,False
ContA-DorsAttnA,2.605378,False
ContA-DorsAttnB,0.054566,False
ContA-LimbicA,36.132664,False
ContA-LimbicB,15.747759,False
ContA-SalVentAttnA,2.471986,False
ContA-SalVentAttnB,9.147056,False
ContA-SomMotA,5.773338,False
ContA-SomMotB,5.274867,False
ContA-TempPar,4.641498,False
ContA-VisCent,0.030622,False
ContA-VisPeri,5.999777,False
ContB-ContA,3.918023,False
ContB-ContB,0.0,True
ContB-ContC,7.634298,False
ContB-DefaultA,12.724173,False
ContB-DefaultB,10.041502,False
ContB-DefaultC,4.03858,False
ContB-DorsAttnA,4.675189,False
ContB-DorsAttnB,2.202735,False
ContB-LimbicA,9.144044,False
ContB-LimbicB,3.674238,False
ContB-SalVentAttnA,6.943599,False
ContB-SalVentAttnB,2.251063,False
ContB-SomMotA,8.166242,False
ContB-SomMotB,9.930473,False
ContB-TempPar,2.317166,False
ContB-VisCent,0.727228,False
ContB-VisPeri,6.396013,False
ContC-ContA,4.816224,False
ContC-ContB,3.028514,False
ContC-ContC,0.0,True
ContC-DefaultA,29.67192,False
ContC-DefaultB,21.618611,False
ContC-DefaultC,5.765554,False
ContC-DorsAttnA,2.559166,False
ContC-DorsAttnB,0.231531,False
ContC-LimbicA,8.284081,False
ContC-LimbicB,10.714762,False
ContC-SalVentAttnA,4.384961,False
ContC-SalVentAttnB,4.596183,False
ContC-SomMotA,2.015696,False
ContC-SomMotB,2.644546,False
ContC-TempPar,3.490152,False
ContC-VisCent,1.586861,False
ContC-VisPeri,5.844299,False
DefaultA-ContA,6.650333,False
DefaultA-ContB,7.632603,False
DefaultA-ContC,29.79779,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,53.595335,False
DefaultA-DefaultC,9.509776,False
DefaultA-DorsAttnA,4.572037,False
DefaultA-DorsAttnB,0.246457,False
DefaultA-LimbicA,7.93874,False
DefaultA-LimbicB,12.909764,False
DefaultA-SalVentAttnA,5.93847,False
DefaultA-SalVentAttnB,6.407982,False
DefaultA-SomMotA,2.100748,False
DefaultA-SomMotB,4.907645,False
DefaultA-TempPar,4.604879,False
DefaultA-VisCent,2.94877,False
DefaultA-VisPeri,3.48344,False
DefaultB-ContA,2.374178,False
DefaultB-ContB,1.823337,False
DefaultB-ContC,9.569002,False
DefaultB-DefaultA,5.864416,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,13.025541,False
DefaultB-DorsAttnA,6.066379,False
DefaultB-DorsAttnB,0.792,False
DefaultB-LimbicA,1.370142,False
DefaultB-LimbicB,1.321029,False
DefaultB-SalVentAttnA,5.052891,False
DefaultB-SalVentAttnB,0.036497,False
DefaultB-SomMotA,1.742933,False
DefaultB-SomMotB,1.537863,False
DefaultB-TempPar,6.238904,False
DefaultB-VisCent,1.223399,False
DefaultB-VisPeri,1.150884,False
DefaultC-ContA,17.243555,False
DefaultC-ContB,3.760525,False
DefaultC-ContC,10.107389,False
DefaultC-DefaultA,16.547147,False
DefaultC-DefaultB,17.291369,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.271616,False
DefaultC-DorsAttnB,0.435452,False
DefaultC-LimbicA,12.468713,False
DefaultC-LimbicB,4.858544,False
DefaultC-SalVentAttnA,0.534635,False
DefaultC-SalVentAttnB,4.053562,False
DefaultC-SomMotA,0.088653,False
DefaultC-SomMotB,0.099851,False
DefaultC-TempPar,8.941059,False
DefaultC-VisCent,2.417121,False
DefaultC-VisPeri,0.259522,False
DorsAttnA-ContA,2.772922,False
DorsAttnA-ContB,0.234248,False
DorsAttnA-ContC,2.588605,False
DorsAttnA-DefaultA,5.488858,False
DorsAttnA-DefaultB,17.32166,False
DorsAttnA-DefaultC,6.540469,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.076919,False
DorsAttnA-LimbicA,2.079291,False
DorsAttnA-LimbicB,6.143542,False
DorsAttnA-SalVentAttnA,2.953383,False
DorsAttnA-SalVentAttnB,3.901029,False
DorsAttnA-SomMotA,4.544077,False
DorsAttnA-SomMotB,2.17532,False
DorsAttnA-TempPar,6.068379,False
DorsAttnA-VisCent,3.753764,False
DorsAttnA-VisPeri,2.827052,False
DorsAttnB-ContA,1.324594,False
DorsAttnB-ContB,2.806733,False
DorsAttnB-ContC,1.75801,False
DorsAttnB-DefaultA,1.305626,False
DorsAttnB-DefaultB,0.985076,False
DorsAttnB-DefaultC,0.411909,False
DorsAttnB-DorsAttnA,2.464848,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.138412,False
DorsAttnB-LimbicB,0.469413,False
DorsAttnB-SalVentAttnA,0.051509,False
DorsAttnB-SalVentAttnB,3.111098,False
DorsAttnB-SomMotA,0.38386,False
DorsAttnB-SomMotB,4.022473,False
DorsAttnB-TempPar,0.032624,False
DorsAttnB-VisCent,1.919068,False
DorsAttnB-VisPeri,0.25134,False
LimbicA-ContA,7.825092,False
LimbicA-ContB,2.760342,False
LimbicA-ContC,2.640594,False
LimbicA-DefaultA,3.529669,False
LimbicA-DefaultB,13.75723,False
LimbicA-DefaultC,5.667147,False
LimbicA-DorsAttnA,2.533926,False
LimbicA-DorsAttnB,0.08761,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.165017,False
LimbicA-SalVentAttnA,0.817867,False
LimbicA-SalVentAttnB,8.862883,False
LimbicA-SomMotA,4.139551,False
LimbicA-SomMotB,1.587862,False
LimbicA-TempPar,2.881682,False
LimbicA-VisCent,1.419713,False
LimbicA-VisPeri,3.261417,False
LimbicB-ContA,1.060403,False
LimbicB-ContB,0.056585,False
LimbicB-ContC,0.310266,False
LimbicB-DefaultA,2.725904,False
LimbicB-DefaultB,3.421567,False
LimbicB-DefaultC,5.694251,False
LimbicB-DorsAttnA,3.926906,False
LimbicB-DorsAttnB,0.073101,False
LimbicB-LimbicA,0.483442,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.425177,False
LimbicB-SalVentAttnB,8.989816,False
LimbicB-SomMotA,3.355388,False
LimbicB-SomMotB,0.525651,False
LimbicB-TempPar,2.540745,False
LimbicB-VisCent,0.986622,False
LimbicB-VisPeri,6.293016,False
SalVentAttnA-ContA,3.112485,False
SalVentAttnA-ContB,0.164495,False
SalVentAttnA-ContC,3.091001,False
SalVentAttnA-DefaultA,0.583061,False
