network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.839467,False
ContA-ContC,11.090481,False
ContA-DefaultA,9.582169,False
ContA-DefaultB,11.677772,False
ContA-DefaultC,2.792305,False
ContA-DorsAttnA,0.088601,False
ContA-DorsAttnB,1.907886,False
ContA-LimbicA,23.9181,False
ContA-LimbicB,8.740792,False
ContA-SalVentAttnA,0.063721,False
ContA-SalVentAttnB,1.171546,False
ContA-SomMotA,6.780469,False
ContA-SomMotB,3.967322,False
ContA-TempPar,2.587511,False
ContA-VisCent,0.812432,False
ContA-VisPeri,4.865905,False
ContB-ContA,16.331808,False
ContB-ContB,0.0,True
ContB-ContC,12.128862,False
ContB-DefaultA,3.838031,False
ContB-DefaultB,5.001259,False
ContB-DefaultC,3.16105,False
ContB-DorsAttnA,0.668803,False
ContB-DorsAttnB,6.337393,False
ContB-LimbicA,7.084367,False
ContB-LimbicB,2.890653,False
ContB-SalVentAttnA,0.236776,False
ContB-SalVentAttnB,3.254178,False
ContB-SomMotA,7.68231,False
ContB-SomMotB,3.108566,False
ContB-TempPar,0.69797,False
ContB-VisCent,1.162743,False
ContB-VisPeri,6.597708,False
ContC-ContA,2.482309,False
ContC-ContB,1.852237,False
ContC-ContC,0.0,True
ContC-DefaultA,35.840637,False
ContC-DefaultB,19.448152,False
ContC-DefaultC,0.589367,False
ContC-DorsAttnA,0.071304,False
ContC-DorsAttnB,0.78981,False
ContC-LimbicA,16.295263,False
ContC-LimbicB,26.006837,False
ContC-SalVentAttnA,0.935269,False
ContC-SalVentAttnB,11.77298,False
ContC-SomMotA,1.640761,False
ContC-SomMotB,3.806268,False
ContC-TempPar,4.622346,False
ContC-VisCent,0.442449,False
ContC-VisPeri,1.598955,False
DefaultA-ContA,9.57259,False
DefaultA-ContB,0.685284,False
DefaultA-ContC,31.81415,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,25.791187,False
DefaultA-DefaultC,1.172805,False
DefaultA-DorsAttnA,0.277229,False
DefaultA-DorsAttnB,0.543584,False
DefaultA-LimbicA,18.286512,False
DefaultA-LimbicB,21.687331,False
DefaultA-SalVentAttnA,1.344906,False
DefaultA-SalVentAttnB,5.630367,False
DefaultA-SomMotA,3.635662,False
DefaultA-SomMotB,5.801815,False
DefaultA-TempPar,7.102511,False
DefaultA-VisCent,0.376422,False
DefaultA-VisPeri,4.427684,False
DefaultB-ContA,2.383036,False
DefaultB-ContB,1.81309,False
DefaultB-ContC,7.397934,False
DefaultB-DefaultA,6.021437,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.581148,False
DefaultB-DorsAttnA,1.238188,False
DefaultB-DorsAttnB,1.736044,False
DefaultB-LimbicA,6.201771,False
DefaultB-LimbicB,15.391068,False
DefaultB-SalVentAttnA,1.054648,False
DefaultB-SalVentAttnB,4.361848,False
DefaultB-SomMotA,1.457741,False
DefaultB-SomMotB,3.286628,False
DefaultB-TempPar,0.217493,False
DefaultB-VisCent,0.317367,False
DefaultB-VisPeri,1.298755,False
DefaultC-ContA,0.686152,False
DefaultC-ContB,3.786272,False
DefaultC-ContC,0.330225,False
DefaultC-DefaultA,0.756814,False
DefaultC-DefaultB,6.642593,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.743728,False
DefaultC-DorsAttnB,2.874073,False
DefaultC-LimbicA,0.60181,False
DefaultC-LimbicB,0.865683,False
DefaultC-SalVentAttnA,0.015769,False
DefaultC-SalVentAttnB,0.025595,False
DefaultC-SomMotA,3.127,False
DefaultC-SomMotB,0.514238,False
DefaultC-TempPar,1.28946,False
DefaultC-VisCent,0.524522,False
DefaultC-VisPeri,3.946433,False
DorsAttnA-ContA,3.251031,False
DorsAttnA-ContB,3.039255,False
DorsAttnA-ContC,0.8731,False
DorsAttnA-DefaultA,0.371949,False
DorsAttnA-DefaultB,1.355994,False
DorsAttnA-DefaultC,3.910344,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,17.282146,False
DorsAttnA-LimbicA,1.364122,False
DorsAttnA-LimbicB,2.437578,False
DorsAttnA-SalVentAttnA,10.185959,False
DorsAttnA-SalVentAttnB,0.89852,False
DorsAttnA-SomMotA,4.943263,False
DorsAttnA-SomMotB,4.358877,False
DorsAttnA-TempPar,10.555096,False
DorsAttnA-VisCent,6.333992,False
DorsAttnA-VisPeri,4.937083,False
DorsAttnB-ContA,1.313364,False
DorsAttnB-ContB,0.505678,False
DorsAttnB-ContC,0.720347,False
DorsAttnB-DefaultA,0.771119,False
DorsAttnB-DefaultB,0.248001,False
DorsAttnB-DefaultC,1.20682,False
DorsAttnB-DorsAttnA,6.92998,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.139907,False
DorsAttnB-LimbicB,0.106155,False
DorsAttnB-SalVentAttnA,7.060321,False
DorsAttnB-SalVentAttnB,1.369582,False
DorsAttnB-SomMotA,1.283796,False
DorsAttnB-SomMotB,1.568261,False
DorsAttnB-TempPar,5.185617,False
DorsAttnB-VisCent,7.789131,False
DorsAttnB-VisPeri,1.833203,False
LimbicA-ContA,11.710562,False
LimbicA-ContB,0.505942,False
LimbicA-ContC,10.504427,False
LimbicA-DefaultA,6.942261,False
LimbicA-DefaultB,7.154123,False
LimbicA-DefaultC,2.032873,False
LimbicA-DorsAttnA,0.531277,False
LimbicA-DorsAttnB,2.643899,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,15.142835,False
LimbicA-SalVentAttnA,3.041967,False
LimbicA-SalVentAttnB,10.503378,False
LimbicA-SomMotA,3.371585,False
LimbicA-SomMotB,1.15606,False
LimbicA-TempPar,0.466458,False
LimbicA-VisCent,0.752563,False
LimbicA-VisPeri,2.031124,False
LimbicB-ContA,1.037052,False
LimbicB-ContB,1.279581,False
LimbicB-ContC,6.978982,False
LimbicB-DefaultA,6.882451,False
LimbicB-DefaultB,4.382026,False
LimbicB-DefaultC,3.918891,False
LimbicB-DorsAttnA,1.12975,False
LimbicB-DorsAttnB,0.351031,False
LimbicB-LimbicA,6.083654,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,2.653108,False
LimbicB-SalVentAttnB,16.938993,False
LimbicB-SomMotA,2.378142,False
LimbicB-SomMotB,1.700444,False
LimbicB-TempPar,0.056566,False
LimbicB-VisCent,1.657842,False
LimbicB-VisPeri,0.78038,False
SalVentAttnA-ContA,4.038018,False
SalVentAttnA-ContB,1.885774,False
SalVentAttnA-ContC,3.712725,False
SalVentAttnA-DefaultA,3.584037,False
SalVentAttnA-DefaultB,2.312487,False
SalVentAttnA-DefaultC,2.192421,False
SalVentAttnA-DorsAttnA,0.346721,False
SalVentAttnA-DorsAttnB,1.870162,False
SalVentAttnA-LimbicA,1.945967,False
SalVentAttnA-LimbicB,5.092587,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,8.383603,False
SalVentAttnA-SomMotA,0.512442,False
SalVentAttnA-SomMotB,1.157016,False
SalVentAttnA-TempPar,0.460171,False
SalVentAttnA-VisCent,3.906679,False
SalVentAttnA-VisPeri,2.567959,False
SalVentAttnB-ContA,0.398625,False
SalVentAttnB-ContB,0.327859,False
SalVentAttnB-ContC,2.240075,False
SalVentAttnB-DefaultA,3.362297,False
SalVentAttnB-DefaultB,1.96868,False
SalVentAttnB-DefaultC,0.40903,False
SalVentAttnB-DorsAttnA,0.211138,False
SalVentAttnB-DorsAttnB,0.541531,False
SalVentAttnB-LimbicA,8.08421,False
SalVentAttnB-LimbicB,17.947373,False
SalVentAttnB-SalVentAttnA,10.771264,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.6537,False
SalVentAttnB-SomMotB,0.156729,False
SalVentAttnB-TempPar,2.621681,False
