network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.922655,False
ContA-ContC,1.749463,False
ContA-DefaultA,5.303487,False
ContA-DefaultB,3.304845,False
ContA-DefaultC,7.995058,False
ContA-DorsAttnA,4.736631,False
ContA-DorsAttnB,2.208386,False
ContA-LimbicA,19.555774,False
ContA-LimbicB,1.763618,False
ContA-SalVentAttnA,1.078297,False
ContA-SalVentAttnB,4.370475,False
ContA-SomMotA,13.316986,False
ContA-SomMotB,2.61247,False
ContA-TempPar,1.541454,False
ContA-VisCent,0.426725,False
ContA-VisPeri,15.185074,False
ContB-ContA,13.890352,False
ContB-ContB,0.0,True
ContB-ContC,2.792452,False
ContB-DefaultA,1.208059,False
ContB-DefaultB,4.690452,False
ContB-DefaultC,5.207886,False
ContB-DorsAttnA,0.959084,False
ContB-DorsAttnB,1.453822,False
ContB-LimbicA,7.981859,False
ContB-LimbicB,4.420744,False
ContB-SalVentAttnA,0.070108,False
ContB-SalVentAttnB,2.542934,False
ContB-SomMotA,4.901168,False
ContB-SomMotB,4.923802,False
ContB-TempPar,1.61189,False
ContB-VisCent,0.527019,False
ContB-VisPeri,6.377475,False
ContC-ContA,11.202955,False
ContC-ContB,6.14295,False
ContC-ContC,0.0,True
ContC-DefaultA,9.044303,False
ContC-DefaultB,12.871972,False
ContC-DefaultC,5.225996,False
ContC-DorsAttnA,2.008795,False
ContC-DorsAttnB,2.944059,False
ContC-LimbicA,10.254207,False
ContC-LimbicB,7.58292,False
ContC-SalVentAttnA,0.341781,False
ContC-SalVentAttnB,1.892543,False
ContC-SomMotA,6.133535,False
ContC-SomMotB,4.026483,False
ContC-TempPar,0.236096,False
ContC-VisCent,6.22473,False
ContC-VisPeri,3.734364,False
DefaultA-ContA,12.265915,False
DefaultA-ContB,5.283447,False
DefaultA-ContC,21.893739,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.035155,False
DefaultA-DefaultC,7.100789,False
DefaultA-DorsAttnA,1.256364,False
DefaultA-DorsAttnB,2.758426,False
DefaultA-LimbicA,19.253198,False
DefaultA-LimbicB,13.931226,False
