network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,22.229329,False
ContA-ContC,16.335066,False
ContA-DefaultA,7.763945,False
ContA-DefaultB,11.177745,False
ContA-DefaultC,19.612468,False
ContA-DorsAttnA,0.222715,False
ContA-DorsAttnB,3.413772,False
ContA-LimbicA,20.654102,False
ContA-LimbicB,5.260082,False
ContA-SalVentAttnA,6.546249,False
ContA-SalVentAttnB,6.254091,False
ContA-SomMotA,5.942954,False
ContA-SomMotB,8.881239,False
ContA-TempPar,11.313442,False
ContA-VisCent,2.140236,False
ContA-VisPeri,2.731174,False
ContB-ContA,18.161577,False
ContB-ContB,0.0,True
ContB-ContC,9.884252,False
ContB-DefaultA,7.187053,False
ContB-DefaultB,10.046379,False
ContB-DefaultC,31.436182,False
ContB-DorsAttnA,1.029864,False
ContB-DorsAttnB,2.374208,False
ContB-LimbicA,7.418232,False
ContB-LimbicB,5.373023,False
ContB-SalVentAttnA,3.312715,False
ContB-SalVentAttnB,5.460628,False
ContB-SomMotA,3.853839,False
ContB-SomMotB,7.903484,False
ContB-TempPar,11.928798,False
ContB-VisCent,1.314382,False
ContB-VisPeri,0.990705,False
ContC-ContA,16.244822,False
ContC-ContB,7.320048,False
ContC-ContC,0.0,True
ContC-DefaultA,4.326607,False
ContC-DefaultB,3.06322,False
ContC-DefaultC,6.632073,False
ContC-DorsAttnA,0.693144,False
ContC-DorsAttnB,4.519944,False
ContC-LimbicA,16.348175,False
ContC-LimbicB,6.667963,False
ContC-SalVentAttnA,8.040473,False
ContC-SalVentAttnB,6.246471,False
ContC-SomMotA,1.287503,False
ContC-SomMotB,1.379559,False
ContC-TempPar,1.866558,False
ContC-VisCent,11.036229,False
ContC-VisPeri,6.050934,False
DefaultA-ContA,24.959967,False
DefaultA-ContB,17.155065,False
DefaultA-ContC,51.183879,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.545418,False
DefaultA-DefaultC,9.932638,False
DefaultA-DorsAttnA,0.348712,False
DefaultA-DorsAttnB,9.480712,False
DefaultA-LimbicA,25.790283,False
DefaultA-LimbicB,17.677435,False
DefaultA-SalVentAttnA,6.888943,False
DefaultA-SalVentAttnB,8.803728,False
DefaultA-SomMotA,4.646217,False
DefaultA-SomMotB,2.731024,False
DefaultA-TempPar,3.270948,False
DefaultA-VisCent,6.314916,False
DefaultA-VisPeri,3.895965,False
DefaultB-ContA,16.476719,False
DefaultB-ContB,14.794018,False
DefaultB-ContC,15.260421,False
DefaultB-DefaultA,12.709453,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,27.514698,False
DefaultB-DorsAttnA,0.004313,False
DefaultB-DorsAttnB,1.866271,False
DefaultB-LimbicA,8.597433,False
DefaultB-LimbicB,7.062558,False
DefaultB-SalVentAttnA,3.43762,False
DefaultB-SalVentAttnB,4.291512,False
DefaultB-SomMotA,4.625474,False
DefaultB-SomMotB,5.598866,False
DefaultB-TempPar,11.506438,False
DefaultB-VisCent,0.519076,False
DefaultB-VisPeri,1.779573,False
DefaultC-ContA,6.93137,False
DefaultC-ContB,3.997555,False
DefaultC-ContC,9.104053,False
DefaultC-DefaultA,12.642879,False
DefaultC-DefaultB,13.936972,False
DefaultC-DefaultC,0.0,True
