network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.28689,False
ContA-ContC,0.244033,False
ContA-DefaultA,1.471042,False
ContA-DefaultB,1.22992,False
ContA-DefaultC,0.941458,False
ContA-DorsAttnA,4.46084,False
ContA-DorsAttnB,0.231726,False
ContA-LimbicA,14.061048,False
ContA-LimbicB,7.521891,False
ContA-SalVentAttnA,0.142605,False
ContA-SalVentAttnB,2.369006,False
ContA-SomMotA,7.670887,False
ContA-SomMotB,5.426008,False
ContA-TempPar,3.885999,False
ContA-VisCent,5.591469,False
ContA-VisPeri,0.601757,False
ContB-ContA,6.033227,False
ContB-ContB,0.0,True
ContB-ContC,3.575712,False
ContB-DefaultA,0.078446,False
ContB-DefaultB,1.262736,False
ContB-DefaultC,0.838266,False
ContB-DorsAttnA,1.116036,False
ContB-DorsAttnB,2.318195,False
ContB-LimbicA,0.82305,False
ContB-LimbicB,0.353515,False
ContB-SalVentAttnA,4.531616,False
ContB-SalVentAttnB,0.012165,False
ContB-SomMotA,3.306959,False
ContB-SomMotB,0.871383,False
ContB-TempPar,0.565315,False
ContB-VisCent,1.876609,False
ContB-VisPeri,0.604519,False
ContC-ContA,4.277682,False
ContC-ContB,5.881235,False
ContC-ContC,0.0,True
ContC-DefaultA,11.023932,False
ContC-DefaultB,7.552988,False
ContC-DefaultC,0.410047,False
ContC-DorsAttnA,1.265546,False
ContC-DorsAttnB,1.792555,False
ContC-LimbicA,5.759159,False
ContC-LimbicB,12.845075,False
ContC-SalVentAttnA,9.39505,False
ContC-SalVentAttnB,5.086032,False
ContC-SomMotA,0.076667,False
ContC-SomMotB,0.645228,False
ContC-TempPar,1.74128,False
ContC-VisCent,0.427095,False
ContC-VisPeri,3.117399,False
DefaultA-ContA,5.811227,False
DefaultA-ContB,4.902969,False
DefaultA-ContC,23.801666,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.964328,False
DefaultA-DefaultC,0.447125,False
DefaultA-DorsAttnA,0.596675,False
DefaultA-DorsAttnB,1.986556,False
DefaultA-LimbicA,9.136988,False
DefaultA-LimbicB,8.919126,False
DefaultA-SalVentAttnA,3.5139,False
DefaultA-SalVentAttnB,4.114997,False
DefaultA-SomMotA,2.743501,False
DefaultA-SomMotB,1.959484,False
DefaultA-TempPar,0.707226,False
DefaultA-VisCent,0.840466,False
DefaultA-VisPeri,3.097771,False
DefaultB-ContA,0.203024,False
DefaultB-ContB,6.741655,False
DefaultB-ContC,2.219834,False
DefaultB-DefaultA,3.019603,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.226041,False
DefaultB-DorsAttnA,4.145373,False
DefaultB-DorsAttnB,0.602317,False
DefaultB-LimbicA,3.069253,False
DefaultB-LimbicB,4.278284,False
DefaultB-SalVentAttnA,2.250704,False
DefaultB-SalVentAttnB,3.882326,False
DefaultB-SomMotA,10.553394,False
DefaultB-SomMotB,0.751995,False
DefaultB-TempPar,1.930823,False
DefaultB-VisCent,0.299729,False
DefaultB-VisPeri,3.663669,False
DefaultC-ContA,2.885733,False
DefaultC-ContB,9.880532,False
DefaultC-ContC,3.03431,False
DefaultC-DefaultA,4.220797,False
DefaultC-DefaultB,28.381252,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.497722,False
DefaultC-DorsAttnB,7.78506,False
DefaultC-LimbicA,5.369413,False
DefaultC-LimbicB,8.814029,False
DefaultC-SalVentAttnA,15.00415,False
DefaultC-SalVentAttnB,11.291745,False
DefaultC-SomMotA,16.554589,False
DefaultC-SomMotB,1.839444,False
DefaultC-TempPar,10.99495,False
DefaultC-VisCent,1.099968,False
DefaultC-VisPeri,6.536115,False
DorsAttnA-ContA,3.08358,False
DorsAttnA-ContB,1.03382,False
DorsAttnA-ContC,0.236267,False
DorsAttnA-DefaultA,0.483258,False
DorsAttnA-DefaultB,4.975092,False
DorsAttnA-DefaultC,3.18935,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.015412,False
DorsAttnA-LimbicA,1.053553,False
DorsAttnA-LimbicB,0.925287,False
DorsAttnA-SalVentAttnA,1.89317,False
DorsAttnA-SalVentAttnB,1.250502,False
DorsAttnA-SomMotA,1.11596,False
DorsAttnA-SomMotB,0.57465,False
DorsAttnA-TempPar,6.480768,False
DorsAttnA-VisCent,2.043507,False
DorsAttnA-VisPeri,0.290416,False
DorsAttnB-ContA,4.065067,False
DorsAttnB-ContB,3.207194,False
DorsAttnB-ContC,0.626138,False
DorsAttnB-DefaultA,2.454175,False
DorsAttnB-DefaultB,0.415319,False
DorsAttnB-DefaultC,0.246144,False
DorsAttnB-DorsAttnA,6.396158,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.560491,False
DorsAttnB-LimbicB,0.614033,False
DorsAttnB-SalVentAttnA,4.222965,False
DorsAttnB-SalVentAttnB,0.116169,False
DorsAttnB-SomMotA,1.456856,False
DorsAttnB-SomMotB,1.037528,False
DorsAttnB-TempPar,2.541501,False
DorsAttnB-VisCent,0.349148,False
DorsAttnB-VisPeri,0.063716,False
LimbicA-ContA,19.8686,False
LimbicA-ContB,5.26283,False
LimbicA-ContC,1.250984,False
LimbicA-DefaultA,3.252415,False
LimbicA-DefaultB,1.423951,False
LimbicA-DefaultC,0.807386,False
LimbicA-DorsAttnA,0.138346,False
LimbicA-DorsAttnB,0.922069,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.285817,False
LimbicA-SalVentAttnA,2.256282,False
LimbicA-SalVentAttnB,12.262949,False
LimbicA-SomMotA,4.546651,False
LimbicA-SomMotB,8.132064,False
LimbicA-TempPar,1.56035,False
LimbicA-VisCent,1.660979,False
LimbicA-VisPeri,0.473107,False
LimbicB-ContA,8.100435,False
LimbicB-ContB,0.478778,False
LimbicB-ContC,5.316009,False
LimbicB-DefaultA,6.227721,False
LimbicB-DefaultB,3.182075,False
LimbicB-DefaultC,0.247001,False
LimbicB-DorsAttnA,0.456125,False
LimbicB-DorsAttnB,2.113651,False
LimbicB-LimbicA,15.64315,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,8.826683,False
LimbicB-SalVentAttnB,7.261587,False
LimbicB-SomMotA,6.96054,False
LimbicB-SomMotB,2.523271,False
LimbicB-TempPar,3.514848,False
LimbicB-VisCent,1.492039,False
LimbicB-VisPeri,0.476215,False
SalVentAttnA-ContA,1.520824,False
SalVentAttnA-ContB,0.567836,False
SalVentAttnA-ContC,0.427705,False
SalVentAttnA-DefaultA,1.156792,False
SalVentAttnA-DefaultB,0.155102,False
SalVentAttnA-DefaultC,2.124932,False
SalVentAttnA-DorsAttnA,0.297921,False
SalVentAttnA-DorsAttnB,2.646845,False
SalVentAttnA-LimbicA,2.382255,False
SalVentAttnA-LimbicB,0.594464,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.82332,False
SalVentAttnA-SomMotA,7.45923,False
SalVentAttnA-SomMotB,2.707636,False
SalVentAttnA-TempPar,2.315103,False
SalVentAttnA-VisCent,4.019798,False
SalVentAttnA-VisPeri,0.167523,False
SalVentAttnB-ContA,10.672458,False
SalVentAttnB-ContB,0.074344,False
SalVentAttnB-ContC,5.91176,False
SalVentAttnB-DefaultA,6.57428,False
SalVentAttnB-DefaultB,4.245932,False
SalVentAttnB-DefaultC,1.473233,False
SalVentAttnB-DorsAttnA,0.873312,False
SalVentAttnB-DorsAttnB,4.29552,False
SalVentAttnB-LimbicA,19.415669,False
SalVentAttnB-LimbicB,39.484833,False
SalVentAttnB-SalVentAttnA,12.679172,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,6.745732,False
SalVentAttnB-SomMotB,2.589339,False
SalVentAttnB-TempPar,1.923896,False
SalVentAttnB-VisCent,2.391558,False
SalVentAttnB-VisPeri,0.044622,False
SomMotA-ContA,17.193616,False
SomMotA-ContB,10.565493,False
SomMotA-ContC,4.338949,False
SomMotA-DefaultA,7.16836,False
SomMotA-DefaultB,10.845146,False
SomMotA-DefaultC,3.371669,False
SomMotA-DorsAttnA,0.602952,False
SomMotA-DorsAttnB,0.044814,False
SomMotA-LimbicA,10.903378,False
SomMotA-LimbicB,3.893507,False
SomMotA-SalVentAttnA,0.150262,False
SomMotA-SalVentAttnB,6.194005,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,5.387923,False
SomMotA-TempPar,2.094321,False
SomMotA-VisCent,15.368838,False
SomMotA-VisPeri,10.84354,False
SomMotB-ContA,8.62785,False
SomMotB-ContB,1.169924,False
SomMotB-ContC,9.722449,False
SomMotB-DefaultA,10.822436,False
SomMotB-DefaultB,3.185378,False
SomMotB-DefaultC,0.302849,False
SomMotB-DorsAttnA,3.031851,False
SomMotB-DorsAttnB,3.045881,False
SomMotB-LimbicA,3.270915,False
SomMotB-LimbicB,5.816766,False
SomMotB-SalVentAttnA,2.737886,False
SomMotB-SalVentAttnB,5.612333,False
SomMotB-SomMotA,2.870673,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.430606,False
SomMotB-VisCent,9.176591,False
SomMotB-VisPeri,1.514541,False
TempPar-ContA,1.275832,False
TempPar-ContB,2.89035,False
TempPar-ContC,0.581558,False
TempPar-DefaultA,0.485177,False
TempPar-DefaultB,1.248052,False
TempPar-DefaultC,0.630621,False
TempPar-DorsAttnA,7.667061,False
TempPar-DorsAttnB,11.09706,False
TempPar-LimbicA,1.735316,False
TempPar-LimbicB,2.151009,False
TempPar-SalVentAttnA,7.288338,False
TempPar-SalVentAttnB,2.992152,False
TempPar-SomMotA,7.596449,False
TempPar-SomMotB,1.536285,False
TempPar-TempPar,0.0,True
TempPar-VisCent,3.809209,False
TempPar-VisPeri,1.518005,False
VisCent-ContA,7.675636,False
VisCent-ContB,0.767564,False
VisCent-ContC,3.120682,False
VisCent-DefaultA,5.17609,False
VisCent-DefaultB,4.590035,False
VisCent-DefaultC,2.088047,False
VisCent-DorsAttnA,0.457529,False
VisCent-DorsAttnB,1.440612,False
VisCent-LimbicA,2.746992,False
VisCent-LimbicB,4.513939,False
VisCent-SalVentAttnA,0.700578,False
VisCent-SalVentAttnB,9.797259,False
VisCent-SomMotA,14.092555,False
VisCent-SomMotB,12.399332,False
VisCent-TempPar,5.04758,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,8.671147,False
VisPeri-ContA,7.655935,False
VisPeri-ContB,21.691709,False
VisPeri-ContC,5.526349,False
VisPeri-DefaultA,11.095715,False
VisPeri-DefaultB,12.102387,False
VisPeri-DefaultC,1.651701,False
VisPeri-DorsAttnA,1.544489,False
VisPeri-DorsAttnB,0.247745,False
VisPeri-LimbicA,4.600805,False
VisPeri-LimbicB,2.840807,False
VisPeri-SalVentAttnA,4.605235,False
VisPeri-SalVentAttnB,2.064387,False
VisPeri-SomMotA,25.717308,False
VisPeri-SomMotB,0.657976,False
VisPeri-TempPar,2.218459,False
VisPeri-VisCent,12.435376,False
VisPeri-VisPeri,0.0,True
