network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.548228,False
ContA-ContC,17.620321,False
ContA-DefaultA,33.097443,False
ContA-DefaultB,38.19518,False
ContA-DefaultC,1.127551,False
ContA-DorsAttnA,7.405242,False
ContA-DorsAttnB,1.651604,False
ContA-LimbicA,40.642447,False
ContA-LimbicB,17.605898,False
ContA-SalVentAttnA,0.058084,False
ContA-SalVentAttnB,9.607115,False
ContA-SomMotA,10.580282,False
ContA-SomMotB,4.428897,False
ContA-TempPar,1.042042,False
ContA-VisCent,4.297221,False
ContA-VisPeri,7.522606,False
ContB-ContA,4.781176,False
ContB-ContB,0.0,True
ContB-ContC,7.794916,False
ContB-DefaultA,7.903818,False
ContB-DefaultB,14.516335,False
ContB-DefaultC,7.081847,False
ContB-DorsAttnA,0.871565,False
ContB-DorsAttnB,0.529764,False
ContB-LimbicA,12.411239,False
ContB-LimbicB,16.059756,False
ContB-SalVentAttnA,1.228565,False
ContB-SalVentAttnB,2.60123,False
ContB-SomMotA,9.278511,False
ContB-SomMotB,1.365473,False
ContB-TempPar,0.04105,False
ContB-VisCent,3.109128,False
ContB-VisPeri,4.492316,False
ContC-ContA,1.552985,False
ContC-ContB,4.922349,False
ContC-ContC,0.0,True
ContC-DefaultA,6.930434,False
ContC-DefaultB,1.325674,False
ContC-DefaultC,0.641746,False
ContC-DorsAttnA,0.285086,False
ContC-DorsAttnB,0.213091,False
ContC-LimbicA,2.310747,False
ContC-LimbicB,4.420462,False
ContC-SalVentAttnA,3.394637,False
ContC-SalVentAttnB,2.288732,False
ContC-SomMotA,4.06623,False
ContC-SomMotB,0.946164,False
ContC-TempPar,2.171522,False
ContC-VisCent,2.32014,False
ContC-VisPeri,0.729475,False
DefaultA-ContA,1.72115,False
DefaultA-ContB,2.923306,False
DefaultA-ContC,9.568049,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,12.006732,False
DefaultA-DefaultC,3.329451,False
DefaultA-DorsAttnA,3.658632,False
DefaultA-DorsAttnB,0.294654,False
DefaultA-LimbicA,3.618313,False
DefaultA-LimbicB,8.099002,False
DefaultA-SalVentAttnA,2.054523,False
DefaultA-SalVentAttnB,7.071002,False
DefaultA-SomMotA,10.148694,False
DefaultA-SomMotB,3.15209,False
DefaultA-TempPar,2.957435,False
DefaultA-VisCent,7.640681,False
DefaultA-VisPeri,7.470837,False
DefaultB-ContA,3.472075,False
DefaultB-ContB,3.019783,False
DefaultB-ContC,4.982342,False
DefaultB-DefaultA,7.381749,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.331132,False
DefaultB-DorsAttnA,1.305309,False
DefaultB-DorsAttnB,0.502574,False
DefaultB-LimbicA,8.684697,False
DefaultB-LimbicB,5.11065,False
DefaultB-SalVentAttnA,3.498705,False
DefaultB-SalVentAttnB,1.194011,False
DefaultB-SomMotA,13.547243,False
DefaultB-SomMotB,1.076003,False
DefaultB-TempPar,1.185156,False
DefaultB-VisCent,3.448862,False
DefaultB-VisPeri,2.192794,False
DefaultC-ContA,0.941988,False
DefaultC-ContB,1.844113,False
DefaultC-ContC,0.349306,False
DefaultC-DefaultA,5.290076,False
DefaultC-DefaultB,4.253007,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.288436,False
DefaultC-DorsAttnB,5.892634,False
DefaultC-LimbicA,0.264227,False
DefaultC-LimbicB,0.472844,False
DefaultC-SalVentAttnA,0.07677,False
DefaultC-SalVentAttnB,0.378207,False
DefaultC-SomMotA,8.142855,False
DefaultC-SomMotB,3.805211,False
DefaultC-TempPar,3.089451,False
DefaultC-VisCent,5.37345,False
DefaultC-VisPeri,3.127018,False
DorsAttnA-ContA,4.698151,False
DorsAttnA-ContB,2.71853,False
DorsAttnA-ContC,0.944966,False
DorsAttnA-DefaultA,7.144427,False
DorsAttnA-DefaultB,9.281504,False
DorsAttnA-DefaultC,1.581871,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.142223,False
DorsAttnA-LimbicA,2.972762,False
DorsAttnA-LimbicB,1.601635,False
