network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,9.790793,False
ContA-ContC,11.203684,False
ContA-DefaultA,14.294797,False
ContA-DefaultB,7.69764,False
ContA-DefaultC,1.212313,False
ContA-DorsAttnA,2.220757,False
ContA-DorsAttnB,6.240659,False
ContA-LimbicA,29.481333,False
ContA-LimbicB,13.343422,False
ContA-SalVentAttnA,1.264435,False
ContA-SalVentAttnB,3.238397,False
ContA-SomMotA,0.281527,False
ContA-SomMotB,2.921409,False
ContA-TempPar,0.783261,False
ContA-VisCent,3.127087,False
ContA-VisPeri,2.123575,False
ContB-ContA,11.508536,False
ContB-ContB,0.0,True
ContB-ContC,15.428248,False
ContB-DefaultA,14.850455,False
ContB-DefaultB,6.830153,False
ContB-DefaultC,2.637215,False
ContB-DorsAttnA,0.576979,False
ContB-DorsAttnB,8.088801,False
ContB-LimbicA,11.187577,False
ContB-LimbicB,11.951629,False
ContB-SalVentAttnA,2.309522,False
ContB-SalVentAttnB,6.528115,False
ContB-SomMotA,4.686116,False
ContB-SomMotB,5.082664,False
ContB-TempPar,0.028109,False
ContB-VisCent,5.872423,False
ContB-VisPeri,1.525329,False
ContC-ContA,9.458827,False
ContC-ContB,10.370464,False
ContC-ContC,0.0,True
ContC-DefaultA,9.066035,False
ContC-DefaultB,8.143195,False
ContC-DefaultC,0.105536,False
ContC-DorsAttnA,2.89986,False
ContC-DorsAttnB,4.949163,False
ContC-LimbicA,6.507437,False
ContC-LimbicB,12.599094,False
ContC-SalVentAttnA,2.282885,False
ContC-SalVentAttnB,9.973346,False
ContC-SomMotA,6.925231,False
ContC-SomMotB,1.978879,False
ContC-TempPar,1.382995,False
ContC-VisCent,2.216028,False
ContC-VisPeri,6.636974,False
DefaultA-ContA,15.618811,False
DefaultA-ContB,7.279892,False
DefaultA-ContC,15.844241,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,14.981912,False
DefaultA-DefaultC,0.521961,False
DefaultA-DorsAttnA,6.751742,False
DefaultA-DorsAttnB,4.208767,False
DefaultA-LimbicA,14.798004,False
DefaultA-LimbicB,17.291958,False
DefaultA-SalVentAttnA,2.172662,False
DefaultA-SalVentAttnB,10.248192,False
DefaultA-SomMotA,4.410374,False
DefaultA-SomMotB,1.211326,False
