network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.950982,False
ContA-ContC,2.938747,False
ContA-DefaultA,3.849483,False
ContA-DefaultB,6.52386,False
ContA-DefaultC,0.850161,False
ContA-DorsAttnA,2.8783,False
ContA-DorsAttnB,4.571447,False
ContA-LimbicA,20.578476,False
ContA-LimbicB,7.057831,False
ContA-SalVentAttnA,6.007215,False
ContA-SalVentAttnB,4.645543,False
ContA-SomMotA,7.421353,False
ContA-SomMotB,1.446855,False
ContA-TempPar,0.67553,False
ContA-VisCent,4.182113,False
ContA-VisPeri,8.071039,False
ContB-ContA,2.534179,False
ContB-ContB,0.0,True
ContB-ContC,7.411649,False
ContB-DefaultA,3.245573,False
ContB-DefaultB,2.034797,False
ContB-DefaultC,7.107389,False
ContB-DorsAttnA,0.468368,False
ContB-DorsAttnB,0.357739,False
ContB-LimbicA,3.183123,False
ContB-LimbicB,1.718631,False
ContB-SalVentAttnA,0.356012,False
ContB-SalVentAttnB,0.151898,False
ContB-SomMotA,4.544368,False
ContB-SomMotB,2.053778,False
ContB-TempPar,3.521394,False
ContB-VisCent,0.686916,False
ContB-VisPeri,2.667195,False
ContC-ContA,2.446295,False
ContC-ContB,2.750923,False
ContC-ContC,0.0,True
ContC-DefaultA,1.05089,False
ContC-DefaultB,1.773329,False
ContC-DefaultC,0.229677,False
ContC-DorsAttnA,2.028793,False
ContC-DorsAttnB,0.100938,False
ContC-LimbicA,4.034221,False
ContC-LimbicB,2.688613,False
ContC-SalVentAttnA,0.041159,False
ContC-SalVentAttnB,1.00993,False
ContC-SomMotA,3.619082,False
ContC-SomMotB,0.529832,False
ContC-TempPar,0.171765,False
ContC-VisCent,2.808213,False
ContC-VisPeri,0.458178,False
DefaultA-ContA,5.300647,False
DefaultA-ContB,5.236138,False
DefaultA-ContC,14.461321,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.070765,False
DefaultA-DefaultC,0.673026,False
DefaultA-DorsAttnA,2.828671,False
DefaultA-DorsAttnB,1.629588,False
DefaultA-LimbicA,11.227615,False
DefaultA-LimbicB,7.039585,False
DefaultA-SalVentAttnA,3.429612,False
DefaultA-SalVentAttnB,3.463954,False
DefaultA-SomMotA,3.302181,False
DefaultA-SomMotB,0.383429,False
DefaultA-TempPar,0.044837,False
DefaultA-VisCent,0.223512,False
DefaultA-VisPeri,2.490897,False
DefaultB-ContA,7.173207,False
DefaultB-ContB,6.30602,False
DefaultB-ContC,10.383849,False
