network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.731828,False
ContA-ContC,3.668608,False
ContA-DefaultA,2.197743,False
ContA-DefaultB,1.221437,False
ContA-DefaultC,0.313766,False
ContA-DorsAttnA,2.682095,False
ContA-DorsAttnB,0.019174,False
ContA-LimbicA,34.314173,False
ContA-LimbicB,13.309021,False
ContA-SalVentAttnA,0.164807,False
ContA-SalVentAttnB,6.988181,False
ContA-SomMotA,6.671612,False
ContA-SomMotB,2.458623,False
ContA-TempPar,2.61153,False
ContA-VisCent,3.838191,False
ContA-VisPeri,3.297213,False
ContB-ContA,2.619597,False
ContB-ContB,0.0,True
ContB-ContC,13.31029,False
ContB-DefaultA,6.365774,False
ContB-DefaultB,1.034566,False
ContB-DefaultC,0.169635,False
ContB-DorsAttnA,1.599143,False
ContB-DorsAttnB,7.204974,False
ContB-LimbicA,3.214675,False
ContB-LimbicB,10.559199,False
ContB-SalVentAttnA,0.638002,False
ContB-SalVentAttnB,4.967469,False
ContB-SomMotA,1.372105,False
ContB-SomMotB,0.264552,False
ContB-TempPar,1.499751,False
ContB-VisCent,0.048074,False
ContB-VisPeri,2.738249,False
ContC-ContA,1.159367,False
ContC-ContB,0.263758,False
ContC-ContC,0.0,True
ContC-DefaultA,13.556822,False
ContC-DefaultB,0.634648,False
ContC-DefaultC,1.024078,False
ContC-DorsAttnA,0.567323,False
ContC-DorsAttnB,0.020883,False
ContC-LimbicA,4.057386,False
ContC-LimbicB,8.919494,False
ContC-SalVentAttnA,0.171579,False
ContC-SalVentAttnB,8.315845,False
ContC-SomMotA,0.937991,False
ContC-SomMotB,0.224894,False
ContC-TempPar,4.573822,False
ContC-VisCent,2.340949,False
ContC-VisPeri,0.481256,False
DefaultA-ContA,0.895411,False
DefaultA-ContB,0.843425,False
DefaultA-ContC,13.624232,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.618609,False
DefaultA-DefaultC,1.827719,False
DefaultA-DorsAttnA,5.771999,False
DefaultA-DorsAttnB,2.686365,False
DefaultA-LimbicA,5.031939,False
DefaultA-LimbicB,16.373198,False
DefaultA-SalVentAttnA,0.636844,False
DefaultA-SalVentAttnB,4.104159,False
DefaultA-SomMotA,3.19416,False
DefaultA-SomMotB,0.002405,False
DefaultA-TempPar,8.683672,False
DefaultA-VisCent,1.827037,False
DefaultA-VisPeri,2.950962,False
DefaultB-ContA,2.49864,False
DefaultB-ContB,2.782449,False
DefaultB-ContC,7.267527,False
DefaultB-DefaultA,11.066894,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.218087,False
DefaultB-DorsAttnA,10.444291,False
DefaultB-DorsAttnB,7.728431,False
DefaultB-LimbicA,3.752121,False
DefaultB-LimbicB,9.754633,False
DefaultB-SalVentAttnA,7.738179,False
DefaultB-SalVentAttnB,1.692445,False
DefaultB-SomMotA,3.927202,False
DefaultB-SomMotB,0.185141,False
DefaultB-TempPar,5.833911,False
DefaultB-VisCent,1.68441,False
DefaultB-VisPeri,5.010319,False
DefaultC-ContA,4.513276,False
DefaultC-ContB,8.689454,False
DefaultC-ContC,4.24633,False
DefaultC-DefaultA,10.422132,False
DefaultC-DefaultB,17.810451,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.984488,False
DefaultC-DorsAttnB,6.884633,False
DefaultC-LimbicA,4.054628,False
DefaultC-LimbicB,5.694501,False
DefaultC-SalVentAttnA,9.246538,False
DefaultC-SalVentAttnB,3.838865,False
DefaultC-SomMotA,3.227151,False
DefaultC-SomMotB,1.180603,False
DefaultC-TempPar,1.632685,False
DefaultC-VisCent,3.921678,False
DefaultC-VisPeri,6.880405,False
DorsAttnA-ContA,5.289595,False
DorsAttnA-ContB,4.585974,False
DorsAttnA-ContC,0.096962,False
DorsAttnA-DefaultA,3.239603,False
DorsAttnA-DefaultB,10.777762,False
DorsAttnA-DefaultC,2.679129,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.624064,False
DorsAttnA-LimbicA,1.609814,False
DorsAttnA-LimbicB,2.356781,False
DorsAttnA-SalVentAttnA,7.652955,False
DorsAttnA-SalVentAttnB,0.142974,False
DorsAttnA-SomMotA,5.034692,False
DorsAttnA-SomMotB,1.156818,False
DorsAttnA-TempPar,8.927301,False
DorsAttnA-VisCent,0.340859,False
DorsAttnA-VisPeri,0.821798,False
DorsAttnB-ContA,0.161598,False
DorsAttnB-ContB,2.980757,False
DorsAttnB-ContC,2.596366,False
DorsAttnB-DefaultA,1.996405,False
DorsAttnB-DefaultB,0.180194,False
DorsAttnB-DefaultC,2.695226,False
DorsAttnB-DorsAttnA,1.488399,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.26126,False
DorsAttnB-LimbicB,1.427714,False
DorsAttnB-SalVentAttnA,2.54226,False
DorsAttnB-SalVentAttnB,1.226984,False
DorsAttnB-SomMotA,0.730737,False
DorsAttnB-SomMotB,1.886871,False
DorsAttnB-TempPar,8.996039,False
DorsAttnB-VisCent,3.292075,False
DorsAttnB-VisPeri,0.81387,False
LimbicA-ContA,5.857711,False
LimbicA-ContB,1.365214,False
LimbicA-ContC,0.527113,False
LimbicA-DefaultA,0.510974,False
LimbicA-DefaultB,0.809083,False
LimbicA-DefaultC,1.220529,False
LimbicA-DorsAttnA,2.232995,False
LimbicA-DorsAttnB,0.267689,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.311381,False
LimbicA-SalVentAttnA,1.031522,False
LimbicA-SalVentAttnB,4.70827,False
