network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.685763,False
ContA-ContC,7.145953,False
ContA-DefaultA,1.938445,False
ContA-DefaultB,3.751542,False
ContA-DefaultC,0.457416,False
ContA-DorsAttnA,1.066822,False
ContA-DorsAttnB,2.813098,False
ContA-LimbicA,34.604716,False
ContA-LimbicB,5.319662,False
ContA-SalVentAttnA,0.709197,False
ContA-SalVentAttnB,11.0559,False
ContA-SomMotA,0.177628,False
ContA-SomMotB,1.487508,False
ContA-TempPar,2.501522,False
ContA-VisCent,1.375419,False
ContA-VisPeri,1.200983,False
ContB-ContA,13.331495,False
ContB-ContB,0.0,True
ContB-ContC,14.810608,False
ContB-DefaultA,1.155745,False
ContB-DefaultB,2.633013,False
ContB-DefaultC,0.256666,False
ContB-DorsAttnA,1.340526,False
ContB-DorsAttnB,8.276941,False
ContB-LimbicA,14.078594,False
ContB-LimbicB,5.305478,False
ContB-SalVentAttnA,2.175843,False
ContB-SalVentAttnB,7.214261,False
ContB-SomMotA,2.204212,False
ContB-SomMotB,1.851126,False
ContB-TempPar,0.364094,False
ContB-VisCent,2.922347,False
ContB-VisPeri,2.652687,False
ContC-ContA,3.942521,False
ContC-ContB,2.824365,False
ContC-ContC,0.0,True
ContC-DefaultA,7.258982,False
ContC-DefaultB,6.781716,False
ContC-DefaultC,2.319419,False
ContC-DorsAttnA,2.496023,False
ContC-DorsAttnB,8.204023,False
ContC-LimbicA,15.892222,False
ContC-LimbicB,21.930624,False
ContC-SalVentAttnA,4.391689,False
ContC-SalVentAttnB,14.041385,False
ContC-SomMotA,1.258175,False
ContC-SomMotB,0.360721,False
ContC-TempPar,0.564783,False
ContC-VisCent,8.00896,False
ContC-VisPeri,2.6443,False
DefaultA-ContA,14.392923,False
DefaultA-ContB,2.054983,False
DefaultA-ContC,35.514965,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.510383,False
DefaultA-DefaultC,2.970231,False
DefaultA-DorsAttnA,5.078397,False
DefaultA-DorsAttnB,4.751202,False
DefaultA-LimbicA,19.899764,False
DefaultA-LimbicB,42.114047,False
DefaultA-SalVentAttnA,1.747594,False
DefaultA-SalVentAttnB,27.020065,False
DefaultA-SomMotA,2.867921,False
DefaultA-SomMotB,1.895647,False
DefaultA-TempPar,2.464444,False
DefaultA-VisCent,6.878455,False
DefaultA-VisPeri,2.283852,False
DefaultB-ContA,9.897847,False
DefaultB-ContB,0.008458,False
DefaultB-ContC,10.44506,False
DefaultB-DefaultA,3.959165,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.435815,False
DefaultB-DorsAttnA,2.903095,False
DefaultB-DorsAttnB,1.215376,False
DefaultB-LimbicA,20.030815,False
DefaultB-LimbicB,23.72723,False
DefaultB-SalVentAttnA,0.943416,False
DefaultB-SalVentAttnB,17.151026,False
DefaultB-SomMotA,1.623612,False
DefaultB-SomMotB,1.518883,False
DefaultB-TempPar,9.631728,False
DefaultB-VisCent,3.738195,False
DefaultB-VisPeri,1.720689,False
DefaultC-ContA,0.537502,False
DefaultC-ContB,8.065487,False
DefaultC-ContC,0.039539,False
DefaultC-DefaultA,7.074098,False
DefaultC-DefaultB,3.68204,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.56543,False
DefaultC-DorsAttnB,0.694399,False
DefaultC-LimbicA,3.324254,False
DefaultC-LimbicB,3.407198,False
DefaultC-SalVentAttnA,2.283576,False
DefaultC-SalVentAttnB,4.805574,False
DefaultC-SomMotA,2.575282,False
DefaultC-SomMotB,0.495864,False
DefaultC-TempPar,17.828361,False
DefaultC-VisCent,1.486056,False
DefaultC-VisPeri,2.280191,False
DorsAttnA-ContA,5.726111,False
DorsAttnA-ContB,1.029375,False
DorsAttnA-ContC,6.130768,False
DorsAttnA-DefaultA,5.680325,False
DorsAttnA-DefaultB,11.717663,False
DorsAttnA-DefaultC,2.566953,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.156244,False
DorsAttnA-LimbicA,5.946334,False
DorsAttnA-LimbicB,15.804062,False
DorsAttnA-SalVentAttnA,9.099281,False
DorsAttnA-SalVentAttnB,1.379001,False
DorsAttnA-SomMotA,1.93303,False
DorsAttnA-SomMotB,1.488444,False
DorsAttnA-TempPar,0.257357,False
DorsAttnA-VisCent,2.788931,False
DorsAttnA-VisPeri,3.569593,False
DorsAttnB-ContA,1.659507,False
DorsAttnB-ContB,4.334734,False
DorsAttnB-ContC,0.295696,False
DorsAttnB-DefaultA,1.140261,False
DorsAttnB-DefaultB,1.850517,False
DorsAttnB-DefaultC,0.387491,False
DorsAttnB-DorsAttnA,0.108202,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.368383,False
DorsAttnB-LimbicB,0.235593,False
DorsAttnB-SalVentAttnA,6.51519,False
DorsAttnB-SalVentAttnB,1.85335,False
DorsAttnB-SomMotA,5.482244,False
DorsAttnB-SomMotB,2.20753,False
DorsAttnB-TempPar,4.662259,False
DorsAttnB-VisCent,1.405489,False
DorsAttnB-VisPeri,8.887767,False
LimbicA-ContA,7.292225,False
LimbicA-ContB,4.627282,False
LimbicA-ContC,6.632626,False
LimbicA-DefaultA,1.846492,False
LimbicA-DefaultB,3.696634,False
LimbicA-DefaultC,1.069668,False
LimbicA-DorsAttnA,1.013235,False
LimbicA-DorsAttnB,4.294035,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,5.530274,False
LimbicA-SalVentAttnA,0.323845,False
LimbicA-SalVentAttnB,15.605541,False
LimbicA-SomMotA,1.066608,False
LimbicA-SomMotB,0.932791,False
LimbicA-TempPar,2.448323,False
LimbicA-VisCent,1.818595,False
LimbicA-VisPeri,0.048666,False
LimbicB-ContA,0.911536,False
LimbicB-ContB,1.511163,False
LimbicB-ContC,3.561283,False
LimbicB-DefaultA,0.862372,False
LimbicB-DefaultB,5.526928,False
LimbicB-DefaultC,6.528629,False
LimbicB-DorsAttnA,5.059874,False
LimbicB-DorsAttnB,4.326074,False
LimbicB-LimbicA,12.116897,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.765145,False
LimbicB-SalVentAttnB,15.610801,False
LimbicB-SomMotA,3.566543,False
LimbicB-SomMotB,0.800395,False
LimbicB-TempPar,3.160251,False
LimbicB-VisCent,7.789547,False
LimbicB-VisPeri,2.963751,False
SalVentAttnA-ContA,2.756958,False
SalVentAttnA-ContB,0.339247,False
SalVentAttnA-ContC,1.516537,False
SalVentAttnA-DefaultA,2.084318,False
SalVentAttnA-DefaultB,4.412395,False
SalVentAttnA-DefaultC,1.586919,False
SalVentAttnA-DorsAttnA,2.241457,False
SalVentAttnA-DorsAttnB,0.633795,False
SalVentAttnA-LimbicA,3.40193,False
SalVentAttnA-LimbicB,5.016474,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.61188,False
SalVentAttnA-SomMotA,0.634038,False
SalVentAttnA-SomMotB,6.147054,False
SalVentAttnA-TempPar,5.220343,False
SalVentAttnA-VisCent,0.867688,False
SalVentAttnA-VisPeri,0.83682,False
SalVentAttnB-ContA,0.809079,False
SalVentAttnB-ContB,0.160093,False
SalVentAttnB-ContC,0.401375,False
SalVentAttnB-DefaultA,0.006032,False
SalVentAttnB-DefaultB,1.054972,False
SalVentAttnB-DefaultC,2.38226,False
SalVentAttnB-DorsAttnA,2.464788,False
SalVentAttnB-DorsAttnB,2.654136,False
SalVentAttnB-LimbicA,5.028385,False
SalVentAttnB-LimbicB,6.077571,False
SalVentAttnB-SalVentAttnA,4.358111,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.174885,False
SalVentAttnB-SomMotB,2.301513,False
SalVentAttnB-TempPar,0.132849,False
SalVentAttnB-VisCent,0.728325,False
SalVentAttnB-VisPeri,1.276268,False
SomMotA-ContA,7.190814,False
SomMotA-ContB,5.21924,False
SomMotA-ContC,7.487289,False
SomMotA-DefaultA,7.3408,False
SomMotA-DefaultB,4.89725,False
SomMotA-DefaultC,1.146908,False
SomMotA-DorsAttnA,2.213515,False
SomMotA-DorsAttnB,0.461484,False
SomMotA-LimbicA,17.848928,False
SomMotA-LimbicB,8.406911,False
SomMotA-SalVentAttnA,0.953514,False
SomMotA-SalVentAttnB,3.20154,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,7.010798,False
SomMotA-TempPar,5.558228,False
SomMotA-VisCent,2.671918,False
SomMotA-VisPeri,4.311179,False
SomMotB-ContA,6.785584,False
SomMotB-ContB,4.157252,False
