network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,9.384394,False
ContA-ContC,0.208952,False
ContA-DefaultA,3.475188,False
ContA-DefaultB,4.07003,False
ContA-DefaultC,7.062243,False
ContA-DorsAttnA,7.055028,False
ContA-DorsAttnB,3.371846,False
ContA-LimbicA,17.934942,False
ContA-LimbicB,18.080218,False
ContA-SalVentAttnA,0.155842,False
ContA-SalVentAttnB,4.48039,False
ContA-SomMotA,18.427999,False
ContA-SomMotB,6.516652,False
ContA-TempPar,0.452711,False
ContA-VisCent,1.196654,False
ContA-VisPeri,6.294541,False
ContB-ContA,3.404148,False
ContB-ContB,0.0,True
ContB-ContC,1.420841,False
ContB-DefaultA,1.69959,False
ContB-DefaultB,2.224215,False
ContB-DefaultC,0.600575,False
ContB-DorsAttnA,1.061936,False
ContB-DorsAttnB,0.354982,False
ContB-LimbicA,1.300573,False
ContB-LimbicB,1.096183,False
ContB-SalVentAttnA,1.001938,False
ContB-SalVentAttnB,0.152931,False
ContB-SomMotA,0.350459,False
ContB-SomMotB,2.275386,False
ContB-TempPar,1.790793,False
ContB-VisCent,3.294445,False
ContB-VisPeri,0.574445,False
ContC-ContA,4.646639,False
ContC-ContB,6.099767,False
ContC-ContC,0.0,True
ContC-DefaultA,7.427932,False
ContC-DefaultB,2.689204,False
ContC-DefaultC,1.473352,False
ContC-DorsAttnA,1.624105,False
ContC-DorsAttnB,2.383453,False
ContC-LimbicA,4.937262,False
ContC-LimbicB,6.617181,False
ContC-SalVentAttnA,0.261754,False
ContC-SalVentAttnB,2.280233,False
ContC-SomMotA,1.181748,False
ContC-SomMotB,0.001315,False
ContC-TempPar,0.377215,False
ContC-VisCent,0.369712,False
ContC-VisPeri,0.958937,False
DefaultA-ContA,4.174322,False
DefaultA-ContB,8.559408,False
DefaultA-ContC,14.110635,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.01202,False
DefaultA-DefaultC,4.889789,False
DefaultA-DorsAttnA,2.795444,False
DefaultA-DorsAttnB,1.92202,False
DefaultA-LimbicA,8.171065,False
DefaultA-LimbicB,8.292901,False
DefaultA-SalVentAttnA,1.072331,False
DefaultA-SalVentAttnB,3.943939,False
DefaultA-SomMotA,3.677452,False
DefaultA-SomMotB,1.182115,False
DefaultA-TempPar,1.095935,False
DefaultA-VisCent,1.995273,False
