network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.078045,False
ContA-ContC,9.071181,False
ContA-DefaultA,18.731911,False
ContA-DefaultB,7.568596,False
ContA-DefaultC,1.729384,False
ContA-DorsAttnA,2.653347,False
ContA-DorsAttnB,4.485647,False
ContA-LimbicA,28.037335,False
ContA-LimbicB,20.883486,False
ContA-SalVentAttnA,0.350524,False
ContA-SalVentAttnB,9.560975,False
ContA-SomMotA,8.12643,False
ContA-SomMotB,4.786373,False
ContA-TempPar,1.300226,False
ContA-VisCent,2.602968,False
ContA-VisPeri,2.064898,False
ContB-ContA,2.087317,False
ContB-ContB,0.0,True
ContB-ContC,11.443745,False
ContB-DefaultA,3.55343,False
ContB-DefaultB,0.973375,False
ContB-DefaultC,0.93453,False
ContB-DorsAttnA,0.107087,False
ContB-DorsAttnB,4.305878,False
ContB-LimbicA,1.618571,False
ContB-LimbicB,1.564962,False
ContB-SalVentAttnA,6.666412,False
ContB-SalVentAttnB,2.936928,False
ContB-SomMotA,3.305974,False
ContB-SomMotB,3.742031,False
ContB-TempPar,3.196766,False
ContB-VisCent,1.106739,False
ContB-VisPeri,0.822941,False
ContC-ContA,6.401104,False
ContC-ContB,4.110726,False
ContC-ContC,0.0,True
ContC-DefaultA,8.673735,False
ContC-DefaultB,1.907373,False
ContC-DefaultC,0.352672,False
ContC-DorsAttnA,4.839217,False
ContC-DorsAttnB,8.257019,False
ContC-LimbicA,7.387873,False
ContC-LimbicB,5.739839,False
ContC-SalVentAttnA,0.812292,False
ContC-SalVentAttnB,7.968185,False
ContC-SomMotA,5.169531,False
ContC-SomMotB,0.395256,False
ContC-TempPar,0.708869,False
ContC-VisCent,2.356821,False
ContC-VisPeri,1.089685,False
DefaultA-ContA,5.594251,False
DefaultA-ContB,5.513882,False
DefaultA-ContC,48.094322,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.069858,False
DefaultA-DefaultC,1.460335,False
DefaultA-DorsAttnA,3.261331,False
DefaultA-DorsAttnB,6.008917,False
DefaultA-LimbicA,10.054445,False
DefaultA-LimbicB,13.565438,False
DefaultA-SalVentAttnA,0.291433,False
DefaultA-SalVentAttnB,6.322466,False
DefaultA-SomMotA,6.155238,False
DefaultA-SomMotB,4.00459,False
DefaultA-TempPar,0.486547,False
DefaultA-VisCent,1.952818,False
DefaultA-VisPeri,0.508519,False
DefaultB-ContA,2.279164,False
DefaultB-ContB,4.654024,False
DefaultB-ContC,12.952028,False
DefaultB-DefaultA,8.156904,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.745074,False
DefaultB-DorsAttnA,4.886613,False
DefaultB-DorsAttnB,10.247253,False
DefaultB-LimbicA,3.407911,False
DefaultB-LimbicB,5.683592,False
DefaultB-SalVentAttnA,1.457507,False
DefaultB-SalVentAttnB,3.885678,False
DefaultB-SomMotA,10.90625,False
DefaultB-SomMotB,1.029549,False
DefaultB-TempPar,0.821179,False
DefaultB-VisCent,1.079551,False
DefaultB-VisPeri,1.438198,False
DefaultC-ContA,0.42727,False
DefaultC-ContB,1.705493,False
DefaultC-ContC,2.23729,False
DefaultC-DefaultA,1.597666,False
DefaultC-DefaultB,18.163729,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.784372,False
DefaultC-DorsAttnB,7.080337,False
DefaultC-LimbicA,0.328127,False
DefaultC-LimbicB,0.498923,False
DefaultC-SalVentAttnA,7.476027,False
DefaultC-SalVentAttnB,0.063129,False
DefaultC-SomMotA,4.494507,False
DefaultC-SomMotB,0.715027,False
DefaultC-TempPar,2.260348,False
DefaultC-VisCent,1.17528,False
DefaultC-VisPeri,2.83134,False
DorsAttnA-ContA,0.903004,False
DorsAttnA-ContB,1.391192,False
DorsAttnA-ContC,0.137927,False
DorsAttnA-DefaultA,1.419423,False
DorsAttnA-DefaultB,4.194019,False
DorsAttnA-DefaultC,2.727361,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.834378,False
DorsAttnA-LimbicA,0.311737,False
DorsAttnA-LimbicB,2.78346,False
DorsAttnA-SalVentAttnA,0.283752,False
DorsAttnA-SalVentAttnB,0.654995,False
DorsAttnA-SomMotA,2.252021,False
DorsAttnA-SomMotB,0.85276,False
DorsAttnA-TempPar,0.032776,False
DorsAttnA-VisCent,0.540179,False
DorsAttnA-VisPeri,0.615358,False
DorsAttnB-ContA,0.059219,False
DorsAttnB-ContB,3.191367,False
DorsAttnB-ContC,2.517504,False
DorsAttnB-DefaultA,0.62073,False
DorsAttnB-DefaultB,0.604045,False
DorsAttnB-DefaultC,3.017503,False
DorsAttnB-DorsAttnA,6.396712,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.044534,False
DorsAttnB-LimbicB,0.093418,False
DorsAttnB-SalVentAttnA,0.408697,False
DorsAttnB-SalVentAttnB,0.619165,False
DorsAttnB-SomMotA,0.804821,False
DorsAttnB-SomMotB,0.512632,False
DorsAttnB-TempPar,0.348809,False
DorsAttnB-VisCent,1.450862,False
DorsAttnB-VisPeri,1.21668,False
LimbicA-ContA,9.474932,False
LimbicA-ContB,9.858236,False
LimbicA-ContC,10.733191,False
LimbicA-DefaultA,12.091331,False
LimbicA-DefaultB,5.861332,False
LimbicA-DefaultC,0.30853,False
LimbicA-DorsAttnA,1.221776,False
LimbicA-DorsAttnB,7.378346,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.420517,False
LimbicA-SalVentAttnA,0.525814,False
LimbicA-SalVentAttnB,5.98851,False
LimbicA-SomMotA,10.258398,False
LimbicA-SomMotB,4.363577,False
LimbicA-TempPar,0.333834,False
LimbicA-VisCent,1.181937,False
LimbicA-VisPeri,1.66807,False
LimbicB-ContA,8.785534,False
LimbicB-ContB,7.92055,False
LimbicB-ContC,23.5551,False
LimbicB-DefaultA,24.623422,False
LimbicB-DefaultB,7.332034,False
LimbicB-DefaultC,0.821499,False
LimbicB-DorsAttnA,2.903593,False
LimbicB-DorsAttnB,9.001005,False
LimbicB-LimbicA,22.59728,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.040578,False
LimbicB-SalVentAttnB,13.935116,False
LimbicB-SomMotA,7.039344,False
LimbicB-SomMotB,2.61483,False
LimbicB-TempPar,0.30766,False
LimbicB-VisCent,1.928015,False
LimbicB-VisPeri,0.104199,False
SalVentAttnA-ContA,1.713748,False
SalVentAttnA-ContB,0.421487,False
SalVentAttnA-ContC,8.034096,False
SalVentAttnA-DefaultA,4.538385,False
SalVentAttnA-DefaultB,1.530158,False
SalVentAttnA-DefaultC,0.420256,False
SalVentAttnA-DorsAttnA,0.808435,False
SalVentAttnA-DorsAttnB,0.289474,False
SalVentAttnA-LimbicA,1.650567,False
SalVentAttnA-LimbicB,4.658951,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.27397,False
SalVentAttnA-SomMotA,2.093395,False
SalVentAttnA-SomMotB,2.123596,False
SalVentAttnA-TempPar,0.759106,False
SalVentAttnA-VisCent,2.19048,False
SalVentAttnA-VisPeri,0.52831,False
SalVentAttnB-ContA,7.600114,False
SalVentAttnB-ContB,4.221443,False
SalVentAttnB-ContC,24.991821,False
SalVentAttnB-DefaultA,15.223797,False
SalVentAttnB-DefaultB,6.220961,False
SalVentAttnB-DefaultC,0.182231,False
SalVentAttnB-DorsAttnA,4.588259,False
SalVentAttnB-DorsAttnB,9.421781,False
SalVentAttnB-LimbicA,28.791651,False
SalVentAttnB-LimbicB,34.506457,False
SalVentAttnB-SalVentAttnA,3.197104,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,6.772982,False
SalVentAttnB-SomMotB,3.340704,False
SalVentAttnB-TempPar,0.030596,False
SalVentAttnB-VisCent,6.772146,False
SalVentAttnB-VisPeri,0.881897,False
SomMotA-ContA,22.781305,False
SomMotA-ContB,24.005788,False
SomMotA-ContC,25.618181,False
SomMotA-DefaultA,26.209725,False
SomMotA-DefaultB,29.460082,False
SomMotA-DefaultC,7.235807,False
SomMotA-DorsAttnA,4.520032,False
SomMotA-DorsAttnB,4.837053,False
SomMotA-LimbicA,25.303734,False
SomMotA-LimbicB,33.421704,False
SomMotA-SalVentAttnA,0.983191,False
SomMotA-SalVentAttnB,23.664761,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,5.83589,False
SomMotA-TempPar,2.820367,False
SomMotA-VisCent,11.371791,False
SomMotA-VisPeri,13.153748,False
SomMotB-ContA,3.71244,False
SomMotB-ContB,1.766441,False
SomMotB-ContC,7.354256,False
SomMotB-DefaultA,5.835415,False
SomMotB-DefaultB,5.755848,False
SomMotB-DefaultC,1.232083,False
SomMotB-DorsAttnA,6.235801,False
SomMotB-DorsAttnB,8.234194,False
SomMotB-LimbicA,1.293602,False
SomMotB-LimbicB,2.927728,False
SomMotB-SalVentAttnA,0.054785,False
SomMotB-SalVentAttnB,4.127829,False
SomMotB-SomMotA,1.53925,False
