network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.627111,False
ContA-ContC,1.394638,False
ContA-DefaultA,1.28015,False
ContA-DefaultB,1.304685,False
ContA-DefaultC,0.01925,False
ContA-DorsAttnA,0.05326,False
ContA-DorsAttnB,5.099497,False
ContA-LimbicA,12.282323,False
ContA-LimbicB,6.058948,False
ContA-SalVentAttnA,3.401055,False
ContA-SalVentAttnB,0.923186,False
ContA-SomMotA,2.164741,False
ContA-SomMotB,1.740998,False
ContA-TempPar,0.113177,False
ContA-VisCent,1.730019,False
ContA-VisPeri,1.870652,False
ContB-ContA,0.829074,False
ContB-ContB,0.0,True
ContB-ContC,1.053187,False
ContB-DefaultA,0.804377,False
ContB-DefaultB,7.183327,False
ContB-DefaultC,1.903475,False
ContB-DorsAttnA,3.682613,False
ContB-DorsAttnB,0.766071,False
ContB-LimbicA,0.511549,False
ContB-LimbicB,0.554329,False
ContB-SalVentAttnA,1.145446,False
ContB-SalVentAttnB,0.646648,False
ContB-SomMotA,0.418291,False
ContB-SomMotB,0.76899,False
ContB-TempPar,1.432265,False
ContB-VisCent,0.50661,False
ContB-VisPeri,1.937067,False
ContC-ContA,2.280699,False
ContC-ContB,0.250296,False
ContC-ContC,0.0,True
ContC-DefaultA,15.876308,False
ContC-DefaultB,1.459814,False
ContC-DefaultC,3.418822,False
ContC-DorsAttnA,1.25262,False
ContC-DorsAttnB,3.787912,False
ContC-LimbicA,0.428052,False
ContC-LimbicB,5.457873,False
ContC-SalVentAttnA,4.829429,False
ContC-SalVentAttnB,3.387164,False
ContC-SomMotA,1.269967,False
ContC-SomMotB,4.677838,False
ContC-TempPar,4.759224,False
ContC-VisCent,0.489166,False
ContC-VisPeri,0.022239,False
DefaultA-ContA,4.187111,False
DefaultA-ContB,1.742984,False
DefaultA-ContC,11.336386,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.553101,False
DefaultA-DefaultC,4.775117,False
DefaultA-DorsAttnA,2.503702,False
DefaultA-DorsAttnB,4.368136,False
DefaultA-LimbicA,3.448937,False
DefaultA-LimbicB,13.413831,False
DefaultA-SalVentAttnA,10.437323,False
DefaultA-SalVentAttnB,1.843274,False
DefaultA-SomMotA,10.448429,False
DefaultA-SomMotB,2.115596,False
DefaultA-TempPar,7.514288,False
DefaultA-VisCent,1.059092,False
DefaultA-VisPeri,3.459203,False
DefaultB-ContA,1.015258,False
DefaultB-ContB,5.736042,False
DefaultB-ContC,1.931773,False
DefaultB-DefaultA,2.767877,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.45998,False
DefaultB-DorsAttnA,5.561123,False
DefaultB-DorsAttnB,0.15742,False
DefaultB-LimbicA,1.247628,False
DefaultB-LimbicB,0.805639,False
DefaultB-SalVentAttnA,2.581761,False
DefaultB-SalVentAttnB,0.493194,False
DefaultB-SomMotA,3.032671,False
DefaultB-SomMotB,2.759219,False
DefaultB-TempPar,1.686415,False
DefaultB-VisCent,2.038456,False
DefaultB-VisPeri,3.119339,False
DefaultC-ContA,7.478758,False
DefaultC-ContB,0.643639,False
DefaultC-ContC,8.937389,False
DefaultC-DefaultA,6.372088,False
DefaultC-DefaultB,5.942854,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.225703,False
DefaultC-DorsAttnB,1.756759,False
DefaultC-LimbicA,3.229422,False
DefaultC-LimbicB,5.686486,False
DefaultC-SalVentAttnA,11.974518,False
DefaultC-SalVentAttnB,0.960492,False
DefaultC-SomMotA,0.638728,False
DefaultC-SomMotB,2.991792,False
DefaultC-TempPar,0.413578,False
DefaultC-VisCent,0.537567,False
DefaultC-VisPeri,2.475143,False
DorsAttnA-ContA,2.515321,False
DorsAttnA-ContB,0.310793,False
DorsAttnA-ContC,0.23355,False
DorsAttnA-DefaultA,5.553868,False
DorsAttnA-DefaultB,5.494937,False
DorsAttnA-DefaultC,3.987629,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.717208,False
DorsAttnA-LimbicA,3.020586,False
DorsAttnA-LimbicB,2.892649,False
DorsAttnA-SalVentAttnA,0.694181,False
DorsAttnA-SalVentAttnB,1.837265,False
DorsAttnA-SomMotA,0.787108,False
DorsAttnA-SomMotB,9.409008,False
DorsAttnA-TempPar,3.933971,False
DorsAttnA-VisCent,1.00526,False
DorsAttnA-VisPeri,3.712348,False
DorsAttnB-ContA,5.868281,False
DorsAttnB-ContB,2.786264,False
DorsAttnB-ContC,1.303945,False
DorsAttnB-DefaultA,0.571163,False
DorsAttnB-DefaultB,0.523704,False
DorsAttnB-DefaultC,0.1003,False
DorsAttnB-DorsAttnA,0.436004,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.546562,False
DorsAttnB-LimbicB,0.812166,False
DorsAttnB-SalVentAttnA,0.258043,False
DorsAttnB-SalVentAttnB,1.520818,False
DorsAttnB-SomMotA,1.240277,False
DorsAttnB-SomMotB,1.566332,False
DorsAttnB-TempPar,2.00604,False
DorsAttnB-VisCent,3.62705,False
DorsAttnB-VisPeri,2.349433,False
LimbicA-ContA,21.078085,False
LimbicA-ContB,4.788776,False
LimbicA-ContC,2.622083,False
LimbicA-DefaultA,2.955908,False
LimbicA-DefaultB,4.187032,False
LimbicA-DefaultC,1.176151,False
LimbicA-DorsAttnA,0.066924,False
LimbicA-DorsAttnB,5.341438,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,14.179288,False
LimbicA-SalVentAttnA,5.956681,False
LimbicA-SalVentAttnB,5.893476,False
LimbicA-SomMotA,3.57483,False
LimbicA-SomMotB,0.508175,False
LimbicA-TempPar,0.814813,False
LimbicA-VisCent,1.253095,False
LimbicA-VisPeri,6.542531,False
LimbicB-ContA,3.6037,False
LimbicB-ContB,0.700802,False
LimbicB-ContC,0.330041,False
LimbicB-DefaultA,5.974148,False
LimbicB-DefaultB,3.783244,False
LimbicB-DefaultC,1.209182,False
LimbicB-DorsAttnA,1.006529,False
LimbicB-DorsAttnB,4.650507,False
LimbicB-LimbicA,3.824082,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,11.897669,False
LimbicB-SalVentAttnB,8.92462,False
LimbicB-SomMotA,4.000984,False
LimbicB-SomMotB,2.274578,False
LimbicB-TempPar,0.427651,False
LimbicB-VisCent,0.04422,False
LimbicB-VisPeri,1.934147,False
SalVentAttnA-ContA,3.647784,False
SalVentAttnA-ContB,0.645309,False
SalVentAttnA-ContC,2.165129,False
SalVentAttnA-DefaultA,3.777829,False
SalVentAttnA-DefaultB,1.11746,False
SalVentAttnA-DefaultC,1.16563,False
SalVentAttnA-DorsAttnA,1.465616,False
SalVentAttnA-DorsAttnB,1.112821,False
SalVentAttnA-LimbicA,7.484923,False
SalVentAttnA-LimbicB,6.634962,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,4.995183,False
SalVentAttnA-SomMotA,1.376081,False
SalVentAttnA-SomMotB,1.121469,False
SalVentAttnA-TempPar,0.054053,False
SalVentAttnA-VisCent,0.222728,False
SalVentAttnA-VisPeri,5.298672,False
SalVentAttnB-ContA,11.572825,False
SalVentAttnB-ContB,0.003559,False
SalVentAttnB-ContC,2.344434,False
SalVentAttnB-DefaultA,4.069925,False
SalVentAttnB-DefaultB,3.676287,False
SalVentAttnB-DefaultC,2.432847,False
SalVentAttnB-DorsAttnA,0.650019,False
SalVentAttnB-DorsAttnB,6.241439,False
SalVentAttnB-LimbicA,9.195047,False
SalVentAttnB-LimbicB,47.575544,False
SalVentAttnB-SalVentAttnA,12.839232,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,10.058301,False
SalVentAttnB-SomMotB,1.729413,False
SalVentAttnB-TempPar,1.451762,False
SalVentAttnB-VisCent,0.400649,False
SalVentAttnB-VisPeri,4.625163,False
SomMotA-ContA,2.745943,False
SomMotA-ContB,4.389762,False
SomMotA-ContC,1.68898,False
SomMotA-DefaultA,1.442545,False
SomMotA-DefaultB,12.352396,False
SomMotA-DefaultC,2.65204,False
