network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.307386,False
ContA-ContC,4.376149,False
ContA-DefaultA,0.458309,False
ContA-DefaultB,0.909349,False
ContA-DefaultC,1.620892,False
ContA-DorsAttnA,2.871053,False
ContA-DorsAttnB,0.868498,False
ContA-LimbicA,8.205555,False
ContA-LimbicB,6.743664,False
ContA-SalVentAttnA,0.294617,False
ContA-SalVentAttnB,4.063433,False
ContA-SomMotA,0.686393,False
ContA-SomMotB,0.722634,False
ContA-TempPar,2.334942,False
ContA-VisCent,3.63772,False
ContA-VisPeri,0.201211,False
ContB-ContA,1.084629,False
ContB-ContB,0.0,True
ContB-ContC,3.831075,False
ContB-DefaultA,0.356985,False
ContB-DefaultB,1.0166,False
ContB-DefaultC,0.084322,False
ContB-DorsAttnA,5.100938,False
ContB-DorsAttnB,1.681154,False
ContB-LimbicA,1.041724,False
ContB-LimbicB,0.053222,False
ContB-SalVentAttnA,3.01223,False
ContB-SalVentAttnB,0.478547,False
ContB-SomMotA,0.254914,False
ContB-SomMotB,0.235352,False
ContB-TempPar,0.490483,False
ContB-VisCent,1.02121,False
ContB-VisPeri,1.434145,False
ContC-ContA,0.695847,False
ContC-ContB,3.466968,False
ContC-ContC,0.0,True
ContC-DefaultA,5.24054,False
ContC-DefaultB,7.782448,False
ContC-DefaultC,1.261977,False
ContC-DorsAttnA,4.135244,False
ContC-DorsAttnB,0.580235,False
ContC-LimbicA,3.70371,False
ContC-LimbicB,4.013872,False
ContC-SalVentAttnA,0.621759,False
ContC-SalVentAttnB,2.023102,False
ContC-SomMotA,0.828051,False
ContC-SomMotB,1.629632,False
ContC-TempPar,0.596965,False
ContC-VisCent,0.444088,False
ContC-VisPeri,0.386161,False
DefaultA-ContA,2.576903,False
DefaultA-ContB,4.674105,False
DefaultA-ContC,31.050959,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,29.992207,False
DefaultA-DefaultC,3.636711,False
DefaultA-DorsAttnA,6.400325,False
DefaultA-DorsAttnB,0.274433,False
DefaultA-LimbicA,7.91054,False
DefaultA-LimbicB,4.305858,False
DefaultA-SalVentAttnA,0.121427,False
DefaultA-SalVentAttnB,2.19091,False
DefaultA-SomMotA,2.736646,False
DefaultA-SomMotB,2.619228,False
DefaultA-TempPar,1.400571,False
DefaultA-VisCent,1.087978,False
DefaultA-VisPeri,7.663153,False
DefaultB-ContA,0.378101,False
DefaultB-ContB,3.241564,False
DefaultB-ContC,12.387112,False
DefaultB-DefaultA,1.689974,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.411866,False
DefaultB-DorsAttnA,2.870591,False
DefaultB-DorsAttnB,0.487066,False
DefaultB-LimbicA,1.425253,False
DefaultB-LimbicB,1.115955,False
DefaultB-SalVentAttnA,0.244751,False
DefaultB-SalVentAttnB,0.39837,False
DefaultB-SomMotA,0.380554,False
DefaultB-SomMotB,2.779459,False
DefaultB-TempPar,0.548719,False
DefaultB-VisCent,0.471036,False
DefaultB-VisPeri,0.509972,False
DefaultC-ContA,0.564142,False
DefaultC-ContB,2.25532,False
DefaultC-ContC,3.108737,False
DefaultC-DefaultA,2.383747,False
DefaultC-DefaultB,3.855449,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.094206,False
DefaultC-DorsAttnB,0.154667,False
DefaultC-LimbicA,2.823497,False
DefaultC-LimbicB,2.015804,False
DefaultC-SalVentAttnA,3.264074,False
DefaultC-SalVentAttnB,4.89821,False
DefaultC-SomMotA,0.594896,False
DefaultC-SomMotB,0.05378,False
DefaultC-TempPar,2.348103,False
DefaultC-VisCent,1.396142,False
DefaultC-VisPeri,1.836569,False
DorsAttnA-ContA,0.326191,False
DorsAttnA-ContB,0.412375,False
DorsAttnA-ContC,0.083968,False
DorsAttnA-DefaultA,0.663336,False
DorsAttnA-DefaultB,0.639901,False
DorsAttnA-DefaultC,0.047727,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.999357,False
DorsAttnA-LimbicA,0.815631,False
DorsAttnA-LimbicB,1.69952,False
DorsAttnA-SalVentAttnA,6.514446,False
DorsAttnA-SalVentAttnB,3.709055,False
DorsAttnA-SomMotA,0.209359,False
DorsAttnA-SomMotB,0.755134,False
DorsAttnA-TempPar,1.031542,False
DorsAttnA-VisCent,1.144009,False
DorsAttnA-VisPeri,7.403685,False
DorsAttnB-ContA,3.130319,False
DorsAttnB-ContB,0.424261,False
DorsAttnB-ContC,0.646613,False
DorsAttnB-DefaultA,0.187902,False
DorsAttnB-DefaultB,1.978122,False
DorsAttnB-DefaultC,0.842344,False
DorsAttnB-DorsAttnA,0.85015,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.232512,False
DorsAttnB-LimbicB,1.833637,False
DorsAttnB-SalVentAttnA,2.395133,False
DorsAttnB-SalVentAttnB,0.163909,False
DorsAttnB-SomMotA,1.006884,False
DorsAttnB-SomMotB,4.511955,False
DorsAttnB-TempPar,1.440933,False
DorsAttnB-VisCent,1.634245,False
DorsAttnB-VisPeri,0.73038,False
LimbicA-ContA,21.602228,False
LimbicA-ContB,6.3219,False
LimbicA-ContC,2.816003,False
