network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,24.336049,False
ContA-ContC,3.341809,False
ContA-DefaultA,1.205713,False
ContA-DefaultB,9.189785,False
ContA-DefaultC,16.930382,False
ContA-DorsAttnA,0.345971,False
ContA-DorsAttnB,0.570046,False
ContA-LimbicA,21.513858,False
ContA-LimbicB,11.279567,False
ContA-SalVentAttnA,3.909693,False
ContA-SalVentAttnB,1.26096,False
ContA-SomMotA,3.560641,False
ContA-SomMotB,3.012729,False
ContA-TempPar,7.004902,False
ContA-VisCent,0.94192,False
ContA-VisPeri,4.953813,False
ContB-ContA,14.353893,False
ContB-ContB,0.0,True
ContB-ContC,8.463754,False
ContB-DefaultA,11.858073,False
ContB-DefaultB,15.746009,False
ContB-DefaultC,8.037019,False
ContB-DorsAttnA,0.667236,False
ContB-DorsAttnB,3.982065,False
ContB-LimbicA,14.351436,False
ContB-LimbicB,5.421519,False
ContB-SalVentAttnA,5.232347,False
ContB-SalVentAttnB,2.307189,False
ContB-SomMotA,0.486747,False
ContB-SomMotB,0.758217,False
ContB-TempPar,2.177424,False
ContB-VisCent,1.111337,False
ContB-VisPeri,1.19954,False
ContC-ContA,9.319468,False
ContC-ContB,11.615983,False
ContC-ContC,0.0,True
ContC-DefaultA,19.258149,False
ContC-DefaultB,16.02455,False
ContC-DefaultC,8.889809,False
ContC-DorsAttnA,0.394301,False
ContC-DorsAttnB,1.735184,False
ContC-LimbicA,16.03793,False
ContC-LimbicB,7.716771,False
ContC-SalVentAttnA,0.363706,False
ContC-SalVentAttnB,5.806926,False
ContC-SomMotA,0.862203,False
ContC-SomMotB,2.68574,False
ContC-TempPar,2.419478,False
ContC-VisCent,5.84611,False
ContC-VisPeri,2.316146,False
DefaultA-ContA,10.543378,False
DefaultA-ContB,9.296483,False
DefaultA-ContC,22.387691,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.647562,False
DefaultA-DefaultC,12.693359,False
DefaultA-DorsAttnA,1.261622,False
DefaultA-DorsAttnB,2.758865,False
DefaultA-LimbicA,14.142689,False
DefaultA-LimbicB,12.032494,False
DefaultA-SalVentAttnA,2.437419,False
DefaultA-SalVentAttnB,7.157314,False
DefaultA-SomMotA,1.05329,False
DefaultA-SomMotB,5.199268,False
DefaultA-TempPar,4.111341,False
DefaultA-VisCent,1.311209,False
DefaultA-VisPeri,3.863817,False
DefaultB-ContA,21.258765,False
DefaultB-ContB,18.057364,False
DefaultB-ContC,11.989414,False
DefaultB-DefaultA,10.714922,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,19.050822,False
DefaultB-DorsAttnA,1.216607,False
DefaultB-DorsAttnB,3.143957,False
DefaultB-LimbicA,17.419046,False
DefaultB-LimbicB,4.752087,False
DefaultB-SalVentAttnA,8.670991,False
DefaultB-SalVentAttnB,1.282653,False
DefaultB-SomMotA,1.094765,False
DefaultB-SomMotB,2.682007,False
DefaultB-TempPar,7.787936,False
DefaultB-VisCent,1.831409,False
DefaultB-VisPeri,2.201033,False
DefaultC-ContA,0.973367,False
DefaultC-ContB,0.397996,False
DefaultC-ContC,0.863456,False
DefaultC-DefaultA,0.441122,False
DefaultC-DefaultB,0.756819,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.632929,False
DefaultC-DorsAttnB,3.502856,False
DefaultC-LimbicA,1.45953,False
DefaultC-LimbicB,0.368552,False
DefaultC-SalVentAttnA,5.327824,False
DefaultC-SalVentAttnB,0.254202,False
DefaultC-SomMotA,4.163122,False
DefaultC-SomMotB,0.798413,False
DefaultC-TempPar,7.674222,False
DefaultC-VisCent,1.522022,False
DefaultC-VisPeri,2.431487,False
DorsAttnA-ContA,7.197248,False
DorsAttnA-ContB,7.300646,False
DorsAttnA-ContC,8.130539,False
DorsAttnA-DefaultA,6.687598,False
DorsAttnA-DefaultB,6.667631,False
DorsAttnA-DefaultC,6.542702,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.354843,False
DorsAttnA-LimbicA,2.707544,False
DorsAttnA-LimbicB,1.006567,False
DorsAttnA-SalVentAttnA,10.455923,False
DorsAttnA-SalVentAttnB,0.228748,False
DorsAttnA-SomMotA,3.495689,False
DorsAttnA-SomMotB,3.691643,False
DorsAttnA-TempPar,7.297842,False
DorsAttnA-VisCent,8.1e-05,False
DorsAttnA-VisPeri,1.878,False
DorsAttnB-ContA,1.332839,False
DorsAttnB-ContB,0.455998,False
DorsAttnB-ContC,1.340791,False
DorsAttnB-DefaultA,2.214276,False
DorsAttnB-DefaultB,0.757233,False
DorsAttnB-DefaultC,0.16864,False
DorsAttnB-DorsAttnA,2.110878,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.996024,False
DorsAttnB-LimbicB,2.530336,False
DorsAttnB-SalVentAttnA,0.164448,False
DorsAttnB-SalVentAttnB,2.659459,False
DorsAttnB-SomMotA,0.062085,False
DorsAttnB-SomMotB,2.134368,False
DorsAttnB-TempPar,0.995576,False
DorsAttnB-VisCent,3.437259,False
DorsAttnB-VisPeri,0.176886,False
LimbicA-ContA,17.138027,False
LimbicA-ContB,5.727548,False
LimbicA-ContC,2.342618,False
LimbicA-DefaultA,3.737255,False
LimbicA-DefaultB,2.459499,False
LimbicA-DefaultC,9.900215,False
LimbicA-DorsAttnA,1.005734,False
LimbicA-DorsAttnB,0.948917,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,11.079698,False
LimbicA-SalVentAttnA,0.734076,False
LimbicA-SalVentAttnB,5.449647,False
LimbicA-SomMotA,0.882445,False
LimbicA-SomMotB,6.051898,False
LimbicA-TempPar,3.08552,False
LimbicA-VisCent,0.813495,False
LimbicA-VisPeri,6.447325,False
LimbicB-ContA,3.550533,False
LimbicB-ContB,1.64995,False
LimbicB-ContC,3.874751,False
LimbicB-DefaultA,2.411907,False
LimbicB-DefaultB,2.186211,False
LimbicB-DefaultC,2.162551,False
LimbicB-DorsAttnA,1.526763,False
LimbicB-DorsAttnB,8.425226,False
LimbicB-LimbicA,5.382215,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.872234,False
LimbicB-SalVentAttnB,8.860283,False
LimbicB-SomMotA,0.531959,False
LimbicB-SomMotB,2.011604,False
LimbicB-TempPar,1.918769,False
LimbicB-VisCent,0.222631,False
LimbicB-VisPeri,3.625006,False
SalVentAttnA-ContA,0.949642,False
