network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.748973,False
ContA-ContC,2.485866,False
ContA-DefaultA,5.126204,False
ContA-DefaultB,4.536544,False
ContA-DefaultC,0.351641,False
ContA-DorsAttnA,1.294327,False
ContA-DorsAttnB,0.758573,False
ContA-LimbicA,26.82269,False
ContA-LimbicB,5.088463,False
ContA-SalVentAttnA,0.772468,False
ContA-SalVentAttnB,11.196731,False
ContA-SomMotA,8.441477,False
ContA-SomMotB,3.500793,False
ContA-TempPar,1.767851,False
ContA-VisCent,1.195247,False
ContA-VisPeri,10.546021,False
ContB-ContA,12.764337,False
ContB-ContB,0.0,True
ContB-ContC,1.213056,False
ContB-DefaultA,1.030613,False
ContB-DefaultB,8.060643,False
ContB-DefaultC,3.653961,False
ContB-DorsAttnA,0.168173,False
ContB-DorsAttnB,1.121846,False
ContB-LimbicA,20.015244,False
ContB-LimbicB,4.065769,False
ContB-SalVentAttnA,5.825205,False
ContB-SalVentAttnB,5.80792,False
ContB-SomMotA,12.948935,False
ContB-SomMotB,1.522573,False
ContB-TempPar,5.438118,False
ContB-VisCent,4.256662,False
ContB-VisPeri,14.241279,False
ContC-ContA,1.107403,False
ContC-ContB,1.263148,False
ContC-ContC,0.0,True
ContC-DefaultA,11.717443,False
ContC-DefaultB,9.274828,False
ContC-DefaultC,1.12605,False
ContC-DorsAttnA,7.590984,False
ContC-DorsAttnB,8.841662,False
ContC-LimbicA,6.647195,False
ContC-LimbicB,16.856941,False
ContC-SalVentAttnA,0.354246,False
ContC-SalVentAttnB,3.284507,False
ContC-SomMotA,2.221595,False
ContC-SomMotB,2.116684,False
ContC-TempPar,0.384902,False
ContC-VisCent,1.476757,False
ContC-VisPeri,2.049973,False
DefaultA-ContA,4.391731,False
DefaultA-ContB,3.855912,False
DefaultA-ContC,84.200918,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,26.777821,False
DefaultA-DefaultC,0.681487,False
DefaultA-DorsAttnA,7.211893,False
DefaultA-DorsAttnB,7.641729,False
DefaultA-LimbicA,9.164282,False
DefaultA-LimbicB,19.475195,False
DefaultA-SalVentAttnA,5.567199,False
DefaultA-SalVentAttnB,3.421705,False
DefaultA-SomMotA,3.702058,False
DefaultA-SomMotB,4.106931,False
DefaultA-TempPar,0.268715,False
DefaultA-VisCent,4.717074,False
DefaultA-VisPeri,6.329148,False
DefaultB-ContA,3.501837,False
DefaultB-ContB,1.722947,False
DefaultB-ContC,15.42753,False
DefaultB-DefaultA,7.039692,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.936621,False
DefaultB-DorsAttnA,13.762759,False
DefaultB-DorsAttnB,4.89562,False
DefaultB-LimbicA,12.350001,False
DefaultB-LimbicB,17.396114,False
DefaultB-SalVentAttnA,3.098216,False
DefaultB-SalVentAttnB,5.116947,False
DefaultB-SomMotA,6.578165,False
DefaultB-SomMotB,4.57287,False
DefaultB-TempPar,0.198738,False
DefaultB-VisCent,2.789342,False
DefaultB-VisPeri,9.003395,False
DefaultC-ContA,2.586313,False
DefaultC-ContB,0.343184,False
DefaultC-ContC,1.348883,False
DefaultC-DefaultA,4.286681,False
DefaultC-DefaultB,9.69206,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.913017,False
DefaultC-DorsAttnB,0.407594,False
DefaultC-LimbicA,2.04504,False
DefaultC-LimbicB,2.522094,False
DefaultC-SalVentAttnA,0.099893,False
DefaultC-SalVentAttnB,0.876695,False
DefaultC-SomMotA,2.384463,False
DefaultC-SomMotB,0.534388,False
DefaultC-TempPar,3.246229,False
DefaultC-VisCent,3.412918,False
DefaultC-VisPeri,3.244341,False
DorsAttnA-ContA,0.06095,False
DorsAttnA-ContB,2.714408,False
DorsAttnA-ContC,0.88348,False
DorsAttnA-DefaultA,2.60808,False
DorsAttnA-DefaultB,8.786621,False
DorsAttnA-DefaultC,8.107555,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,9.323094,False
DorsAttnA-LimbicA,0.407889,False
DorsAttnA-LimbicB,6.308902,False
DorsAttnA-SalVentAttnA,1.776215,False
DorsAttnA-SalVentAttnB,1.679084,False
DorsAttnA-SomMotA,4.308761,False
DorsAttnA-SomMotB,14.195883,False
DorsAttnA-TempPar,4.773741,False
DorsAttnA-VisCent,0.036582,False
DorsAttnA-VisPeri,0.290443,False
DorsAttnB-ContA,0.729486,False
DorsAttnB-ContB,0.743896,False
DorsAttnB-ContC,1.536493,False
DorsAttnB-DefaultA,0.681513,False
DorsAttnB-DefaultB,1.054477,False
DorsAttnB-DefaultC,0.260502,False
DorsAttnB-DorsAttnA,4.469638,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.155335,False
DorsAttnB-LimbicB,1.558903,False
DorsAttnB-SalVentAttnA,0.668211,False
DorsAttnB-SalVentAttnB,0.078331,False
DorsAttnB-SomMotA,0.479954,False
DorsAttnB-SomMotB,3.972087,False
DorsAttnB-TempPar,1.075847,False
DorsAttnB-VisCent,3.885926,False
DorsAttnB-VisPeri,0.385909,False
LimbicA-ContA,5.842813,False
LimbicA-ContB,1.160661,False
LimbicA-ContC,2.826074,False
LimbicA-DefaultA,4.068834,False
LimbicA-DefaultB,1.91655,False
LimbicA-DefaultC,1.068833,False
LimbicA-DorsAttnA,0.171094,False
LimbicA-DorsAttnB,0.926765,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,11.12879,False
LimbicA-SalVentAttnA,3.190049,False
LimbicA-SalVentAttnB,13.280065,False
LimbicA-SomMotA,0.801549,False
LimbicA-SomMotB,5.283019,False
LimbicA-TempPar,1.400624,False
LimbicA-VisCent,1.529211,False
LimbicA-VisPeri,0.456502,False
LimbicB-ContA,0.002665,False
LimbicB-ContB,0.875514,False
LimbicB-ContC,4.327215,False
LimbicB-DefaultA,14.806225,False
LimbicB-DefaultB,3.036389,False
LimbicB-DefaultC,1.731671,False
LimbicB-DorsAttnA,0.449733,False
LimbicB-DorsAttnB,0.294931,False
LimbicB-LimbicA,0.98842,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.757265,False
LimbicB-SalVentAttnB,5.910151,False
LimbicB-SomMotA,0.223412,False
LimbicB-SomMotB,0.151198,False
LimbicB-TempPar,3.961493,False
LimbicB-VisCent,1.030777,False
LimbicB-VisPeri,0.202982,False
SalVentAttnA-ContA,6.257311,False
SalVentAttnA-ContB,3.76991,False
SalVentAttnA-ContC,1.116441,False
SalVentAttnA-DefaultA,0.881655,False
SalVentAttnA-DefaultB,0.723445,False
SalVentAttnA-DefaultC,0.757089,False
SalVentAttnA-DorsAttnA,0.815262,False
SalVentAttnA-DorsAttnB,0.392869,False
SalVentAttnA-LimbicA,1.388029,False
SalVentAttnA-LimbicB,0.798837,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.690732,False
SalVentAttnA-SomMotA,0.701986,False
SalVentAttnA-SomMotB,0.294033,False
SalVentAttnA-TempPar,0.035236,False
SalVentAttnA-VisCent,2.147093,False
SalVentAttnA-VisPeri,0.214284,False
SalVentAttnB-ContA,0.687789,False
SalVentAttnB-ContB,0.897242,False
SalVentAttnB-ContC,7.079167,False
SalVentAttnB-DefaultA,13.166119,False
SalVentAttnB-DefaultB,8.890226,False
SalVentAttnB-DefaultC,2.002966,False
SalVentAttnB-DorsAttnA,0.268391,False
SalVentAttnB-DorsAttnB,1.361599,False
SalVentAttnB-LimbicA,0.766992,False
SalVentAttnB-LimbicB,10.352657,False
SalVentAttnB-SalVentAttnA,4.219678,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.51754,False
SalVentAttnB-SomMotB,0.864796,False
