network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.239407,False
ContA-ContC,1.086326,False
ContA-DefaultA,0.302074,False
ContA-DefaultB,1.8233,False
ContA-DefaultC,1.512662,False
ContA-DorsAttnA,3.292671,False
ContA-DorsAttnB,0.804617,False
ContA-LimbicA,12.000937,False
ContA-LimbicB,9.777606,False
ContA-SalVentAttnA,0.664494,False
ContA-SalVentAttnB,4.703528,False
ContA-SomMotA,2.053586,False
ContA-SomMotB,2.006965,False
ContA-TempPar,2.324535,False
ContA-VisCent,1.260556,False
ContA-VisPeri,0.770082,False
ContB-ContA,3.049953,False
ContB-ContB,0.0,True
ContB-ContC,2.836921,False
ContB-DefaultA,3.488018,False
ContB-DefaultB,0.752624,False
ContB-DefaultC,2.680456,False
ContB-DorsAttnA,1.795595,False
ContB-DorsAttnB,0.832786,False
ContB-LimbicA,2.621407,False
ContB-LimbicB,1.522855,False
ContB-SalVentAttnA,3.703939,False
ContB-SalVentAttnB,0.195285,False
ContB-SomMotA,1.713024,False
ContB-SomMotB,7.378011,False
ContB-TempPar,3.194808,False
ContB-VisCent,5.205387,False
ContB-VisPeri,1.600008,False
ContC-ContA,0.444896,False
ContC-ContB,1.804704,False
ContC-ContC,0.0,True
ContC-DefaultA,12.105256,False
ContC-DefaultB,2.430516,False
ContC-DefaultC,1.389035,False
ContC-DorsAttnA,7.034171,False
ContC-DorsAttnB,1.195621,False
ContC-LimbicA,2.411119,False
ContC-LimbicB,8.99143,False
ContC-SalVentAttnA,0.904061,False
ContC-SalVentAttnB,3.501805,False
ContC-SomMotA,1.76345,False
ContC-SomMotB,0.5455,False
ContC-TempPar,3.944688,False
ContC-VisCent,4.305729,False
ContC-VisPeri,5.258843,False
DefaultA-ContA,1.391635,False
DefaultA-ContB,4.383101,False
DefaultA-ContC,29.420527,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.291223,False
DefaultA-DefaultC,0.670223,False
DefaultA-DorsAttnA,12.226177,False
DefaultA-DorsAttnB,0.024997,False
DefaultA-LimbicA,5.804652,False
DefaultA-LimbicB,31.731729,False
DefaultA-SalVentAttnA,0.472543,False
DefaultA-SalVentAttnB,13.482008,False
DefaultA-SomMotA,1.403177,False
DefaultA-SomMotB,3.280963,False
DefaultA-TempPar,8.131019,False
DefaultA-VisCent,5.033924,False
DefaultA-VisPeri,3.20108,False
DefaultB-ContA,2.88886,False
DefaultB-ContB,3.983746,False
DefaultB-ContC,5.45237,False
DefaultB-DefaultA,5.013849,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.004016,False
DefaultB-DorsAttnA,11.923424,False
DefaultB-DorsAttnB,1.840827,False
DefaultB-LimbicA,4.376977,False
DefaultB-LimbicB,16.783994,False
DefaultB-SalVentAttnA,1.254739,False
DefaultB-SalVentAttnB,14.879675,False
DefaultB-SomMotA,5.153247,False
DefaultB-SomMotB,3.71032,False
DefaultB-TempPar,2.969036,False
DefaultB-VisCent,2.994505,False
DefaultB-VisPeri,3.111783,False
DefaultC-ContA,0.102732,False
DefaultC-ContB,0.116333,False
DefaultC-ContC,10.948842,False
DefaultC-DefaultA,6.150484,False
DefaultC-DefaultB,1.743221,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.074185,False
DefaultC-DorsAttnB,3.030846,False
DefaultC-LimbicA,0.82005,False
DefaultC-LimbicB,0.778734,False
DefaultC-SalVentAttnA,0.44052,False
DefaultC-SalVentAttnB,1.513498,False
DefaultC-SomMotA,11.650378,False
DefaultC-SomMotB,1.330242,False
DefaultC-TempPar,2.72736,False
DefaultC-VisCent,10.804385,False
DefaultC-VisPeri,10.215836,False
DorsAttnA-ContA,4.918252,False
DorsAttnA-ContB,0.977457,False
DorsAttnA-ContC,16.944184,False
DorsAttnA-DefaultA,10.15952,False
DorsAttnA-DefaultB,17.452969,False
DorsAttnA-DefaultC,6.185827,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.417467,False
DorsAttnA-LimbicA,6.091508,False
DorsAttnA-LimbicB,18.348319,False
DorsAttnA-SalVentAttnA,5.005083,False
DorsAttnA-SalVentAttnB,6.508812,False
DorsAttnA-SomMotA,0.205531,False
DorsAttnA-SomMotB,1.486624,False
DorsAttnA-TempPar,4.713429,False
DorsAttnA-VisCent,0.386233,False
DorsAttnA-VisPeri,1.301865,False
DorsAttnB-ContA,0.734237,False
DorsAttnB-ContB,7.884139,False
DorsAttnB-ContC,2.561997,False
DorsAttnB-DefaultA,2.120994,False
DorsAttnB-DefaultB,0.168157,False
DorsAttnB-DefaultC,1.759345,False
DorsAttnB-DorsAttnA,5.557796,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.305591,False
DorsAttnB-LimbicB,0.169752,False
DorsAttnB-SalVentAttnA,0.66483,False
DorsAttnB-SalVentAttnB,0.098522,False
DorsAttnB-SomMotA,2.475388,False
DorsAttnB-SomMotB,2.14767,False
DorsAttnB-TempPar,2.240981,False
DorsAttnB-VisCent,2.446971,False
DorsAttnB-VisPeri,0.74749,False
LimbicA-ContA,3.398076,False
LimbicA-ContB,0.310265,False
LimbicA-ContC,1.450786,False
LimbicA-DefaultA,0.195152,False
LimbicA-DefaultB,2.855752,False
LimbicA-DefaultC,2.539758,False
LimbicA-DorsAttnA,1.816098,False
LimbicA-DorsAttnB,0.963894,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,8.204899,False
LimbicA-SalVentAttnA,0.964007,False
LimbicA-SalVentAttnB,2.810643,False
LimbicA-SomMotA,1.907938,False
LimbicA-SomMotB,0.673171,False
LimbicA-TempPar,0.77607,False
LimbicA-VisCent,2.292242,False
LimbicA-VisPeri,0.728426,False
LimbicB-ContA,3.440949,False
LimbicB-ContB,2.3371,False
LimbicB-ContC,4.172185,False
LimbicB-DefaultA,4.320333,False
LimbicB-DefaultB,8.353176,False
LimbicB-DefaultC,0.313816,False
LimbicB-DorsAttnA,0.676292,False
LimbicB-DorsAttnB,3.424678,False
LimbicB-LimbicA,12.023835,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.231796,False
LimbicB-SalVentAttnB,12.402495,False
LimbicB-SomMotA,2.725516,False
LimbicB-SomMotB,1.06679,False
LimbicB-TempPar,2.173889,False
LimbicB-VisCent,0.851517,False
