network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,21.276979,False
ContA-ContC,3.878837,False
ContA-DefaultA,10.524124,False
ContA-DefaultB,5.951102,False
ContA-DefaultC,0.716549,False
ContA-DorsAttnA,0.223323,False
ContA-DorsAttnB,0.841315,False
ContA-LimbicA,40.45569,False
ContA-LimbicB,13.068671,False
ContA-SalVentAttnA,2.141943,False
ContA-SalVentAttnB,8.343939,False
ContA-SomMotA,7.946189,False
ContA-SomMotB,1.525763,False
ContA-TempPar,1.731333,False
ContA-VisCent,0.76104,False
ContA-VisPeri,10.510327,False
ContB-ContA,7.305072,False
ContB-ContB,0.0,True
ContB-ContC,7.542036,False
ContB-DefaultA,3.276878,False
ContB-DefaultB,3.91974,False
ContB-DefaultC,0.849305,False
ContB-DorsAttnA,0.108307,False
ContB-DorsAttnB,0.150583,False
ContB-LimbicA,11.36399,False
ContB-LimbicB,4.710524,False
ContB-SalVentAttnA,5.135183,False
ContB-SalVentAttnB,2.681937,False
ContB-SomMotA,1.888497,False
ContB-SomMotB,1.459335,False
ContB-TempPar,2.61058,False
ContB-VisCent,2.345422,False
ContB-VisPeri,2.645767,False
ContC-ContA,0.86592,False
ContC-ContB,0.561249,False
ContC-ContC,0.0,True
ContC-DefaultA,2.231946,False
ContC-DefaultB,1.291557,False
ContC-DefaultC,1.673442,False
ContC-DorsAttnA,4.124567,False
ContC-DorsAttnB,1.965551,False
ContC-LimbicA,0.196299,False
ContC-LimbicB,7.744714,False
ContC-SalVentAttnA,2.209984,False
ContC-SalVentAttnB,1.835044,False
ContC-SomMotA,1.357588,False
ContC-SomMotB,0.300883,False
ContC-TempPar,2.156953,False
ContC-VisCent,0.96709,False
ContC-VisPeri,1.708913,False
DefaultA-ContA,0.867773,False
DefaultA-ContB,0.15286,False
DefaultA-ContC,2.393283,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,20.822086,False
DefaultA-DefaultC,3.884771,False
DefaultA-DorsAttnA,5.270551,False
DefaultA-DorsAttnB,1.67461,False
DefaultA-LimbicA,0.688813,False
DefaultA-LimbicB,12.904591,False
DefaultA-SalVentAttnA,1.744221,False
DefaultA-SalVentAttnB,3.400066,False
DefaultA-SomMotA,2.525147,False
DefaultA-SomMotB,0.280552,False
DefaultA-TempPar,8.879453,False
DefaultA-VisCent,0.191633,False
DefaultA-VisPeri,7.959755,False
DefaultB-ContA,0.386458,False
DefaultB-ContB,0.256967,False
DefaultB-ContC,0.857499,False
DefaultB-DefaultA,5.90084,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.224057,False
DefaultB-DorsAttnA,12.251747,False
DefaultB-DorsAttnB,10.467443,False
DefaultB-LimbicA,1.270673,False
DefaultB-LimbicB,3.973727,False
DefaultB-SalVentAttnA,2.793142,False
DefaultB-SalVentAttnB,0.797988,False
DefaultB-SomMotA,2.219439,False
DefaultB-SomMotB,3.968437,False
DefaultB-TempPar,5.969891,False
DefaultB-VisCent,2.207402,False
DefaultB-VisPeri,1.802929,False
DefaultC-ContA,1.674429,False
DefaultC-ContB,0.434315,False
DefaultC-ContC,1.169531,False
DefaultC-DefaultA,1.000673,False
DefaultC-DefaultB,3.139916,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.756976,False
DefaultC-DorsAttnB,0.907513,False
DefaultC-LimbicA,1.724809,False
DefaultC-LimbicB,0.97839,False
DefaultC-SalVentAttnA,3.078093,False
DefaultC-SalVentAttnB,0.038091,False
DefaultC-SomMotA,2.102892,False
DefaultC-SomMotB,0.264486,False
DefaultC-TempPar,2.729914,False
DefaultC-VisCent,1.057898,False
DefaultC-VisPeri,1.419875,False
DorsAttnA-ContA,0.996474,False
DorsAttnA-ContB,4.070701,False
DorsAttnA-ContC,1.858829,False
DorsAttnA-DefaultA,5.735685,False
DorsAttnA-DefaultB,14.161676,False
DorsAttnA-DefaultC,9.915097,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,36.141334,False
DorsAttnA-LimbicA,0.460935,False
DorsAttnA-LimbicB,0.289658,False
DorsAttnA-SalVentAttnA,3.754197,False
DorsAttnA-SalVentAttnB,0.653104,False
DorsAttnA-SomMotA,1.400234,False
DorsAttnA-SomMotB,1.134572,False
DorsAttnA-TempPar,11.165471,False
DorsAttnA-VisCent,3.444567,False
DorsAttnA-VisPeri,1.509582,False
DorsAttnB-ContA,3.921749,False
DorsAttnB-ContB,4.992519,False
DorsAttnB-ContC,2.370343,False
DorsAttnB-DefaultA,11.939069,False
DorsAttnB-DefaultB,6.784625,False
DorsAttnB-DefaultC,0.795341,False
DorsAttnB-DorsAttnA,7.80717,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.4372,False
DorsAttnB-LimbicB,4.370004,False
DorsAttnB-SalVentAttnA,3.703257,False
DorsAttnB-SalVentAttnB,3.258963,False
DorsAttnB-SomMotA,6.239256,False
DorsAttnB-SomMotB,1.845704,False
DorsAttnB-TempPar,1.373498,False
DorsAttnB-VisCent,3.91283,False
DorsAttnB-VisPeri,8.922152,False
LimbicA-ContA,27.976692,False
LimbicA-ContB,23.092259,False
LimbicA-ContC,1.67041,False
LimbicA-DefaultA,6.86487,False
LimbicA-DefaultB,6.433432,False
LimbicA-DefaultC,0.004297,False
LimbicA-DorsAttnA,0.722392,False
LimbicA-DorsAttnB,0.110151,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,16.415846,False
LimbicA-SalVentAttnA,2.78719,False
LimbicA-SalVentAttnB,14.830975,False
LimbicA-SomMotA,9.844341,False
LimbicA-SomMotB,0.984916,False
LimbicA-TempPar,3.628042,False
LimbicA-VisCent,0.158298,False
LimbicA-VisPeri,9.555731,False
LimbicB-ContA,3.229964,False
LimbicB-ContB,4.132174,False
LimbicB-ContC,5.118415,False
LimbicB-DefaultA,14.075113,False
LimbicB-DefaultB,9.162492,False
LimbicB-DefaultC,4.773753,False
LimbicB-DorsAttnA,1.832349,False
LimbicB-DorsAttnB,0.420304,False
LimbicB-LimbicA,15.579226,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,2.506444,False
LimbicB-SalVentAttnB,9.144853,False
LimbicB-SomMotA,5.788715,False
LimbicB-SomMotB,0.271663,False
LimbicB-TempPar,4.874047,False
LimbicB-VisCent,1.142507,False
LimbicB-VisPeri,13.905704,False
SalVentAttnA-ContA,2.491701,False
SalVentAttnA-ContB,3.705277,False
SalVentAttnA-ContC,0.115287,False
SalVentAttnA-DefaultA,0.954652,False
SalVentAttnA-DefaultB,1.039015,False
SalVentAttnA-DefaultC,0.14677,False
SalVentAttnA-DorsAttnA,0.758065,False
SalVentAttnA-DorsAttnB,2.139571,False
SalVentAttnA-LimbicA,3.157562,False
SalVentAttnA-LimbicB,1.851239,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.186805,False
SalVentAttnA-SomMotA,4.49407,False
SalVentAttnA-SomMotB,0.769883,False
SalVentAttnA-TempPar,1.762409,False
SalVentAttnA-VisCent,0.252834,False
SalVentAttnA-VisPeri,4.954341,False
SalVentAttnB-ContA,14.169288,False
SalVentAttnB-ContB,4.169513,False
SalVentAttnB-ContC,4.170904,False
SalVentAttnB-DefaultA,10.330808,False
SalVentAttnB-DefaultB,9.183468,False
SalVentAttnB-DefaultC,0.709899,False
SalVentAttnB-DorsAttnA,0.466554,False
SalVentAttnB-DorsAttnB,0.853746,False
SalVentAttnB-LimbicA,24.69208,False
SalVentAttnB-LimbicB,39.352706,False
SalVentAttnB-SalVentAttnA,1.932107,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,10.561263,False
SalVentAttnB-SomMotB,0.16934,False
SalVentAttnB-TempPar,2.789696,False
SalVentAttnB-VisCent,0.027093,False
SalVentAttnB-VisPeri,11.114109,False
SomMotA-ContA,16.133709,False
SomMotA-ContB,17.252178,False
SomMotA-ContC,11.401021,False
SomMotA-DefaultA,16.911851,False
SomMotA-DefaultB,16.656036,False
SomMotA-DefaultC,4.060841,False
SomMotA-DorsAttnA,0.155914,False
SomMotA-DorsAttnB,0.548908,False
SomMotA-LimbicA,22.19333,False
SomMotA-LimbicB,23.766178,False
SomMotA-SalVentAttnA,0.724014,False
SomMotA-SalVentAttnB,19.211362,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.172437,False
SomMotA-TempPar,0.687616,False
SomMotA-VisCent,0.427412,False
SomMotA-VisPeri,13.42116,False
SomMotB-ContA,3.671055,False
SomMotB-ContB,1.837087,False
SomMotB-ContC,8.301535,False
SomMotB-DefaultA,8.075702,False
SomMotB-DefaultB,5.246428,False
SomMotB-DefaultC,4.078171,False
SomMotB-DorsAttnA,0.439773,False
SomMotB-DorsAttnB,1.685463,False
SomMotB-LimbicA,4.878219,False
SomMotB-LimbicB,5.612636,False
SomMotB-SalVentAttnA,3.413498,False
SomMotB-SalVentAttnB,5.199917,False
SomMotB-SomMotA,1.98723,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.934183,False
SomMotB-VisCent,2.540655,False
SomMotB-VisPeri,5.185891,False
TempPar-ContA,0.380838,False
TempPar-ContB,0.001335,False
TempPar-ContC,0.908605,False
TempPar-DefaultA,1.957107,False
TempPar-DefaultB,0.116502,False
TempPar-DefaultC,0.455197,False
TempPar-DorsAttnA,0.620814,False
TempPar-DorsAttnB,1.582496,False
TempPar-LimbicA,0.039856,False
TempPar-LimbicB,1.028518,False
TempPar-SalVentAttnA,1.539898,False
TempPar-SalVentAttnB,0.025945,False
TempPar-SomMotA,0.525558,False
TempPar-SomMotB,3.309823,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.989286,False
TempPar-VisPeri,0.720998,False
VisCent-ContA,4.054976,False
VisCent-ContB,1.130327,False
VisCent-ContC,1.510004,False
VisCent-DefaultA,0.975933,False
VisCent-DefaultB,0.820184,False
VisCent-DefaultC,0.707966,False
VisCent-DorsAttnA,0.007139,False
VisCent-DorsAttnB,0.740662,False
VisCent-LimbicA,5.18848,False
VisCent-LimbicB,1.152179,False
VisCent-SalVentAttnA,1.731574,False
VisCent-SalVentAttnB,1.784885,False
VisCent-SomMotA,1.770727,False
VisCent-SomMotB,4.03107,False
VisCent-TempPar,1.63273,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.166291,False
