network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.738194,False
ContA-ContC,8.907007,False
ContA-DefaultA,7.260509,False
ContA-DefaultB,11.852773,False
ContA-DefaultC,5.046142,False
ContA-DorsAttnA,1.906308,False
ContA-DorsAttnB,1.596393,False
ContA-LimbicA,37.625048,False
ContA-LimbicB,32.072483,False
ContA-SalVentAttnA,3.271362,False
ContA-SalVentAttnB,8.328562,False
ContA-SomMotA,8.650702,False
ContA-SomMotB,5.981699,False
ContA-TempPar,0.539836,False
ContA-VisCent,1.805465,False
ContA-VisPeri,11.112502,False
ContB-ContA,6.74693,False
ContB-ContB,0.0,True
ContB-ContC,6.479803,False
ContB-DefaultA,11.072831,False
ContB-DefaultB,23.284562,False
ContB-DefaultC,8.656751,False
ContB-DorsAttnA,8.506656,False
ContB-DorsAttnB,3.588427,False
ContB-LimbicA,11.458441,False
ContB-LimbicB,15.588941,False
ContB-SalVentAttnA,4.117126,False
ContB-SalVentAttnB,4.738027,False
ContB-SomMotA,14.586579,False
ContB-SomMotB,11.82439,False
ContB-TempPar,0.203471,False
ContB-VisCent,0.814129,False
ContB-VisPeri,8.73167,False
ContC-ContA,32.634437,False
ContC-ContB,12.916822,False
ContC-ContC,0.0,True
ContC-DefaultA,24.61515,False
ContC-DefaultB,14.290495,False
ContC-DefaultC,3.524094,False
ContC-DorsAttnA,6.025823,False
ContC-DorsAttnB,2.716927,False
ContC-LimbicA,31.234342,False
ContC-LimbicB,19.973616,False
ContC-SalVentAttnA,5.72789,False
ContC-SalVentAttnB,4.288949,False
ContC-SomMotA,12.444742,False
ContC-SomMotB,16.239917,False
ContC-TempPar,0.153138,False
ContC-VisCent,1.06622,False
ContC-VisPeri,7.253863,False
DefaultA-ContA,36.331067,False
DefaultA-ContB,11.781194,False
DefaultA-ContC,13.220057,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.316603,False
DefaultA-DefaultC,3.886998,False
DefaultA-DorsAttnA,8.127936,False
DefaultA-DorsAttnB,1.989829,False
DefaultA-LimbicA,32.669548,False
DefaultA-LimbicB,34.150351,False
DefaultA-SalVentAttnA,4.411181,False
DefaultA-SalVentAttnB,7.229801,False
DefaultA-SomMotA,16.376308,False
DefaultA-SomMotB,17.736362,False
DefaultA-TempPar,0.337206,False
DefaultA-VisCent,1.862314,False
DefaultA-VisPeri,14.557353,False
DefaultB-ContA,4.553986,False
DefaultB-ContB,6.200933,False
DefaultB-ContC,3.61665,False
DefaultB-DefaultA,1.84156,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.099869,False
DefaultB-DorsAttnA,9.215603,False
DefaultB-DorsAttnB,3.739244,False
DefaultB-LimbicA,4.725016,False
DefaultB-LimbicB,17.763398,False
DefaultB-SalVentAttnA,2.870962,False
DefaultB-SalVentAttnB,8.33604,False
DefaultB-SomMotA,16.555203,False
DefaultB-SomMotB,4.280063,False
DefaultB-TempPar,0.231968,False
DefaultB-VisCent,1.954522,False
DefaultB-VisPeri,12.365168,False
DefaultC-ContA,4.733516,False
DefaultC-ContB,1.839966,False
DefaultC-ContC,5.455311,False
DefaultC-DefaultA,7.46276,False
DefaultC-DefaultB,0.321451,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.493481,False
DefaultC-DorsAttnB,0.594046,False
DefaultC-LimbicA,3.339346,False
DefaultC-LimbicB,0.365729,False
DefaultC-SalVentAttnA,8.26293,False
DefaultC-SalVentAttnB,3.366179,False
DefaultC-SomMotA,2.77208,False
DefaultC-SomMotB,0.653679,False
DefaultC-TempPar,0.137959,False
DefaultC-VisCent,0.619243,False
DefaultC-VisPeri,1.136579,False
DorsAttnA-ContA,10.586604,False
DorsAttnA-ContB,12.161682,False
DorsAttnA-ContC,6.682517,False
DorsAttnA-DefaultA,7.400598,False
DorsAttnA-DefaultB,25.293073,False
DorsAttnA-DefaultC,11.470133,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.774702,False
DorsAttnA-LimbicA,6.354383,False
DorsAttnA-LimbicB,15.798355,False
DorsAttnA-SalVentAttnA,1.042307,False
DorsAttnA-SalVentAttnB,6.985892,False
DorsAttnA-SomMotA,9.651218,False
DorsAttnA-SomMotB,3.848728,False
DorsAttnA-TempPar,2.825317,False
DorsAttnA-VisCent,1.245788,False
DorsAttnA-VisPeri,11.019423,False
DorsAttnB-ContA,1.291029,False
DorsAttnB-ContB,0.029399,False
DorsAttnB-ContC,0.845782,False
DorsAttnB-DefaultA,1.277695,False
DorsAttnB-DefaultB,0.7451,False
DorsAttnB-DefaultC,0.424825,False
DorsAttnB-DorsAttnA,3.495374,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.31165,False
DorsAttnB-LimbicB,2.162263,False
DorsAttnB-SalVentAttnA,3.356571,False
DorsAttnB-SalVentAttnB,0.20849,False
DorsAttnB-SomMotA,1.530801,False
DorsAttnB-SomMotB,0.011783,False
DorsAttnB-TempPar,1.874399,False
DorsAttnB-VisCent,3.134676,False
DorsAttnB-VisPeri,0.412783,False
LimbicA-ContA,17.98307,False
LimbicA-ContB,6.685721,False
LimbicA-ContC,2.478295,False
LimbicA-DefaultA,5.396698,False
LimbicA-DefaultB,7.460819,False
LimbicA-DefaultC,5.195219,False
LimbicA-DorsAttnA,1.000849,False
LimbicA-DorsAttnB,0.326861,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,23.693406,False
LimbicA-SalVentAttnA,3.319634,False
LimbicA-SalVentAttnB,9.055028,False
LimbicA-SomMotA,6.577514,False
LimbicA-SomMotB,6.971154,False
LimbicA-TempPar,0.337597,False
LimbicA-VisCent,0.584772,False
LimbicA-VisPeri,7.799532,False
LimbicB-ContA,4.567728,False
LimbicB-ContB,5.181548,False
LimbicB-ContC,0.779671,False
LimbicB-DefaultA,0.467363,False
LimbicB-DefaultB,3.208336,False
LimbicB-DefaultC,2.094076,False
LimbicB-DorsAttnA,1.793805,False
LimbicB-DorsAttnB,0.112141,False
LimbicB-LimbicA,5.149321,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.769465,False
LimbicB-SalVentAttnB,11.041998,False
LimbicB-SomMotA,8.296033,False
LimbicB-SomMotB,1.752461,False
