network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.167146,False
ContA-ContC,3.817412,False
ContA-DefaultA,8.171471,False
ContA-DefaultB,3.081545,False
ContA-DefaultC,0.589887,False
ContA-DorsAttnA,1.733211,False
ContA-DorsAttnB,0.853399,False
ContA-LimbicA,21.661732,False
ContA-LimbicB,8.53944,False
ContA-SalVentAttnA,1.535868,False
ContA-SalVentAttnB,4.848771,False
ContA-SomMotA,1.251528,False
ContA-SomMotB,1.241593,False
ContA-TempPar,0.111005,False
ContA-VisCent,0.244834,False
ContA-VisPeri,1.091535,False
ContB-ContA,4.318081,False
ContB-ContB,0.0,True
ContB-ContC,1.080824,False
ContB-DefaultA,4.120283,False
ContB-DefaultB,0.534835,False
ContB-DefaultC,0.187661,False
ContB-DorsAttnA,0.408378,False
ContB-DorsAttnB,1.931788,False
ContB-LimbicA,7.241671,False
ContB-LimbicB,1.660543,False
ContB-SalVentAttnA,0.964336,False
ContB-SalVentAttnB,5.47515,False
ContB-SomMotA,0.875985,False
ContB-SomMotB,0.641574,False
ContB-TempPar,2.422059,False
ContB-VisCent,2.426969,False
ContB-VisPeri,0.930188,False
ContC-ContA,0.525768,False
ContC-ContB,1.724707,False
ContC-ContC,0.0,True
ContC-DefaultA,6.520998,False
ContC-DefaultB,1.327387,False
ContC-DefaultC,0.031161,False
ContC-DorsAttnA,3.822502,False
ContC-DorsAttnB,0.359954,False
ContC-LimbicA,0.053793,False
ContC-LimbicB,3.681663,False
ContC-SalVentAttnA,1.215134,False
ContC-SalVentAttnB,0.404857,False
ContC-SomMotA,2.292231,False
ContC-SomMotB,2.264908,False
ContC-TempPar,4.283183,False
ContC-VisCent,2.134967,False
ContC-VisPeri,0.754222,False
DefaultA-ContA,2.646099,False
DefaultA-ContB,0.617749,False
DefaultA-ContC,1.696702,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.239893,False
DefaultA-DefaultC,2.232592,False
DefaultA-DorsAttnA,0.334509,False
DefaultA-DorsAttnB,2.479563,False
DefaultA-LimbicA,2.650884,False
DefaultA-LimbicB,14.125311,False
DefaultA-SalVentAttnA,1.0053,False
DefaultA-SalVentAttnB,2.290087,False
DefaultA-SomMotA,1.69969,False
DefaultA-SomMotB,0.570152,False
DefaultA-TempPar,4.005542,False
DefaultA-VisCent,1.524974,False
DefaultA-VisPeri,0.004398,False
DefaultB-ContA,0.018122,False
DefaultB-ContB,0.438627,False
DefaultB-ContC,3.714358,False
DefaultB-DefaultA,8.802545,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.147234,False
DefaultB-DorsAttnA,2.244086,False
DefaultB-DorsAttnB,2.947337,False
DefaultB-LimbicA,1.235804,False
DefaultB-LimbicB,1.069875,False
DefaultB-SalVentAttnA,1.325977,False
DefaultB-SalVentAttnB,1.492023,False
DefaultB-SomMotA,2.447296,False
DefaultB-SomMotB,1.440125,False
DefaultB-TempPar,1.711035,False
DefaultB-VisCent,0.82473,False
DefaultB-VisPeri,3.759253,False
DefaultC-ContA,7.480781,False
DefaultC-ContB,0.801016,False
DefaultC-ContC,1.603144,False
DefaultC-DefaultA,4.498811,False
DefaultC-DefaultB,4.62628,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.318291,False
DefaultC-DorsAttnB,0.322098,False
DefaultC-LimbicA,9.716495,False
DefaultC-LimbicB,3.024622,False
DefaultC-SalVentAttnA,3.511352,False
DefaultC-SalVentAttnB,2.228444,False
DefaultC-SomMotA,0.865148,False
DefaultC-SomMotB,4.591117,False
DefaultC-TempPar,0.580511,False
DefaultC-VisCent,0.104104,False
DefaultC-VisPeri,1.231462,False
DorsAttnA-ContA,0.435718,False
DorsAttnA-ContB,0.419673,False
DorsAttnA-ContC,5.725036,False
DorsAttnA-DefaultA,3.571778,False
DorsAttnA-DefaultB,3.766112,False
DorsAttnA-DefaultC,2.42761,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.829322,False
DorsAttnA-LimbicA,0.145154,False
DorsAttnA-LimbicB,3.297509,False
DorsAttnA-SalVentAttnA,1.200946,False
DorsAttnA-SalVentAttnB,0.405352,False
DorsAttnA-SomMotA,0.234432,False
DorsAttnA-SomMotB,6.144102,False
DorsAttnA-TempPar,0.266748,False
DorsAttnA-VisCent,2.871453,False
DorsAttnA-VisPeri,0.060424,False
DorsAttnB-ContA,0.246899,False
DorsAttnB-ContB,1.382069,False
DorsAttnB-ContC,0.612895,False
DorsAttnB-DefaultA,0.014233,False
DorsAttnB-DefaultB,0.663609,False
DorsAttnB-DefaultC,0.499341,False
DorsAttnB-DorsAttnA,0.215074,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.056017,False
DorsAttnB-LimbicB,1.049065,False
DorsAttnB-SalVentAttnA,0.462309,False
DorsAttnB-SalVentAttnB,0.423689,False
DorsAttnB-SomMotA,2.531478,False
DorsAttnB-SomMotB,1.381906,False
DorsAttnB-TempPar,4.502535,False
DorsAttnB-VisCent,4.846789,False
DorsAttnB-VisPeri,0.083771,False
LimbicA-ContA,17.990235,False
LimbicA-ContB,1.532079,False
LimbicA-ContC,3.224783,False
LimbicA-DefaultA,5.36929,False
LimbicA-DefaultB,3.854805,False
LimbicA-DefaultC,0.361706,False
LimbicA-DorsAttnA,0.114876,False
LimbicA-DorsAttnB,1.591082,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,4.119694,False
LimbicA-SalVentAttnA,0.864025,False
LimbicA-SalVentAttnB,4.815282,False
LimbicA-SomMotA,0.473794,False
LimbicA-SomMotB,0.868767,False
LimbicA-TempPar,2.863106,False
LimbicA-VisCent,0.438017,False
LimbicA-VisPeri,1.455155,False
LimbicB-ContA,2.812024,False
LimbicB-ContB,0.288211,False
LimbicB-ContC,0.304327,False
LimbicB-DefaultA,3.82082,False
LimbicB-DefaultB,6.40667,False
LimbicB-DefaultC,3.096236,False
LimbicB-DorsAttnA,0.724491,False
LimbicB-DorsAttnB,3.345497,False
LimbicB-LimbicA,2.038398,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,2.87277,False
LimbicB-SalVentAttnB,1.814452,False
LimbicB-SomMotA,1.244233,False
LimbicB-SomMotB,0.648995,False
LimbicB-TempPar,4.591967,False
LimbicB-VisCent,0.317882,False
LimbicB-VisPeri,0.590599,False
SalVentAttnA-ContA,1.799104,False
SalVentAttnA-ContB,0.382494,False
SalVentAttnA-ContC,0.475817,False
SalVentAttnA-DefaultA,1.092737,False
SalVentAttnA-DefaultB,2.121289,False
SalVentAttnA-DefaultC,2.623898,False
SalVentAttnA-DorsAttnA,0.299024,False
SalVentAttnA-DorsAttnB,3.55056,False
SalVentAttnA-LimbicA,0.598933,False
SalVentAttnA-LimbicB,0.586882,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.660056,False
SalVentAttnA-SomMotA,0.565221,False
SalVentAttnA-SomMotB,0.5729,False
SalVentAttnA-TempPar,6.15528,False
SalVentAttnA-VisCent,1.220194,False
SalVentAttnA-VisPeri,1.213461,False
SalVentAttnB-ContA,3.230555,False
SalVentAttnB-ContB,0.367757,False
SalVentAttnB-ContC,2.325189,False
SalVentAttnB-DefaultA,16.955808,False
SalVentAttnB-DefaultB,6.452402,False
SalVentAttnB-DefaultC,0.122232,False
SalVentAttnB-DorsAttnA,0.447359,False
SalVentAttnB-DorsAttnB,2.963451,False
SalVentAttnB-LimbicA,4.636591,False
SalVentAttnB-LimbicB,21.957432,False
SalVentAttnB-SalVentAttnA,10.707455,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,2.631648,False
SalVentAttnB-SomMotB,0.791162,False
SalVentAttnB-TempPar,2.413956,False
SalVentAttnB-VisCent,1.446025,False
SalVentAttnB-VisPeri,0.626204,False
SomMotA-ContA,1.352764,False
SomMotA-ContB,5.025783,False
SomMotA-ContC,2.184454,False
SomMotA-DefaultA,0.187524,False
SomMotA-DefaultB,1.898296,False
SomMotA-DefaultC,0.86522,False
SomMotA-DorsAttnA,3.075369,False
SomMotA-DorsAttnB,5.249791,False
SomMotA-LimbicA,2.673262,False
SomMotA-LimbicB,2.987935,False
SomMotA-SalVentAttnA,1.093209,False
SomMotA-SalVentAttnB,2.723776,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,0.783224,False
SomMotA-TempPar,2.419045,False
SomMotA-VisCent,2.867778,False
SomMotA-VisPeri,5.304526,False
SomMotB-ContA,0.425834,False
SomMotB-ContB,0.640154,False
SomMotB-ContC,4.277033,False
SomMotB-DefaultA,0.681122,False
SomMotB-DefaultB,1.223722,False
SomMotB-DefaultC,1.924836,False
SomMotB-DorsAttnA,0.605708,False
SomMotB-DorsAttnB,0.461645,False
SomMotB-LimbicA,0.301361,False
SomMotB-LimbicB,0.2626,False
SomMotB-SalVentAttnA,1.947035,False
SomMotB-SalVentAttnB,0.598624,False
SomMotB-SomMotA,4.193631,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.966706,False
SomMotB-VisCent,3.992198,False
SomMotB-VisPeri,6.883164,False
TempPar-ContA,2.701205,False
TempPar-ContB,5.39373,False
TempPar-ContC,8.434133,False
TempPar-DefaultA,7.492649,False
TempPar-DefaultB,8.015827,False
TempPar-DefaultC,3.257546,False
TempPar-DorsAttnA,0.16831,False
TempPar-DorsAttnB,0.796304,False
TempPar-LimbicA,2.601256,False
TempPar-LimbicB,9.12218,False
TempPar-SalVentAttnA,0.25486,False
TempPar-SalVentAttnB,9.388874,False
TempPar-SomMotA,6.264408,False
TempPar-SomMotB,0.669228,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.87068,False
TempPar-VisPeri,4.580302,False
VisCent-ContA,1.8139,False
VisCent-ContB,0.122197,False
VisCent-ContC,7.91727,False
VisCent-DefaultA,0.344919,False
VisCent-DefaultB,1.16009,False
VisCent-DefaultC,0.836664,False
VisCent-DorsAttnA,1.038357,False
VisCent-DorsAttnB,3.677361,False
VisCent-LimbicA,0.556268,False
VisCent-LimbicB,1.838681,False
VisCent-SalVentAttnA,1.488536,False
VisCent-SalVentAttnB,2.557564,False
VisCent-SomMotA,5.679099,False
VisCent-SomMotB,3.640685,False
VisCent-TempPar,1.364325,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.887295,False
VisPeri-ContA,5.406668,False
VisPeri-ContB,1.706627,False
VisPeri-ContC,1.816664,False
VisPeri-DefaultA,0.977984,False
VisPeri-DefaultB,2.064166,False
VisPeri-DefaultC,0.056111,False
VisPeri-DorsAttnA,3.91935,False
VisPeri-DorsAttnB,4.236469,False
VisPeri-LimbicA,3.251243,False
VisPeri-LimbicB,1.139714,False
VisPeri-SalVentAttnA,0.156642,False
VisPeri-SalVentAttnB,1.983244,False
VisPeri-SomMotA,12.033071,False
VisPeri-SomMotB,2.1548,False
VisPeri-TempPar,0.044796,False
VisPeri-VisCent,9.60287,False
VisPeri-VisPeri,0.0,True
