network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.252772,False
ContA-ContC,3.283474,False
ContA-DefaultA,3.141806,False
ContA-DefaultB,4.530691,False
ContA-DefaultC,2.940348,False
ContA-DorsAttnA,1.399735,False
ContA-DorsAttnB,0.182662,False
ContA-LimbicA,14.528975,False
ContA-LimbicB,3.911039,False
ContA-SalVentAttnA,0.460956,False
ContA-SalVentAttnB,2.923772,False
ContA-SomMotA,1.347807,False
ContA-SomMotB,2.341411,False
ContA-TempPar,2.762998,False
ContA-VisCent,0.071862,False
ContA-VisPeri,0.945025,False
ContB-ContA,13.199504,False
ContB-ContB,0.0,True
ContB-ContC,4.025719,False
ContB-DefaultA,2.449484,False
ContB-DefaultB,1.884511,False
ContB-DefaultC,6.933741,False
ContB-DorsAttnA,1.651214,False
ContB-DorsAttnB,1.511869,False
ContB-LimbicA,7.794729,False
ContB-LimbicB,1.223758,False
ContB-SalVentAttnA,4.3223,False
ContB-SalVentAttnB,0.042784,False
ContB-SomMotA,1.062937,False
ContB-SomMotB,10.272815,False
ContB-TempPar,3.188882,False
ContB-VisCent,0.433854,False
ContB-VisPeri,0.969065,False
ContC-ContA,10.341381,False
ContC-ContB,6.461147,False
ContC-ContC,0.0,True
ContC-DefaultA,14.870109,False
ContC-DefaultB,7.182933,False
ContC-DefaultC,3.703169,False
ContC-DorsAttnA,1.302191,False
ContC-DorsAttnB,4.38584,False
ContC-LimbicA,20.696875,False
ContC-LimbicB,5.14024,False
ContC-SalVentAttnA,0.505832,False
ContC-SalVentAttnB,3.713099,False
ContC-SomMotA,0.415997,False
ContC-SomMotB,7.147836,False
ContC-TempPar,0.689597,False
ContC-VisCent,1.283582,False
ContC-VisPeri,0.291764,False
DefaultA-ContA,14.231825,False
DefaultA-ContB,13.53674,False
DefaultA-ContC,23.451228,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.347835,False
DefaultA-DefaultC,1.697622,False
DefaultA-DorsAttnA,9.415553,False
DefaultA-DorsAttnB,1.317912,False
DefaultA-LimbicA,23.972111,False
DefaultA-LimbicB,14.79194,False
DefaultA-SalVentAttnA,0.175725,False
DefaultA-SalVentAttnB,2.56433,False
DefaultA-SomMotA,0.816844,False
DefaultA-SomMotB,8.548209,False
DefaultA-TempPar,1.042389,False
DefaultA-VisCent,0.731431,False
DefaultA-VisPeri,0.686176,False
DefaultB-ContA,4.194616,False
DefaultB-ContB,5.652926,False
DefaultB-ContC,1.007588,False
DefaultB-DefaultA,0.969155,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.690106,False
DefaultB-DorsAttnA,3.746729,False
DefaultB-DorsAttnB,2.803746,False
DefaultB-LimbicA,3.794106,False
DefaultB-LimbicB,6.546752,False
DefaultB-SalVentAttnA,0.547811,False
DefaultB-SalVentAttnB,1.778472,False
DefaultB-SomMotA,2.837872,False
DefaultB-SomMotB,6.217012,False
DefaultB-TempPar,8.488452,False
DefaultB-VisCent,5.493079,False
DefaultB-VisPeri,3.248141,False
DefaultC-ContA,4.495683,False
DefaultC-ContB,6.914034,False
DefaultC-ContC,25.803904,False
DefaultC-DefaultA,21.149808,False
DefaultC-DefaultB,2.607923,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.537609,False
DefaultC-DorsAttnB,21.862945,False
DefaultC-LimbicA,6.58966,False
DefaultC-LimbicB,0.139561,False
DefaultC-SalVentAttnA,8.255691,False
DefaultC-SalVentAttnB,3.080347,False
DefaultC-SomMotA,15.5851,False
DefaultC-SomMotB,4.170466,False
DefaultC-TempPar,6.060468,False
DefaultC-VisCent,11.855594,False
DefaultC-VisPeri,4.971827,False
DorsAttnA-ContA,0.800006,False
DorsAttnA-ContB,5.079289,False
DorsAttnA-ContC,1.956338,False
DorsAttnA-DefaultA,5.686901,False
DorsAttnA-DefaultB,0.824582,False
DorsAttnA-DefaultC,3.607792,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.829475,False
DorsAttnA-LimbicA,0.031579,False
DorsAttnA-LimbicB,4.982121,False
DorsAttnA-SalVentAttnA,3.258354,False
DorsAttnA-SalVentAttnB,5.099995,False
DorsAttnA-SomMotA,4.552303,False
DorsAttnA-SomMotB,2.46124,False
DorsAttnA-TempPar,6.88902,False
DorsAttnA-VisCent,0.417917,False
DorsAttnA-VisPeri,2.588974,False
DorsAttnB-ContA,1.931922,False
DorsAttnB-ContB,4.246759,False
DorsAttnB-ContC,5.154183,False
DorsAttnB-DefaultA,4.731131,False
DorsAttnB-DefaultB,0.162395,False
DorsAttnB-DefaultC,0.752931,False
DorsAttnB-DorsAttnA,0.877133,False
DorsAttnB-DorsAttnB,0.0,True
