network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.266301,False
ContA-ContC,0.156698,False
ContA-DefaultA,0.625267,False
ContA-DefaultB,0.022149,False
ContA-DefaultC,4.074247,False
ContA-DorsAttnA,6.191615,False
ContA-DorsAttnB,0.9154,False
ContA-LimbicA,22.110656,False
ContA-LimbicB,4.87628,False
ContA-SalVentAttnA,0.447612,False
ContA-SalVentAttnB,8.099802,False
ContA-SomMotA,5.130485,False
ContA-SomMotB,10.291711,False
ContA-TempPar,19.042565,False
ContA-VisCent,2.901204,False
ContA-VisPeri,11.469627,False
ContB-ContA,1.913937,False
ContB-ContB,0.0,True
ContB-ContC,1.506936,False
ContB-DefaultA,2.685541,False
ContB-DefaultB,7.732361,False
ContB-DefaultC,0.639421,False
ContB-DorsAttnA,4.965069,False
ContB-DorsAttnB,1.294845,False
ContB-LimbicA,0.646132,False
ContB-LimbicB,1.690607,False
ContB-SalVentAttnA,0.653621,False
ContB-SalVentAttnB,1.17078,False
ContB-SomMotA,2.296759,False
ContB-SomMotB,2.276385,False
ContB-TempPar,0.606086,False
ContB-VisCent,2.565431,False
ContB-VisPeri,2.405526,False
ContC-ContA,11.153132,False
ContC-ContB,0.047651,False
ContC-ContC,0.0,True
ContC-DefaultA,0.379973,False
ContC-DefaultB,1.07732,False
ContC-DefaultC,0.303478,False
ContC-DorsAttnA,0.643746,False
ContC-DorsAttnB,0.4628,False
ContC-LimbicA,5.630615,False
ContC-LimbicB,1.680569,False
ContC-SalVentAttnA,0.158507,False
ContC-SalVentAttnB,1.242638,False
ContC-SomMotA,2.375634,False
ContC-SomMotB,1.575507,False
ContC-TempPar,0.053333,False
ContC-VisCent,7.849076,False
ContC-VisPeri,1.852608,False
DefaultA-ContA,7.525269,False
DefaultA-ContB,1.597614,False
DefaultA-ContC,7.938606,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.901022,False
DefaultA-DefaultC,0.273054,False
DefaultA-DorsAttnA,3.845213,False
DefaultA-DorsAttnB,0.359823,False
DefaultA-LimbicA,1.492752,False
DefaultA-LimbicB,9.285705,False
DefaultA-SalVentAttnA,1.752494,False
DefaultA-SalVentAttnB,0.745612,False
DefaultA-SomMotA,1.325213,False
DefaultA-SomMotB,3.086359,False
DefaultA-TempPar,11.182407,False
DefaultA-VisCent,2.700487,False
DefaultA-VisPeri,1.003111,False
DefaultB-ContA,9.042952,False
DefaultB-ContB,4.372077,False
DefaultB-ContC,13.376208,False
DefaultB-DefaultA,5.528759,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.354007,False
DefaultB-DorsAttnA,3.58983,False
DefaultB-DorsAttnB,0.459713,False
DefaultB-LimbicA,1.694324,False
DefaultB-LimbicB,3.891198,False
DefaultB-SalVentAttnA,1.195195,False
DefaultB-SalVentAttnB,0.899866,False
DefaultB-SomMotA,2.145534,False
DefaultB-SomMotB,2.159099,False
DefaultB-TempPar,8.683047,False
DefaultB-VisCent,8.882172,False
DefaultB-VisPeri,3.735525,False
DefaultC-ContA,4.559137,False
DefaultC-ContB,2.574627,False
DefaultC-ContC,1.865168,False
DefaultC-DefaultA,0.053529,False
DefaultC-DefaultB,2.740989,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.08874,False
DefaultC-DorsAttnB,0.252926,False
DefaultC-LimbicA,0.982164,False
DefaultC-LimbicB,0.655899,False
DefaultC-SalVentAttnA,3.024243,False
DefaultC-SalVentAttnB,5.79381,False
DefaultC-SomMotA,0.150362,False
DefaultC-SomMotB,0.429264,False
DefaultC-TempPar,4.615243,False
DefaultC-VisCent,2.812929,False
DefaultC-VisPeri,1.405632,False
DorsAttnA-ContA,3.983665,False
DorsAttnA-ContB,1.037982,False
DorsAttnA-ContC,10.077505,False
DorsAttnA-DefaultA,10.636432,False
DorsAttnA-DefaultB,11.257789,False
DorsAttnA-DefaultC,5.692315,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.234303,False
DorsAttnA-LimbicA,1.587339,False
DorsAttnA-LimbicB,4.867588,False
DorsAttnA-SalVentAttnA,2.493346,False
DorsAttnA-SalVentAttnB,0.070441,False
DorsAttnA-SomMotA,1.009448,False
DorsAttnA-SomMotB,1.512473,False
DorsAttnA-TempPar,0.306198,False
DorsAttnA-VisCent,14.48921,False
DorsAttnA-VisPeri,2.612778,False
DorsAttnB-ContA,3.161432,False
DorsAttnB-ContB,4.783812,False
DorsAttnB-ContC,1.825756,False
DorsAttnB-DefaultA,3.184538,False
DorsAttnB-DefaultB,1.936037,False
DorsAttnB-DefaultC,2.17265,False
DorsAttnB-DorsAttnA,3.945938,False
DorsAttnB-DorsAttnB,0.0,True
