network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,13.79387,False
ContA-ContC,0.429347,False
ContA-DefaultA,2.938637,False
ContA-DefaultB,5.386365,False
ContA-DefaultC,5.112384,False
ContA-DorsAttnA,0.437912,False
ContA-DorsAttnB,0.188062,False
ContA-LimbicA,30.171545,False
ContA-LimbicB,20.702421,False
ContA-SalVentAttnA,0.707163,False
ContA-SalVentAttnB,10.37874,False
ContA-SomMotA,13.512616,False
ContA-SomMotB,0.087064,False
ContA-TempPar,1.939629,False
ContA-VisCent,3.954513,False
ContA-VisPeri,2.74801,False
ContB-ContA,7.462436,False
ContB-ContB,0.0,True
ContB-ContC,0.167697,False
ContB-DefaultA,4.471013,False
ContB-DefaultB,4.581079,False
ContB-DefaultC,5.084854,False
ContB-DorsAttnA,0.025709,False
ContB-DorsAttnB,1.716547,False
ContB-LimbicA,6.707007,False
ContB-LimbicB,5.328834,False
ContB-SalVentAttnA,0.55391,False
ContB-SalVentAttnB,3.911227,False
ContB-SomMotA,15.065149,False
ContB-SomMotB,0.688813,False
ContB-TempPar,2.292503,False
ContB-VisCent,2.825586,False
ContB-VisPeri,8.077801,False
ContC-ContA,0.492808,False
ContC-ContB,5.191241,False
ContC-ContC,0.0,True
ContC-DefaultA,13.906829,False
ContC-DefaultB,3.050999,False
ContC-DefaultC,0.258923,False
ContC-DorsAttnA,1.171789,False
ContC-DorsAttnB,2.196336,False
ContC-LimbicA,3.565312,False
ContC-LimbicB,5.235608,False
ContC-SalVentAttnA,3.789921,False
ContC-SalVentAttnB,4.754115,False
ContC-SomMotA,2.330045,False
ContC-SomMotB,0.123087,False
ContC-TempPar,0.225609,False
ContC-VisCent,0.127194,False
ContC-VisPeri,1.180729,False
DefaultA-ContA,1.480787,False
DefaultA-ContB,2.464914,False
DefaultA-ContC,6.523102,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.001782,False
DefaultA-DefaultC,1.512988,False
DefaultA-DorsAttnA,0.942723,False
DefaultA-DorsAttnB,0.015626,False
DefaultA-LimbicA,3.143893,False
DefaultA-LimbicB,1.649365,False
DefaultA-SalVentAttnA,3.348463,False
DefaultA-SalVentAttnB,2.068201,False
DefaultA-SomMotA,9.378622,False
DefaultA-SomMotB,0.363576,False
DefaultA-TempPar,0.097567,False
DefaultA-VisCent,2.946303,False
DefaultA-VisPeri,1.872281,False
DefaultB-ContA,0.449386,False
DefaultB-ContB,0.217007,False
DefaultB-ContC,0.998109,False
DefaultB-DefaultA,8.025659,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,20.50991,False
DefaultB-DorsAttnA,2.202622,False
DefaultB-DorsAttnB,3.291139,False
DefaultB-LimbicA,1.021545,False
DefaultB-LimbicB,0.364981,False
DefaultB-SalVentAttnA,8.123036,False
DefaultB-SalVentAttnB,0.613711,False
DefaultB-SomMotA,1.620434,False
DefaultB-SomMotB,5.564413,False
