network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.151725,False
ContA-ContC,7.736837,False
ContA-DefaultA,4.700829,False
ContA-DefaultB,15.604229,False
ContA-DefaultC,11.534207,False
ContA-DorsAttnA,4.890447,False
ContA-DorsAttnB,3.173837,False
ContA-LimbicA,12.727626,False
ContA-LimbicB,8.594063,False
ContA-SalVentAttnA,0.030321,False
ContA-SalVentAttnB,9.148971,False
ContA-SomMotA,0.071612,False
ContA-SomMotB,7.881947,False
ContA-TempPar,2.739944,False
ContA-VisCent,2.550765,False
ContA-VisPeri,0.33469,False
ContB-ContA,7.263763,False
ContB-ContB,0.0,True
ContB-ContC,0.155453,False
ContB-DefaultA,0.699808,False
ContB-DefaultB,1.166899,False
ContB-DefaultC,6.008003,False
ContB-DorsAttnA,3.105872,False
ContB-DorsAttnB,0.779727,False
ContB-LimbicA,1.792021,False
ContB-LimbicB,0.545747,False
ContB-SalVentAttnA,1.328705,False
ContB-SalVentAttnB,0.638598,False
ContB-SomMotA,1.065767,False
ContB-SomMotB,5.165711,False
ContB-TempPar,4.215147,False
ContB-VisCent,0.828073,False
ContB-VisPeri,3.469394,False
ContC-ContA,6.244897,False
ContC-ContB,2.348458,False
ContC-ContC,0.0,True
ContC-DefaultA,4.136838,False
ContC-DefaultB,8.706829,False
ContC-DefaultC,0.199307,False
ContC-DorsAttnA,3.95929,False
ContC-DorsAttnB,1.21748,False
ContC-LimbicA,1.993469,False
ContC-LimbicB,17.603512,False
ContC-SalVentAttnA,1.134258,False
ContC-SalVentAttnB,4.143685,False
ContC-SomMotA,0.616295,False
ContC-SomMotB,0.159076,False
ContC-TempPar,2.798572,False
ContC-VisCent,1.705308,False
ContC-VisPeri,0.61501,False
DefaultA-ContA,5.000682,False
DefaultA-ContB,2.554728,False
DefaultA-ContC,23.446963,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,10.530142,False
DefaultA-DefaultC,1.575747,False
DefaultA-DorsAttnA,4.960907,False
DefaultA-DorsAttnB,4.669253,False
DefaultA-LimbicA,6.32342,False
DefaultA-LimbicB,17.577373,False
DefaultA-SalVentAttnA,1.102543,False
DefaultA-SalVentAttnB,10.729391,False
DefaultA-SomMotA,0.246015,False
DefaultA-SomMotB,1.543072,False
DefaultA-TempPar,0.860415,False
DefaultA-VisCent,8.950221,False
DefaultA-VisPeri,0.768088,False
DefaultB-ContA,2.255337,False
DefaultB-ContB,2.104122,False
DefaultB-ContC,5.810723,False
DefaultB-DefaultA,4.662357,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.082246,False
DefaultB-DorsAttnA,4.661204,False
DefaultB-DorsAttnB,9.549659,False
DefaultB-LimbicA,5.091448,False
DefaultB-LimbicB,6.610923,False
DefaultB-SalVentAttnA,0.481316,False
DefaultB-SalVentAttnB,3.061844,False
DefaultB-SomMotA,1.46393,False
DefaultB-SomMotB,2.180464,False
DefaultB-TempPar,2.490925,False
DefaultB-VisCent,5.173139,False
DefaultB-VisPeri,7.01588,False
DefaultC-ContA,1.69439,False
DefaultC-ContB,0.185043,False
DefaultC-ContC,11.775089,False
DefaultC-DefaultA,11.727278,False
DefaultC-DefaultB,4.705444,False
DefaultC-DefaultC,0.0,True
