network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.610196,False
ContA-ContC,0.64486,False
ContA-DefaultA,0.917784,False
ContA-DefaultB,0.019972,False
ContA-DefaultC,1.689043,False
ContA-DorsAttnA,2.410082,False
ContA-DorsAttnB,3.238977,False
ContA-LimbicA,6.728687,False
ContA-LimbicB,10.373778,False
ContA-SalVentAttnA,0.527217,False
ContA-SalVentAttnB,0.308507,False
ContA-SomMotA,4.531005,False
ContA-SomMotB,0.828106,False
ContA-TempPar,2.149143,False
ContA-VisCent,0.702173,False
ContA-VisPeri,4.672585,False
ContB-ContA,3.207273,False
ContB-ContB,0.0,True
ContB-ContC,4.722953,False
ContB-DefaultA,0.575954,False
ContB-DefaultB,0.326582,False
ContB-DefaultC,0.111108,False
ContB-DorsAttnA,4.535644,False
ContB-DorsAttnB,0.3675,False
ContB-LimbicA,3.206092,False
ContB-LimbicB,3.347806,False
ContB-SalVentAttnA,1.517156,False
ContB-SalVentAttnB,1.690168,False
ContB-SomMotA,7.169393,False
ContB-SomMotB,6.361214,False
ContB-TempPar,0.238188,False
ContB-VisCent,1.005051,False
ContB-VisPeri,6.914064,False
ContC-ContA,2.130749,False
ContC-ContB,1.732614,False
ContC-ContC,0.0,True
ContC-DefaultA,2.658219,False
ContC-DefaultB,1.824338,False
ContC-DefaultC,1.636912,False
ContC-DorsAttnA,4.418729,False
ContC-DorsAttnB,1.001159,False
ContC-LimbicA,4.31764,False
ContC-LimbicB,6.55983,False
ContC-SalVentAttnA,1.262668,False
ContC-SalVentAttnB,1.131096,False
ContC-SomMotA,2.125176,False
ContC-SomMotB,1.430057,False
ContC-TempPar,0.096113,False
ContC-VisCent,0.196562,False
ContC-VisPeri,4.036295,False
DefaultA-ContA,5.596609,False
DefaultA-ContB,3.312852,False
DefaultA-ContC,4.235777,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.596431,False
DefaultA-DefaultC,1.067192,False
DefaultA-DorsAttnA,8.129055,False
DefaultA-DorsAttnB,1.287965,False
DefaultA-LimbicA,2.112849,False
DefaultA-LimbicB,5.748855,False
DefaultA-SalVentAttnA,2.512362,False
DefaultA-SalVentAttnB,0.177691,False
DefaultA-SomMotA,4.218793,False
DefaultA-SomMotB,4.09689,False
DefaultA-TempPar,0.08693,False
DefaultA-VisCent,1.125435,False
DefaultA-VisPeri,9.668595,False
DefaultB-ContA,2.731344,False
DefaultB-ContB,3.166213,False
DefaultB-ContC,1.498483,False
DefaultB-DefaultA,2.278522,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.952611,False
DefaultB-DorsAttnA,3.709517,False
DefaultB-DorsAttnB,0.295936,False
DefaultB-LimbicA,1.292704,False
DefaultB-LimbicB,6.351871,False
DefaultB-SalVentAttnA,0.068495,False
DefaultB-SalVentAttnB,0.569273,False
DefaultB-SomMotA,3.745297,False
DefaultB-SomMotB,4.281941,False
DefaultB-TempPar,0.557109,False
DefaultB-VisCent,3.615208,False
DefaultB-VisPeri,7.602063,False
DefaultC-ContA,0.354177,False
DefaultC-ContB,0.650274,False
DefaultC-ContC,0.551255,False
DefaultC-DefaultA,3.132002,False
DefaultC-DefaultB,1.99346,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.593132,False
DefaultC-DorsAttnB,1.688227,False
DefaultC-LimbicA,0.398238,False
DefaultC-LimbicB,1.79261,False
DefaultC-SalVentAttnA,4.258218,False
DefaultC-SalVentAttnB,0.228798,False
DefaultC-SomMotA,2.383457,False
DefaultC-SomMotB,0.539729,False
DefaultC-TempPar,7.217307,False
DefaultC-VisCent,1.59762,False
DefaultC-VisPeri,2.402387,False
DorsAttnA-ContA,1.659469,False
DorsAttnA-ContB,1.192823,False
DorsAttnA-ContC,2.647789,False
DorsAttnA-DefaultA,8.049972,False
DorsAttnA-DefaultB,6.861091,False
DorsAttnA-DefaultC,14.280731,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.629987,False
DorsAttnA-LimbicA,1.703258,False
DorsAttnA-LimbicB,11.906022,False
DorsAttnA-SalVentAttnA,0.006022,False
DorsAttnA-SalVentAttnB,2.51787,False
DorsAttnA-SomMotA,5.056603,False
DorsAttnA-SomMotB,4.02182,False
DorsAttnA-TempPar,0.183727,False
DorsAttnA-VisCent,1.27356,False
DorsAttnA-VisPeri,2.057166,False
DorsAttnB-ContA,6.766825,False
DorsAttnB-ContB,3.249166,False
DorsAttnB-ContC,0.687727,False
DorsAttnB-DefaultA,0.382471,False
DorsAttnB-DefaultB,0.021154,False
DorsAttnB-DefaultC,0.097068,False
DorsAttnB-DorsAttnA,0.711396,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,6.501396,False
DorsAttnB-LimbicB,3.348611,False
DorsAttnB-SalVentAttnA,3.314365,False
DorsAttnB-SalVentAttnB,1.297261,False
DorsAttnB-SomMotA,3.661216,False
DorsAttnB-SomMotB,0.495309,False
DorsAttnB-TempPar,2.051034,False
DorsAttnB-VisCent,1.107549,False
DorsAttnB-VisPeri,3.669778,False
LimbicA-ContA,20.017212,False
LimbicA-ContB,4.833742,False
LimbicA-ContC,0.413146,False
LimbicA-DefaultA,2.811825,False
LimbicA-DefaultB,0.355313,False
LimbicA-DefaultC,0.680384,False
LimbicA-DorsAttnA,4.351985,False
LimbicA-DorsAttnB,2.041655,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,16.088997,False
LimbicA-SalVentAttnA,0.122373,False
LimbicA-SalVentAttnB,2.839043,False
LimbicA-SomMotA,6.785784,False
LimbicA-SomMotB,0.319221,False
LimbicA-TempPar,1.132084,False
LimbicA-VisCent,0.359271,False
LimbicA-VisPeri,7.81289,False
LimbicB-ContA,5.852903,False
LimbicB-ContB,0.855115,False
LimbicB-ContC,1.621144,False
LimbicB-DefaultA,4.412828,False
LimbicB-DefaultB,4.502122,False
LimbicB-DefaultC,5.074419,False
LimbicB-DorsAttnA,0.582878,False
LimbicB-DorsAttnB,0.228856,False
LimbicB-LimbicA,11.323329,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.713887,False
LimbicB-SalVentAttnB,8.010304,False
LimbicB-SomMotA,17.299279,False
LimbicB-SomMotB,2.216179,False
LimbicB-TempPar,0.214939,False
LimbicB-VisCent,1.606432,False
LimbicB-VisPeri,12.117717,False
SalVentAttnA-ContA,1.96775,False
SalVentAttnA-ContB,0.553819,False
SalVentAttnA-ContC,4.298909,False
SalVentAttnA-DefaultA,4.327354,False
SalVentAttnA-DefaultB,1.543014,False
SalVentAttnA-DefaultC,0.43475,False
SalVentAttnA-DorsAttnA,0.90068,False
SalVentAttnA-DorsAttnB,0.183281,False
SalVentAttnA-LimbicA,1.90633,False
SalVentAttnA-LimbicB,1.717034,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.046348,False
SalVentAttnA-SomMotA,1.264804,False
SalVentAttnA-SomMotB,3.190418,False
SalVentAttnA-TempPar,0.018989,False
SalVentAttnA-VisCent,1.791859,False
SalVentAttnA-VisPeri,5.11337,False
SalVentAttnB-ContA,5.82748,False
SalVentAttnB-ContB,0.168631,False
SalVentAttnB-ContC,2.631317,False
SalVentAttnB-DefaultA,4.923354,False
SalVentAttnB-DefaultB,0.441222,False
SalVentAttnB-DefaultC,2.546691,False
SalVentAttnB-DorsAttnA,0.429099,False
SalVentAttnB-DorsAttnB,2.268767,False
SalVentAttnB-LimbicA,7.090392,False
SalVentAttnB-LimbicB,19.327657,False
SalVentAttnB-SalVentAttnA,9.414877,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,11.130557,False
SalVentAttnB-SomMotB,2.55901,False
SalVentAttnB-TempPar,0.403513,False
SalVentAttnB-VisCent,4.573025,False
SalVentAttnB-VisPeri,11.362012,False
SomMotA-ContA,2.246855,False
SomMotA-ContB,10.327176,False
SomMotA-ContC,1.354236,False
SomMotA-DefaultA,0.198161,False
SomMotA-DefaultB,0.01752,False
SomMotA-DefaultC,1.446723,False
SomMotA-DorsAttnA,0.493215,False
SomMotA-DorsAttnB,0.391338,False
SomMotA-LimbicA,2.578156,False
SomMotA-LimbicB,2.844801,False
SomMotA-SalVentAttnA,0.261405,False
SomMotA-SalVentAttnB,1.94677,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,1.588579,False
SomMotA-TempPar,6.508257,False
SomMotA-VisCent,10.180682,False
SomMotA-VisPeri,10.644461,False
SomMotB-ContA,1.707505,False
SomMotB-ContB,6.842657,False
SomMotB-ContC,5.092269,False
SomMotB-DefaultA,5.199693,False
SomMotB-DefaultB,2.760047,False
SomMotB-DefaultC,0.035827,False
SomMotB-DorsAttnA,1.449063,False
SomMotB-DorsAttnB,0.720684,False
SomMotB-LimbicA,2.732198,False
SomMotB-LimbicB,1.86833,False
SomMotB-SalVentAttnA,12.839169,False
SomMotB-SalVentAttnB,0.130079,False
SomMotB-SomMotA,0.332561,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.056134,False
SomMotB-VisCent,1.434336,False
SomMotB-VisPeri,0.727419,False
TempPar-ContA,1.611948,False
TempPar-ContB,1.259005,False
TempPar-ContC,0.110876,False
TempPar-DefaultA,0.658561,False
TempPar-DefaultB,0.166425,False
TempPar-DefaultC,0.14084,False
TempPar-DorsAttnA,1.734064,False
TempPar-DorsAttnB,2.809083,False
TempPar-LimbicA,0.626639,False
TempPar-LimbicB,3.656434,False
TempPar-SalVentAttnA,0.522386,False
TempPar-SalVentAttnB,0.177589,False
TempPar-SomMotA,2.831392,False
TempPar-SomMotB,0.082613,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.638495,False
TempPar-VisPeri,6.184842,False
VisCent-ContA,2.854752,False
VisCent-ContB,0.676044,False
VisCent-ContC,1.568336,False
VisCent-DefaultA,1.49575,False
VisCent-DefaultB,0.260409,False
VisCent-DefaultC,6.068291,False
VisCent-DorsAttnA,1.610707,False
VisCent-DorsAttnB,0.457991,False
VisCent-LimbicA,1.004354,False
VisCent-LimbicB,4.164454,False
VisCent-SalVentAttnA,4.692987,False
VisCent-SalVentAttnB,3.13508,False
VisCent-SomMotA,3.161963,False
VisCent-SomMotB,5.4455,False
VisCent-TempPar,3.311031,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.292927,False
VisPeri-ContA,0.43403,False
VisPeri-ContB,6.278753,False
VisPeri-ContC,0.687718,False
VisPeri-DefaultA,1.249818,False
VisPeri-DefaultB,0.076798,False
VisPeri-DefaultC,2.091684,False
VisPeri-DorsAttnA,1.519257,False
VisPeri-DorsAttnB,0.716159,False
VisPeri-LimbicA,1.000738,False
VisPeri-LimbicB,3.683171,False
VisPeri-SalVentAttnA,0.409206,False
VisPeri-SalVentAttnB,0.051103,False
VisPeri-SomMotA,13.530213,False
VisPeri-SomMotB,2.426503,False
VisPeri-TempPar,7.833405,False
VisPeri-VisCent,12.077633,False
VisPeri-VisPeri,0.0,True
