network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.723309,False
ContA-ContC,0.802394,False
ContA-DefaultA,0.3554,False
ContA-DefaultB,0.952192,False
ContA-DefaultC,1.220816,False
ContA-DorsAttnA,1.177636,False
ContA-DorsAttnB,0.52362,False
ContA-LimbicA,15.26266,False
ContA-LimbicB,3.842868,False
ContA-SalVentAttnA,3.15462,False
ContA-SalVentAttnB,7.204071,False
ContA-SomMotA,8.873981,False
ContA-SomMotB,2.257582,False
ContA-TempPar,0.845634,False
ContA-VisCent,0.615103,False
ContA-VisPeri,2.573993,False
ContB-ContA,20.942715,False
ContB-ContB,0.0,True
ContB-ContC,3.204435,False
ContB-DefaultA,2.898245,False
ContB-DefaultB,3.760617,False
ContB-DefaultC,6.61046,False
ContB-DorsAttnA,0.526,False
ContB-DorsAttnB,0.807328,False
ContB-LimbicA,25.037235,False
ContB-LimbicB,10.17196,False
ContB-SalVentAttnA,7.192175,False
ContB-SalVentAttnB,4.728612,False
ContB-SomMotA,11.523397,False
ContB-SomMotB,1.634476,False
ContB-TempPar,0.250782,False
ContB-VisCent,1.024371,False
ContB-VisPeri,5.312557,False
ContC-ContA,0.950653,False
ContC-ContB,3.427192,False
ContC-ContC,0.0,True
ContC-DefaultA,16.712831,False
ContC-DefaultB,14.4297,False
ContC-DefaultC,7.813902,False
ContC-DorsAttnA,4.823297,False
ContC-DorsAttnB,0.257507,False
ContC-LimbicA,0.043482,False
ContC-LimbicB,14.835968,False
ContC-SalVentAttnA,3.842439,False
ContC-SalVentAttnB,1.834219,False
ContC-SomMotA,1.531265,False
ContC-SomMotB,0.333961,False
ContC-TempPar,9.172853,False
ContC-VisCent,2.718488,False
ContC-VisPeri,1.912223,False
DefaultA-ContA,0.678237,False
DefaultA-ContB,2.753229,False
DefaultA-ContC,15.81078,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.208587,False
DefaultA-DefaultC,9.098363,False
DefaultA-DorsAttnA,1.285947,False
DefaultA-DorsAttnB,2.935735,False
DefaultA-LimbicA,1.071611,False
DefaultA-LimbicB,6.3514,False
DefaultA-SalVentAttnA,0.080291,False
DefaultA-SalVentAttnB,0.399641,False
DefaultA-SomMotA,1.852142,False
DefaultA-SomMotB,0.461191,False
DefaultA-TempPar,11.45222,False
DefaultA-VisCent,1.490547,False
DefaultA-VisPeri,0.592359,False
DefaultB-ContA,1.697168,False
DefaultB-ContB,1.001423,False
DefaultB-ContC,3.548785,False
DefaultB-DefaultA,7.224275,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,12.06528,False
DefaultB-DorsAttnA,0.149111,False
DefaultB-DorsAttnB,7.453624,False
DefaultB-LimbicA,1.763518,False
DefaultB-LimbicB,1.70721,False
DefaultB-SalVentAttnA,2.434339,False
DefaultB-SalVentAttnB,0.252716,False
DefaultB-SomMotA,3.315826,False
DefaultB-SomMotB,3.736977,False
DefaultB-TempPar,12.016173,False
DefaultB-VisCent,1.17707,False
DefaultB-VisPeri,0.675343,False
DefaultC-ContA,0.50385,False
DefaultC-ContB,0.444348,False
DefaultC-ContC,0.650723,False
DefaultC-DefaultA,2.248458,False
DefaultC-DefaultB,12.255159,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.43869,False
DefaultC-DorsAttnB,3.639192,False
DefaultC-LimbicA,0.045959,False
DefaultC-LimbicB,0.112555,False
DefaultC-SalVentAttnA,5.693148,False
DefaultC-SalVentAttnB,0.751411,False
DefaultC-SomMotA,1.604902,False
DefaultC-SomMotB,1.960126,False
DefaultC-TempPar,6.830823,False
DefaultC-VisCent,0.437509,False
DefaultC-VisPeri,2.513516,False
DorsAttnA-ContA,0.884879,False
DorsAttnA-ContB,2.602337,False
DorsAttnA-ContC,2.312749,False
DorsAttnA-DefaultA,3.27337,False
DorsAttnA-DefaultB,3.042901,False
DorsAttnA-DefaultC,2.030915,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.22559,False
DorsAttnA-LimbicA,1.684832,False
DorsAttnA-LimbicB,1.696366,False
DorsAttnA-SalVentAttnA,0.376116,False
DorsAttnA-SalVentAttnB,1.006245,False
DorsAttnA-SomMotA,7.655374,False
DorsAttnA-SomMotB,2.90697,False
DorsAttnA-TempPar,2.468938,False
DorsAttnA-VisCent,2.722101,False
DorsAttnA-VisPeri,6.378405,False
DorsAttnB-ContA,1.235031,False
DorsAttnB-ContB,1.657823,False
DorsAttnB-ContC,3.529712,False
DorsAttnB-DefaultA,3.066839,False
DorsAttnB-DefaultB,2.423095,False
DorsAttnB-DefaultC,2.809649,False
DorsAttnB-DorsAttnA,0.484902,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.491208,False
DorsAttnB-LimbicB,5.990091,False
DorsAttnB-SalVentAttnA,0.999001,False
DorsAttnB-SalVentAttnB,4.780378,False
DorsAttnB-SomMotA,4.236039,False
DorsAttnB-SomMotB,10.396733,False
DorsAttnB-TempPar,1.385721,False
DorsAttnB-VisCent,0.16309,False
DorsAttnB-VisPeri,0.597896,False
LimbicA-ContA,18.326406,False
LimbicA-ContB,12.078446,False
LimbicA-ContC,0.472677,False
LimbicA-DefaultA,2.222986,False
LimbicA-DefaultB,0.848105,False
LimbicA-DefaultC,1.276641,False
LimbicA-DorsAttnA,0.788337,False
LimbicA-DorsAttnB,0.547203,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,6.331166,False
LimbicA-SalVentAttnA,2.288556,False
LimbicA-SalVentAttnB,8.483034,False
LimbicA-SomMotA,10.181496,False
LimbicA-SomMotB,1.967781,False
LimbicA-TempPar,0.115592,False
LimbicA-VisCent,0.384531,False
LimbicA-VisPeri,2.105624,False
LimbicB-ContA,2.581899,False
LimbicB-ContB,2.647512,False
LimbicB-ContC,7.28594,False
LimbicB-DefaultA,6.544077,False
LimbicB-DefaultB,0.520922,False
LimbicB-DefaultC,3.551529,False
LimbicB-DorsAttnA,0.056495,False
