network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.45328,False
ContA-ContC,3.183997,False
ContA-DefaultA,11.098419,False
ContA-DefaultB,2.236383,False
ContA-DefaultC,0.250776,False
ContA-DorsAttnA,1.187849,False
ContA-DorsAttnB,4.44212,False
ContA-LimbicA,51.246847,False
ContA-LimbicB,14.135618,False
ContA-SalVentAttnA,0.983651,False
ContA-SalVentAttnB,13.035524,False
ContA-SomMotA,26.134083,False
ContA-SomMotB,6.433284,False
ContA-TempPar,2.070525,False
ContA-VisCent,3.133349,False
ContA-VisPeri,9.295773,False
ContB-ContA,5.729841,False
ContB-ContB,0.0,True
ContB-ContC,3.862572,False
ContB-DefaultA,3.239111,False
ContB-DefaultB,2.275129,False
ContB-DefaultC,0.85312,False
ContB-DorsAttnA,1.099284,False
ContB-DorsAttnB,6.108223,False
ContB-LimbicA,4.37746,False
ContB-LimbicB,5.336254,False
ContB-SalVentAttnA,4.248171,False
ContB-SalVentAttnB,5.866946,False
ContB-SomMotA,11.787484,False
ContB-SomMotB,1.980969,False
ContB-TempPar,0.258704,False
ContB-VisCent,3.612243,False
ContB-VisPeri,8.816831,False
ContC-ContA,1.057264,False
ContC-ContB,4.141702,False
ContC-ContC,0.0,True
ContC-DefaultA,7.003857,False
ContC-DefaultB,1.057234,False
ContC-DefaultC,5.093175,False
ContC-DorsAttnA,1.730642,False
ContC-DorsAttnB,1.355281,False
ContC-LimbicA,2.981175,False
ContC-LimbicB,6.537419,False
ContC-SalVentAttnA,0.560445,False
ContC-SalVentAttnB,1.159749,False
ContC-SomMotA,3.29626,False
ContC-SomMotB,0.045159,False
ContC-TempPar,5.047052,False
ContC-VisCent,0.207733,False
ContC-VisPeri,1.381436,False
DefaultA-ContA,6.430927,False
DefaultA-ContB,0.563496,False
DefaultA-ContC,9.718458,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.358142,False
DefaultA-DefaultC,0.41044,False
DefaultA-DorsAttnA,1.199297,False
DefaultA-DorsAttnB,1.444058,False
DefaultA-LimbicA,21.774412,False
DefaultA-LimbicB,8.181137,False
DefaultA-SalVentAttnA,0.258531,False
DefaultA-SalVentAttnB,8.168763,False
DefaultA-SomMotA,8.096433,False
DefaultA-SomMotB,2.903206,False
DefaultA-TempPar,0.190899,False
DefaultA-VisCent,1.301784,False
DefaultA-VisPeri,6.575865,False
DefaultB-ContA,2.964011,False
DefaultB-ContB,2.213373,False
DefaultB-ContC,1.790721,False
DefaultB-DefaultA,0.610382,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.541327,False
DefaultB-DorsAttnA,1.37495,False
DefaultB-DorsAttnB,1.543826,False
DefaultB-LimbicA,3.433359,False
DefaultB-LimbicB,2.471496,False
DefaultB-SalVentAttnA,5.86651,False
DefaultB-SalVentAttnB,1.393835,False
DefaultB-SomMotA,7.419933,False
DefaultB-SomMotB,1.633939,False
DefaultB-TempPar,10.570888,False
DefaultB-VisCent,4.321851,False
DefaultB-VisPeri,9.292879,False
DefaultC-ContA,1.864918,False
DefaultC-ContB,3.604944,False
DefaultC-ContC,0.531721,False
DefaultC-DefaultA,0.09498,False
DefaultC-DefaultB,20.416415,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.895073,False
DefaultC-DorsAttnB,2.417843,False
DefaultC-LimbicA,1.373802,False
DefaultC-LimbicB,1.304376,False
DefaultC-SalVentAttnA,3.434347,False
DefaultC-SalVentAttnB,0.25108,False
DefaultC-SomMotA,4.291306,False
DefaultC-SomMotB,0.972589,False
DefaultC-TempPar,32.455672,False
DefaultC-VisCent,0.866732,False
DefaultC-VisPeri,5.472595,False
DorsAttnA-ContA,3.051445,False
DorsAttnA-ContB,0.269523,False
DorsAttnA-ContC,1.458367,False
DorsAttnA-DefaultA,4.001036,False
DorsAttnA-DefaultB,2.44741,False
DorsAttnA-DefaultC,2.66865,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.23934,False
DorsAttnA-LimbicA,2.163603,False
DorsAttnA-LimbicB,0.305385,False
DorsAttnA-SalVentAttnA,0.374373,False
DorsAttnA-SalVentAttnB,0.456518,False
DorsAttnA-SomMotA,0.834688,False
