network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.972464,False
ContA-ContC,0.765481,False
ContA-DefaultA,7.962878,False
ContA-DefaultB,5.633468,False
ContA-DefaultC,0.358116,False
ContA-DorsAttnA,0.226667,False
ContA-DorsAttnB,4.477746,False
ContA-LimbicA,41.327175,False
ContA-LimbicB,20.653316,False
ContA-SalVentAttnA,1.540643,False
ContA-SalVentAttnB,24.266362,False
ContA-SomMotA,7.349746,False
ContA-SomMotB,3.891036,False
ContA-TempPar,2.452269,False
ContA-VisCent,1.419255,False
ContA-VisPeri,6.518368,False
ContB-ContA,0.056817,False
ContB-ContB,0.0,True
ContB-ContC,2.558757,False
ContB-DefaultA,0.03539,False
ContB-DefaultB,3.774577,False
ContB-DefaultC,0.118329,False
ContB-DorsAttnA,0.003961,False
ContB-DorsAttnB,2.551782,False
ContB-LimbicA,3.843622,False
ContB-LimbicB,4.846944,False
ContB-SalVentAttnA,1.086252,False
ContB-SalVentAttnB,1.962479,False
ContB-SomMotA,5.645084,False
ContB-SomMotB,5.308868,False
ContB-TempPar,0.825535,False
ContB-VisCent,3.021715,False
ContB-VisPeri,5.01733,False
ContC-ContA,2.398668,False
ContC-ContB,5.343976,False
ContC-ContC,0.0,True
ContC-DefaultA,3.690823,False
ContC-DefaultB,2.938724,False
ContC-DefaultC,2.107014,False
ContC-DorsAttnA,0.688947,False
ContC-DorsAttnB,4.479443,False
ContC-LimbicA,1.294825,False
ContC-LimbicB,10.786915,False
ContC-SalVentAttnA,0.753135,False
ContC-SalVentAttnB,4.931077,False
ContC-SomMotA,6.79112,False
ContC-SomMotB,5.014336,False
ContC-TempPar,0.409092,False
ContC-VisCent,0.579912,False
ContC-VisPeri,5.229087,False
DefaultA-ContA,8.500955,False
DefaultA-ContB,2.534001,False
DefaultA-ContC,8.971012,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.414526,False
DefaultA-DefaultC,0.353891,False
DefaultA-DorsAttnA,0.121482,False
DefaultA-DorsAttnB,4.28156,False
DefaultA-LimbicA,19.307078,False
DefaultA-LimbicB,24.814074,False
DefaultA-SalVentAttnA,2.829184,False
DefaultA-SalVentAttnB,18.284464,False
DefaultA-SomMotA,8.615876,False
DefaultA-SomMotB,2.047845,False
DefaultA-TempPar,3.759977,False
DefaultA-VisCent,2.2383,False
DefaultA-VisPeri,6.652142,False
DefaultB-ContA,1.92192,False
DefaultB-ContB,1.841331,False
DefaultB-ContC,0.457059,False
DefaultB-DefaultA,0.207795,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.635346,False
DefaultB-DorsAttnA,2.315679,False
DefaultB-DorsAttnB,0.897722,False
DefaultB-LimbicA,3.179001,False
DefaultB-LimbicB,5.116386,False
DefaultB-SalVentAttnA,1.050523,False
DefaultB-SalVentAttnB,3.365972,False
DefaultB-SomMotA,5.387737,False
DefaultB-SomMotB,4.212382,False
DefaultB-TempPar,2.022407,False
DefaultB-VisCent,1.579538,False
DefaultB-VisPeri,4.574471,False
DefaultC-ContA,4.935645,False
DefaultC-ContB,0.426007,False
DefaultC-ContC,1.246122,False
DefaultC-DefaultA,1.436857,False
DefaultC-DefaultB,19.795827,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.5606,False
DefaultC-DorsAttnB,2.085175,False
DefaultC-LimbicA,3.068596,False
DefaultC-LimbicB,0.73338,False
DefaultC-SalVentAttnA,0.228567,False
DefaultC-SalVentAttnB,1.209683,False
DefaultC-SomMotA,4.462462,False
DefaultC-SomMotB,4.45326,False
DefaultC-TempPar,10.214549,False
DefaultC-VisCent,2.998724,False
DefaultC-VisPeri,1.604907,False
DorsAttnA-ContA,3.495332,False
DorsAttnA-ContB,0.542371,False
DorsAttnA-ContC,0.309522,False
DorsAttnA-DefaultA,0.834527,False
DorsAttnA-DefaultB,4.030735,False
DorsAttnA-DefaultC,4.307693,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.523124,False
DorsAttnA-LimbicA,1.776675,False
DorsAttnA-LimbicB,5.67285,False
DorsAttnA-SalVentAttnA,0.276183,False
DorsAttnA-SalVentAttnB,1.079256,False
DorsAttnA-SomMotA,0.412757,False
DorsAttnA-SomMotB,0.311562,False
DorsAttnA-TempPar,3.624934,False
