network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.531783,False
ContA-ContC,12.434857,False
ContA-DefaultA,19.111849,False
ContA-DefaultB,12.015473,False
ContA-DefaultC,6.214682,False
ContA-DorsAttnA,13.392601,False
ContA-DorsAttnB,5.537149,False
ContA-LimbicA,4.157413,False
ContA-LimbicB,0.082047,False
ContA-SalVentAttnA,0.316987,False
ContA-SalVentAttnB,0.070875,False
ContA-SomMotA,6.984019,False
ContA-SomMotB,1.761146,False
ContA-TempPar,1.07567,False
ContA-VisCent,8.784021,False
ContA-VisPeri,5.316126,False
ContB-ContA,15.294649,False
ContB-ContB,0.0,True
ContB-ContC,31.26658,False
ContB-DefaultA,47.966476,False
ContB-DefaultB,33.341128,False
ContB-DefaultC,15.714917,False
ContB-DorsAttnA,11.54167,False
ContB-DorsAttnB,8.607454,False
ContB-LimbicA,10.880852,False
ContB-LimbicB,5.401529,False
ContB-SalVentAttnA,0.703096,False
ContB-SalVentAttnB,4.210173,False
ContB-SomMotA,8.26348,False
ContB-SomMotB,0.070708,False
ContB-TempPar,0.100449,False
ContB-VisCent,0.513111,False
ContB-VisPeri,15.628927,False
ContC-ContA,13.649142,False
ContC-ContB,11.255996,False
ContC-ContC,0.0,True
ContC-DefaultA,5.709203,False
ContC-DefaultB,16.517497,False
ContC-DefaultC,19.032928,False
ContC-DorsAttnA,4.196144,False
ContC-DorsAttnB,7.478509,False
ContC-LimbicA,18.019772,False
ContC-LimbicB,13.097981,False
ContC-SalVentAttnA,2.213416,False
ContC-SalVentAttnB,8.672793,False
ContC-SomMotA,0.383498,False
ContC-SomMotB,1.236977,False
ContC-TempPar,9.15793,False
ContC-VisCent,23.079609,False
ContC-VisPeri,1.012972,False
DefaultA-ContA,16.689266,False
DefaultA-ContB,11.882218,False
DefaultA-ContC,6.531603,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,27.774861,False
DefaultA-DefaultC,12.635967,False
DefaultA-DorsAttnA,0.923482,False
DefaultA-DorsAttnB,5.617866,False
DefaultA-LimbicA,20.434184,False
DefaultA-LimbicB,16.610928,False
DefaultA-SalVentAttnA,1.474382,False
DefaultA-SalVentAttnB,9.472957,False
DefaultA-SomMotA,1.861955,False
DefaultA-SomMotB,2.470019,False
DefaultA-TempPar,3.565317,False
DefaultA-VisCent,20.537268,False
DefaultA-VisPeri,2.020321,False
DefaultB-ContA,3.309276,False
DefaultB-ContB,0.620242,False
DefaultB-ContC,4.891107,False
DefaultB-DefaultA,6.399511,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.142111,False
DefaultB-DorsAttnA,17.442253,False
DefaultB-DorsAttnB,1.442979,False
DefaultB-LimbicA,0.75288,False
DefaultB-LimbicB,4.549608,False
DefaultB-SalVentAttnA,0.551437,False
DefaultB-SalVentAttnB,1.5863,False
DefaultB-SomMotA,6.448992,False
DefaultB-SomMotB,0.285153,False
DefaultB-TempPar,4.184426,False
DefaultB-VisCent,7.133124,False
DefaultB-VisPeri,3.678681,False
DefaultC-ContA,2.247019,False
DefaultC-ContB,2.043751,False
DefaultC-ContC,16.696211,False
DefaultC-DefaultA,30.127411,False
DefaultC-DefaultB,2.656634,False
