network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.703793,False
ContA-ContC,4.336166,False
ContA-DefaultA,8.462352,False
ContA-DefaultB,6.816057,False
ContA-DefaultC,0.954642,False
ContA-DorsAttnA,2.549961,False
ContA-DorsAttnB,1.313909,False
ContA-LimbicA,30.731741,False
ContA-LimbicB,21.699806,False
ContA-SalVentAttnA,0.337223,False
ContA-SalVentAttnB,6.349757,False
ContA-SomMotA,15.320134,False
ContA-SomMotB,9.43144,False
ContA-TempPar,1.494696,False
ContA-VisCent,5.740063,False
ContA-VisPeri,18.000498,False
ContB-ContA,2.186833,False
ContB-ContB,0.0,True
ContB-ContC,2.655895,False
ContB-DefaultA,2.121361,False
ContB-DefaultB,7.526939,False
ContB-DefaultC,6.227267,False
ContB-DorsAttnA,2.710267,False
ContB-DorsAttnB,1.29764,False
ContB-LimbicA,4.983102,False
ContB-LimbicB,0.763141,False
ContB-SalVentAttnA,5.083864,False
ContB-SalVentAttnB,0.165656,False
ContB-SomMotA,6.477522,False
ContB-SomMotB,1.355374,False
ContB-TempPar,3.530469,False
ContB-VisCent,1.334256,False
ContB-VisPeri,7.533048,False
ContC-ContA,3.699177,False
ContC-ContB,3.906344,False
ContC-ContC,0.0,True
ContC-DefaultA,17.847669,False
ContC-DefaultB,8.428615,False
ContC-DefaultC,1.631372,False
ContC-DorsAttnA,0.418363,False
ContC-DorsAttnB,0.061054,False
ContC-LimbicA,5.446361,False
ContC-LimbicB,9.950596,False
ContC-SalVentAttnA,0.735448,False
ContC-SalVentAttnB,1.760089,False
ContC-SomMotA,4.949235,False
ContC-SomMotB,5.959254,False
ContC-TempPar,1.698466,False
ContC-VisCent,1.130583,False
ContC-VisPeri,1.248546,False
DefaultA-ContA,6.779989,False
DefaultA-ContB,4.530527,False
DefaultA-ContC,27.136017,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,26.007212,False
DefaultA-DefaultC,2.298349,False
DefaultA-DorsAttnA,2.391757,False
DefaultA-DorsAttnB,0.896455,False
DefaultA-LimbicA,14.963427,False
DefaultA-LimbicB,22.456347,False
DefaultA-SalVentAttnA,4.120952,False
DefaultA-SalVentAttnB,1.63199,False
DefaultA-SomMotA,14.969342,False
DefaultA-SomMotB,9.031378,False
DefaultA-TempPar,2.181637,False
DefaultA-VisCent,0.409608,False
DefaultA-VisPeri,5.724259,False
DefaultB-ContA,0.175275,False
DefaultB-ContB,5.032653,False
DefaultB-ContC,5.281176,False
DefaultB-DefaultA,4.361712,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.657835,False
DefaultB-DorsAttnA,4.509677,False
DefaultB-DorsAttnB,0.068666,False
DefaultB-LimbicA,1.499447,False
DefaultB-LimbicB,5.897156,False
DefaultB-SalVentAttnA,6.08474,False
DefaultB-SalVentAttnB,0.302757,False
DefaultB-SomMotA,1.334813,False
DefaultB-SomMotB,6.525075,False
DefaultB-TempPar,3.262074,False
DefaultB-VisCent,0.107322,False
DefaultB-VisPeri,8.201133,False
DefaultC-ContA,0.440783,False
DefaultC-ContB,5.904874,False
DefaultC-ContC,0.600519,False
DefaultC-DefaultA,0.208708,False
DefaultC-DefaultB,21.11815,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.920627,False
DefaultC-DorsAttnB,2.387623,False
DefaultC-LimbicA,1.485666,False
DefaultC-LimbicB,0.962873,False
DefaultC-SalVentAttnA,5.051191,False
DefaultC-SalVentAttnB,1.536741,False
DefaultC-SomMotA,3.870467,False
DefaultC-SomMotB,3.491759,False
DefaultC-TempPar,3.119604,False
DefaultC-VisCent,0.116353,False
DefaultC-VisPeri,5.873766,False
DorsAttnA-ContA,7.875668,False
DorsAttnA-ContB,3.102913,False
DorsAttnA-ContC,4.850862,False
DorsAttnA-DefaultA,13.888214,False
DorsAttnA-DefaultB,22.479359,False
DorsAttnA-DefaultC,6.557648,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.664423,False
DorsAttnA-LimbicA,6.131751,False
DorsAttnA-LimbicB,5.988676,False
DorsAttnA-SalVentAttnA,6.121311,False
DorsAttnA-SalVentAttnB,6.199021,False
DorsAttnA-SomMotA,0.31431,False
DorsAttnA-SomMotB,2.860656,False
DorsAttnA-TempPar,7.216394,False
DorsAttnA-VisCent,1.008857,False
DorsAttnA-VisPeri,1.394453,False
DorsAttnB-ContA,4.317442,False
DorsAttnB-ContB,2.690866,False
DorsAttnB-ContC,4.619198,False
DorsAttnB-DefaultA,0.121601,False
DorsAttnB-DefaultB,0.195262,False
DorsAttnB-DefaultC,0.147356,False
DorsAttnB-DorsAttnA,0.835084,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.616287,False
DorsAttnB-LimbicB,0.229028,False
DorsAttnB-SalVentAttnA,0.715683,False
DorsAttnB-SalVentAttnB,0.116166,False
DorsAttnB-SomMotA,4.845854,False
DorsAttnB-SomMotB,0.514527,False
DorsAttnB-TempPar,0.916629,False
DorsAttnB-VisCent,0.02682,False
