network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.029295,False
ContA-ContC,2.059107,False
ContA-DefaultA,0.486377,False
ContA-DefaultB,0.326781,False
ContA-DefaultC,1.168365,False
ContA-DorsAttnA,1.426189,False
ContA-DorsAttnB,1.859269,False
ContA-LimbicA,26.686573,False
ContA-LimbicB,1.995651,False
ContA-SalVentAttnA,4.770485,False
ContA-SalVentAttnB,1.765058,False
ContA-SomMotA,1.44141,False
ContA-SomMotB,0.263304,False
ContA-TempPar,3.118885,False
ContA-VisCent,10.094995,False
ContA-VisPeri,2.169117,False
ContB-ContA,0.564887,False
ContB-ContB,0.0,True
ContB-ContC,5.277617,False
ContB-DefaultA,1.429775,False
ContB-DefaultB,0.58178,False
ContB-DefaultC,4.406827,False
ContB-DorsAttnA,3.288038,False
ContB-DorsAttnB,0.647555,False
ContB-LimbicA,0.867263,False
ContB-LimbicB,3.647365,False
ContB-SalVentAttnA,1.97202,False
ContB-SalVentAttnB,1.280634,False
ContB-SomMotA,0.795036,False
ContB-SomMotB,1.420485,False
ContB-TempPar,0.896144,False
ContB-VisCent,1.952768,False
ContB-VisPeri,1.101136,False
ContC-ContA,0.543219,False
ContC-ContB,7.631393,False
ContC-ContC,0.0,True
ContC-DefaultA,3.325499,False
ContC-DefaultB,4.750022,False
ContC-DefaultC,11.491728,False
ContC-DorsAttnA,1.559927,False
ContC-DorsAttnB,1.094229,False
ContC-LimbicA,6.422771,False
ContC-LimbicB,7.914996,False
ContC-SalVentAttnA,3.432905,False
ContC-SalVentAttnB,5.652713,False
ContC-SomMotA,5.362084,False
ContC-SomMotB,6.171685,False
ContC-TempPar,21.650727,False
ContC-VisCent,1.643559,False
ContC-VisPeri,2.541595,False
DefaultA-ContA,0.13335,False
DefaultA-ContB,2.538868,False
DefaultA-ContC,3.027665,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.692524,False
DefaultA-DefaultC,4.975614,False
DefaultA-DorsAttnA,4.996016,False
DefaultA-DorsAttnB,0.32837,False
DefaultA-LimbicA,9.884994,False
DefaultA-LimbicB,22.086809,False
DefaultA-SalVentAttnA,1.692717,False
DefaultA-SalVentAttnB,5.093339,False
DefaultA-SomMotA,2.376622,False
DefaultA-SomMotB,1.312116,False
DefaultA-TempPar,11.838739,False
DefaultA-VisCent,1.399212,False
DefaultA-VisPeri,0.339369,False
DefaultB-ContA,3.485671,False
DefaultB-ContB,4.092631,False
DefaultB-ContC,0.224311,False
DefaultB-DefaultA,1.396049,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.91724,False
DefaultB-DorsAttnA,10.389247,False
DefaultB-DorsAttnB,5.06631,False
DefaultB-LimbicA,5.14255,False
DefaultB-LimbicB,5.254391,False
DefaultB-SalVentAttnA,12.314713,False
DefaultB-SalVentAttnB,0.550809,False
DefaultB-SomMotA,4.378408,False
DefaultB-SomMotB,2.283998,False
DefaultB-TempPar,0.499683,False
DefaultB-VisCent,14.670983,False
DefaultB-VisPeri,4.016007,False
DefaultC-ContA,2.558053,False
DefaultC-ContB,8.163829,False
DefaultC-ContC,1.050165,False
DefaultC-DefaultA,1.121334,False
DefaultC-DefaultB,4.712233,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,13.383076,False
DefaultC-DorsAttnB,11.395224,False
DefaultC-LimbicA,1.453981,False
DefaultC-LimbicB,0.910169,False
DefaultC-SalVentAttnA,14.467197,False
DefaultC-SalVentAttnB,3.049189,False
DefaultC-SomMotA,12.186679,False
DefaultC-SomMotB,3.157255,False
DefaultC-TempPar,5.692104,False
DefaultC-VisCent,10.261521,False
DefaultC-VisPeri,7.322303,False
DorsAttnA-ContA,5.001399,False
DorsAttnA-ContB,0.516559,False
DorsAttnA-ContC,3.458756,False
DorsAttnA-DefaultA,1.26696,False
DorsAttnA-DefaultB,0.151277,False
DorsAttnA-DefaultC,1.157269,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,12.520222,False
DorsAttnA-LimbicA,5.244434,False
DorsAttnA-LimbicB,8.150171,False
DorsAttnA-SalVentAttnA,1.914218,False
DorsAttnA-SalVentAttnB,2.081571,False
DorsAttnA-SomMotA,0.384059,False
DorsAttnA-SomMotB,0.277621,False
DorsAttnA-TempPar,1.265232,False
DorsAttnA-VisCent,3.807031,False
DorsAttnA-VisPeri,1.653588,False
DorsAttnB-ContA,1.5918,False
DorsAttnB-ContB,0.567098,False
