network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.154352,False
ContA-ContC,0.065531,False
ContA-DefaultA,0.33969,False
ContA-DefaultB,0.443653,False
ContA-DefaultC,2.51974,False
ContA-DorsAttnA,2.494879,False
ContA-DorsAttnB,9.406622,False
ContA-LimbicA,21.725897,False
ContA-LimbicB,16.497432,False
ContA-SalVentAttnA,3.640657,False
ContA-SalVentAttnB,12.532623,False
ContA-SomMotA,6.758513,False
ContA-SomMotB,0.708282,False
ContA-TempPar,1.223792,False
ContA-VisCent,1.153626,False
ContA-VisPeri,0.972851,False
ContB-ContA,1.066393,False
ContB-ContB,0.0,True
ContB-ContC,0.234964,False
ContB-DefaultA,0.475301,False
ContB-DefaultB,0.036113,False
ContB-DefaultC,1.445861,False
ContB-DorsAttnA,3.649262,False
ContB-DorsAttnB,2.195353,False
ContB-LimbicA,4.537553,False
ContB-LimbicB,9.07722,False
ContB-SalVentAttnA,3.090995,False
ContB-SalVentAttnB,7.129347,False
ContB-SomMotA,1.908223,False
ContB-SomMotB,0.652577,False
ContB-TempPar,0.533857,False
ContB-VisCent,2.425053,False
ContB-VisPeri,1.974637,False
ContC-ContA,0.421515,False
ContC-ContB,0.64113,False
ContC-ContC,0.0,True
ContC-DefaultA,6.545179,False
ContC-DefaultB,1.588941,False
ContC-DefaultC,1.232297,False
ContC-DorsAttnA,0.023571,False
ContC-DorsAttnB,1.613216,False
ContC-LimbicA,0.255358,False
ContC-LimbicB,0.600417,False
ContC-SalVentAttnA,2.461682,False
ContC-SalVentAttnB,0.007519,False
ContC-SomMotA,0.664507,False
ContC-SomMotB,0.845792,False
ContC-TempPar,2.726313,False
ContC-VisCent,1.842794,False
ContC-VisPeri,0.828157,False
DefaultA-ContA,0.099442,False
DefaultA-ContB,0.649691,False
DefaultA-ContC,23.937202,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.527353,False
DefaultA-DefaultC,2.715563,False
DefaultA-DorsAttnA,0.961368,False
DefaultA-DorsAttnB,3.975306,False
DefaultA-LimbicA,0.297438,False
DefaultA-LimbicB,2.665193,False
DefaultA-SalVentAttnA,0.456241,False
DefaultA-SalVentAttnB,1.718785,False
DefaultA-SomMotA,2.770819,False
DefaultA-SomMotB,2.357224,False
DefaultA-TempPar,3.889706,False
DefaultA-VisCent,1.311591,False
DefaultA-VisPeri,2.197325,False
DefaultB-ContA,1.454911,False
DefaultB-ContB,0.813838,False
DefaultB-ContC,5.430969,False
DefaultB-DefaultA,4.358875,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.507857,False
DefaultB-DorsAttnA,0.894926,False
DefaultB-DorsAttnB,1.314012,False
DefaultB-LimbicA,1.638849,False
DefaultB-LimbicB,7.062326,False
DefaultB-SalVentAttnA,1.482832,False
DefaultB-SalVentAttnB,3.551594,False
DefaultB-SomMotA,2.94023,False
DefaultB-SomMotB,3.161946,False
DefaultB-TempPar,5.496776,False
DefaultB-VisCent,6.320446,False
DefaultB-VisPeri,1.010424,False
DefaultC-ContA,2.587616,False
DefaultC-ContB,1.743681,False
DefaultC-ContC,0.429046,False
DefaultC-DefaultA,7.911288,False
DefaultC-DefaultB,17.03085,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.649972,False
DefaultC-DorsAttnB,1.640265,False
DefaultC-LimbicA,4.291954,False
DefaultC-LimbicB,5.635337,False
DefaultC-SalVentAttnA,3.669855,False
DefaultC-SalVentAttnB,3.11707,False
DefaultC-SomMotA,0.635052,False
DefaultC-SomMotB,0.661139,False
DefaultC-TempPar,6.990706,False
DefaultC-VisCent,2.553842,False
DefaultC-VisPeri,1.827755,False
DorsAttnA-ContA,2.863332,False
DorsAttnA-ContB,6.281047,False
DorsAttnA-ContC,3.63076,False
DorsAttnA-DefaultA,15.745826,False
DorsAttnA-DefaultB,6.07132,False
DorsAttnA-DefaultC,0.444732,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.292522,False
DorsAttnA-LimbicA,2.086499,False
DorsAttnA-LimbicB,0.77829,False
DorsAttnA-SalVentAttnA,4.332781,False
DorsAttnA-SalVentAttnB,0.314351,False
DorsAttnA-SomMotA,6.914384,False
DorsAttnA-SomMotB,3.223902,False
DorsAttnA-TempPar,1.681293,False
DorsAttnA-VisCent,8.289259,False
DorsAttnA-VisPeri,3.309808,False
DorsAttnB-ContA,3.019587,False
DorsAttnB-ContB,1.265215,False
DorsAttnB-ContC,1.383677,False
DorsAttnB-DefaultA,3.702549,False
DorsAttnB-DefaultB,3.069616,False
DorsAttnB-DefaultC,2.43461,False
DorsAttnB-DorsAttnA,0.748137,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.926165,False
DorsAttnB-LimbicB,0.279109,False
DorsAttnB-SalVentAttnA,1.659895,False
DorsAttnB-SalVentAttnB,0.676122,False
DorsAttnB-SomMotA,1.176785,False
DorsAttnB-SomMotB,3.807252,False
DorsAttnB-TempPar,2.885298,False
DorsAttnB-VisCent,1.22904,False
DorsAttnB-VisPeri,1.438698,False
LimbicA-ContA,8.824532,False
LimbicA-ContB,9.07028,False
LimbicA-ContC,0.111581,False
LimbicA-DefaultA,0.416433,False
LimbicA-DefaultB,0.568691,False
LimbicA-DefaultC,1.491268,False
LimbicA-DorsAttnA,2.553418,False
LimbicA-DorsAttnB,9.865254,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,13.852775,False
LimbicA-SalVentAttnA,4.223385,False
LimbicA-SalVentAttnB,7.013144,False
LimbicA-SomMotA,2.547905,False
