network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.042798,False
ContA-ContC,6.285153,False
ContA-DefaultA,3.783349,False
ContA-DefaultB,0.850551,False
ContA-DefaultC,1.47054,False
ContA-DorsAttnA,1.974277,False
ContA-DorsAttnB,0.746107,False
ContA-LimbicA,30.977532,False
ContA-LimbicB,1.178983,False
ContA-SalVentAttnA,2.682053,False
ContA-SalVentAttnB,3.866923,False
ContA-SomMotA,1.551984,False
ContA-SomMotB,0.655124,False
ContA-TempPar,3.060177,False
ContA-VisCent,1.258298,False
ContA-VisPeri,0.947189,False
ContB-ContA,2.164024,False
ContB-ContB,0.0,True
ContB-ContC,9.390623,False
ContB-DefaultA,2.911091,False
ContB-DefaultB,9.042964,False
ContB-DefaultC,4.478684,False
ContB-DorsAttnA,2.495102,False
ContB-DorsAttnB,2.372344,False
ContB-LimbicA,2.879295,False
ContB-LimbicB,2.170406,False
ContB-SalVentAttnA,3.52147,False
ContB-SalVentAttnB,0.117095,False
ContB-SomMotA,1.25912,False
ContB-SomMotB,3.036122,False
ContB-TempPar,1.803836,False
ContB-VisCent,4.883189,False
ContB-VisPeri,2.690825,False
ContC-ContA,1.708453,False
ContC-ContB,2.42335,False
ContC-ContC,0.0,True
ContC-DefaultA,6.590977,False
ContC-DefaultB,4.585345,False
ContC-DefaultC,0.316291,False
ContC-DorsAttnA,1.91244,False
ContC-DorsAttnB,0.091736,False
ContC-LimbicA,6.121278,False
ContC-LimbicB,17.250691,False
ContC-SalVentAttnA,0.105064,False
ContC-SalVentAttnB,4.779439,False
ContC-SomMotA,0.193968,False
ContC-SomMotB,0.798093,False
ContC-TempPar,1.302648,False
ContC-VisCent,2.17762,False
ContC-VisPeri,0.689077,False
DefaultA-ContA,4.810191,False
DefaultA-ContB,0.552733,False
DefaultA-ContC,23.875581,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,24.63794,False
DefaultA-DefaultC,0.0225,False
DefaultA-DorsAttnA,3.716565,False
DefaultA-DorsAttnB,0.055627,False
DefaultA-LimbicA,14.307055,False
DefaultA-LimbicB,12.044381,False
DefaultA-SalVentAttnA,0.834635,False
DefaultA-SalVentAttnB,2.877548,False
DefaultA-SomMotA,0.364956,False
DefaultA-SomMotB,2.232489,False
DefaultA-TempPar,1.398227,False
DefaultA-VisCent,1.15262,False
DefaultA-VisPeri,0.125975,False
DefaultB-ContA,0.192628,False
DefaultB-ContB,1.667005,False
DefaultB-ContC,9.168809,False
DefaultB-DefaultA,3.913724,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.427916,False
DefaultB-DorsAttnA,5.995449,False
DefaultB-DorsAttnB,0.863098,False
DefaultB-LimbicA,2.72989,False
DefaultB-LimbicB,2.82486,False
DefaultB-SalVentAttnA,2.820662,False
DefaultB-SalVentAttnB,0.296423,False
DefaultB-SomMotA,0.618886,False
DefaultB-SomMotB,5.356546,False
DefaultB-TempPar,0.288492,False
DefaultB-VisCent,1.451474,False
DefaultB-VisPeri,0.765684,False
DefaultC-ContA,5.772747,False
DefaultC-ContB,1.65916,False
DefaultC-ContC,0.910329,False
DefaultC-DefaultA,0.824526,False
DefaultC-DefaultB,0.134487,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.288796,False
DefaultC-DorsAttnB,1.38081,False
DefaultC-LimbicA,1.311604,False
DefaultC-LimbicB,0.533588,False
DefaultC-SalVentAttnA,2.055124,False
DefaultC-SalVentAttnB,3.962803,False
DefaultC-SomMotA,0.017992,False
DefaultC-SomMotB,3.019759,False
DefaultC-TempPar,2.502971,False
DefaultC-VisCent,0.821427,False
DefaultC-VisPeri,0.4969,False
DorsAttnA-ContA,3.067732,False
DorsAttnA-ContB,2.8448,False
DorsAttnA-ContC,3.531602,False
DorsAttnA-DefaultA,14.830481,False
DorsAttnA-DefaultB,16.34842,False
DorsAttnA-DefaultC,3.415148,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.266452,False
DorsAttnA-LimbicA,1.948985,False
DorsAttnA-LimbicB,3.368389,False
DorsAttnA-SalVentAttnA,8.433855,False
DorsAttnA-SalVentAttnB,1.438117,False
DorsAttnA-SomMotA,5.393016,False
DorsAttnA-SomMotB,9.191587,False
DorsAttnA-TempPar,3.783266,False
DorsAttnA-VisCent,4.839939,False
DorsAttnA-VisPeri,8.621622,False
DorsAttnB-ContA,0.159164,False
DorsAttnB-ContB,4.065467,False
DorsAttnB-ContC,3.814743,False
DorsAttnB-DefaultA,5.267409,False
DorsAttnB-DefaultB,4.045246,False
DorsAttnB-DefaultC,0.067666,False
DorsAttnB-DorsAttnA,2.095418,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.215772,False
DorsAttnB-LimbicB,2.132771,False
DorsAttnB-SalVentAttnA,0.247692,False
DorsAttnB-SalVentAttnB,2.498098,False
DorsAttnB-SomMotA,0.788147,False
DorsAttnB-SomMotB,3.617484,False
DorsAttnB-TempPar,1.441739,False
DorsAttnB-VisCent,3.717374,False
DorsAttnB-VisPeri,0.323124,False
LimbicA-ContA,9.417004,False
LimbicA-ContB,0.444312,False
LimbicA-ContC,1.642867,False
LimbicA-DefaultA,4.915411,False
LimbicA-DefaultB,0.15491,False
LimbicA-DefaultC,1.372581,False
LimbicA-DorsAttnA,0.635236,False
LimbicA-DorsAttnB,0.58949,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,2.625357,False
LimbicA-SalVentAttnA,2.848732,False
LimbicA-SalVentAttnB,2.835604,False
LimbicA-SomMotA,0.333196,False
LimbicA-SomMotB,0.180472,False
LimbicA-TempPar,4.735423,False
LimbicA-VisCent,3.200238,False
LimbicA-VisPeri,0.659235,False
LimbicB-ContA,3.175595,False
LimbicB-ContB,4.333691,False
LimbicB-ContC,6.642722,False
LimbicB-DefaultA,8.248717,False
LimbicB-DefaultB,3.821312,False
LimbicB-DefaultC,1.056946,False
LimbicB-DorsAttnA,2.304953,False
LimbicB-DorsAttnB,4.117707,False
LimbicB-LimbicA,7.717913,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.408895,False
LimbicB-SalVentAttnB,9.248496,False
LimbicB-SomMotA,0.312832,False
LimbicB-SomMotB,0.542619,False
LimbicB-TempPar,2.063366,False
LimbicB-VisCent,0.178841,False
LimbicB-VisPeri,3.005993,False
SalVentAttnA-ContA,2.087907,False
SalVentAttnA-ContB,2.728253,False
SalVentAttnA-ContC,12.009534,False
SalVentAttnA-DefaultA,13.394297,False
SalVentAttnA-DefaultB,13.048093,False
SalVentAttnA-DefaultC,2.054565,False
SalVentAttnA-DorsAttnA,1.994494,False
SalVentAttnA-DorsAttnB,2.82851,False
SalVentAttnA-LimbicA,1.553264,False
SalVentAttnA-LimbicB,3.171582,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,3.036073,False
SalVentAttnA-SomMotA,1.582055,False
SalVentAttnA-SomMotB,0.621556,False
SalVentAttnA-TempPar,1.029408,False
SalVentAttnA-VisCent,1.647437,False
SalVentAttnA-VisPeri,0.740777,False
SalVentAttnB-ContA,0.701119,False
SalVentAttnB-ContB,1.786164,False
SalVentAttnB-ContC,10.325319,False
SalVentAttnB-DefaultA,7.203669,False
SalVentAttnB-DefaultB,3.455142,False
SalVentAttnB-DefaultC,0.977753,False
SalVentAttnB-DorsAttnA,0.073116,False
SalVentAttnB-DorsAttnB,4.336787,False
SalVentAttnB-LimbicA,6.622653,False
SalVentAttnB-LimbicB,34.619929,False
SalVentAttnB-SalVentAttnA,3.299377,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,3.167984,False
SalVentAttnB-SomMotB,1.049683,False
SalVentAttnB-TempPar,6.372979,False
SalVentAttnB-VisCent,0.052031,False
SalVentAttnB-VisPeri,3.225981,False
SomMotA-ContA,3.140935,False
SomMotA-ContB,0.460742,False
SomMotA-ContC,1.022952,False
SomMotA-DefaultA,1.057689,False
SomMotA-DefaultB,0.664048,False
SomMotA-DefaultC,0.155704,False
SomMotA-DorsAttnA,5.2799,False
SomMotA-DorsAttnB,0.835582,False
SomMotA-LimbicA,2.65847,False
SomMotA-LimbicB,8.807253,False
SomMotA-SalVentAttnA,0.420201,False
SomMotA-SalVentAttnB,10.643179,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,5.29796,False
SomMotA-TempPar,1.007067,False
SomMotA-VisCent,6.699138,False
SomMotA-VisPeri,12.528668,False
SomMotB-ContA,1.934417,False
SomMotB-ContB,0.223051,False
SomMotB-ContC,10.353179,False
SomMotB-DefaultA,9.979238,False
