network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.55998,False
ContA-ContC,4.411623,False
ContA-DefaultA,3.408051,False
ContA-DefaultB,11.766885,False
ContA-DefaultC,2.500876,False
ContA-DorsAttnA,1.57588,False
ContA-DorsAttnB,3.474809,False
ContA-LimbicA,7.524921,False
ContA-LimbicB,10.65425,False
ContA-SalVentAttnA,5.635553,False
ContA-SalVentAttnB,14.425813,False
ContA-SomMotA,1.762799,False
ContA-SomMotB,0.118417,False
ContA-TempPar,0.244798,False
ContA-VisCent,2.872597,False
ContA-VisPeri,0.441788,False
ContB-ContA,13.745821,False
ContB-ContB,0.0,True
ContB-ContC,3.195539,False
ContB-DefaultA,4.785775,False
ContB-DefaultB,16.884055,False
ContB-DefaultC,4.298789,False
ContB-DorsAttnA,9.607979,False
ContB-DorsAttnB,10.21619,False
ContB-LimbicA,8.228386,False
ContB-LimbicB,2.896097,False
ContB-SalVentAttnA,3.399195,False
ContB-SalVentAttnB,4.258126,False
ContB-SomMotA,7.677069,False
ContB-SomMotB,3.445983,False
ContB-TempPar,2.214933,False
ContB-VisCent,5.911203,False
ContB-VisPeri,10.034371,False
ContC-ContA,5.072458,False
ContC-ContB,2.375883,False
ContC-ContC,0.0,True
ContC-DefaultA,10.438597,False
ContC-DefaultB,4.366553,False
ContC-DefaultC,0.273279,False
ContC-DorsAttnA,3.01168,False
ContC-DorsAttnB,2.793958,False
ContC-LimbicA,3.500355,False
ContC-LimbicB,8.131838,False
ContC-SalVentAttnA,4.000223,False
ContC-SalVentAttnB,1.46795,False
ContC-SomMotA,1.957123,False
ContC-SomMotB,2.704845,False
ContC-TempPar,0.695291,False
ContC-VisCent,2.070241,False
ContC-VisPeri,2.218476,False
DefaultA-ContA,3.29756,False
DefaultA-ContB,0.931305,False
DefaultA-ContC,7.378741,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.71972,False
DefaultA-DefaultC,0.304582,False
DefaultA-DorsAttnA,6.54915,False
DefaultA-DorsAttnB,2.121342,False
DefaultA-LimbicA,3.212608,False
DefaultA-LimbicB,9.304409,False
DefaultA-SalVentAttnA,3.980027,False
DefaultA-SalVentAttnB,7.722694,False
DefaultA-SomMotA,2.03024,False
DefaultA-SomMotB,2.039852,False
DefaultA-TempPar,1.143186,False
DefaultA-VisCent,0.532802,False
DefaultA-VisPeri,1.653784,False
DefaultB-ContA,2.286577,False
DefaultB-ContB,5.875244,False
DefaultB-ContC,2.458917,False
DefaultB-DefaultA,1.157896,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.792012,False
DefaultB-DorsAttnA,3.348327,False
DefaultB-DorsAttnB,4.981152,False
DefaultB-LimbicA,0.757316,False
DefaultB-LimbicB,1.318209,False
DefaultB-SalVentAttnA,3.907777,False
DefaultB-SalVentAttnB,0.654961,False
DefaultB-SomMotA,0.200742,False
DefaultB-SomMotB,0.693311,False
DefaultB-TempPar,2.882839,False
DefaultB-VisCent,3.543611,False
DefaultB-VisPeri,2.50134,False
DefaultC-ContA,1.183995,False
DefaultC-ContB,8.369525,False
DefaultC-ContC,0.280226,False
DefaultC-DefaultA,0.714064,False
DefaultC-DefaultB,13.703628,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.582713,False
DefaultC-DorsAttnB,3.246338,False
DefaultC-LimbicA,0.135667,False
DefaultC-LimbicB,0.028945,False
DefaultC-SalVentAttnA,0.742383,False
DefaultC-SalVentAttnB,0.040966,False
DefaultC-SomMotA,2.066483,False
DefaultC-SomMotB,3.866939,False
DefaultC-TempPar,12.297386,False
DefaultC-VisCent,3.791998,False
DefaultC-VisPeri,5.504255,False
DorsAttnA-ContA,0.625208,False
DorsAttnA-ContB,1.358384,False
DorsAttnA-ContC,6.499847,False
DorsAttnA-DefaultA,1.579274,False
DorsAttnA-DefaultB,2.718659,False
DorsAttnA-DefaultC,1.911473,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,13.352642,False
DorsAttnA-LimbicA,1.73294,False
DorsAttnA-LimbicB,2.281684,False
DorsAttnA-SalVentAttnA,1.614615,False
DorsAttnA-SalVentAttnB,0.716743,False
DorsAttnA-SomMotA,0.038586,False
DorsAttnA-SomMotB,0.347173,False
