network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,11.682216,False
ContA-ContC,9.226324,False
ContA-DefaultA,2.777687,False
ContA-DefaultB,5.181531,False
ContA-DefaultC,1.39727,False
ContA-DorsAttnA,6.803201,False
ContA-DorsAttnB,6.419646,False
ContA-LimbicA,16.701522,False
ContA-LimbicB,12.525045,False
ContA-SalVentAttnA,0.04455,False
ContA-SalVentAttnB,7.248591,False
ContA-SomMotA,1.204783,False
ContA-SomMotB,3.919468,False
ContA-TempPar,4.286441,False
ContA-VisCent,0.075527,False
ContA-VisPeri,0.319658,False
ContB-ContA,2.514891,False
ContB-ContB,0.0,True
ContB-ContC,15.881746,False
ContB-DefaultA,5.685974,False
ContB-DefaultB,10.230646,False
ContB-DefaultC,0.47768,False
ContB-DorsAttnA,11.751339,False
ContB-DorsAttnB,7.1143,False
ContB-LimbicA,6.314943,False
ContB-LimbicB,13.717464,False
ContB-SalVentAttnA,3.517438,False
ContB-SalVentAttnB,4.818132,False
ContB-SomMotA,1.00777,False
ContB-SomMotB,7.590363,False
ContB-TempPar,3.873819,False
ContB-VisCent,1.286997,False
ContB-VisPeri,0.142651,False
ContC-ContA,1.358828,False
ContC-ContB,1.304329,False
ContC-ContC,0.0,True
ContC-DefaultA,9.059908,False
ContC-DefaultB,3.594809,False
ContC-DefaultC,4.561215,False
ContC-DorsAttnA,6.322881,False
ContC-DorsAttnB,5.744997,False
ContC-LimbicA,6.12165,False
ContC-LimbicB,24.293125,False
ContC-SalVentAttnA,1.268979,False
ContC-SalVentAttnB,9.001285,False
ContC-SomMotA,2.951892,False
ContC-SomMotB,1.122557,False
ContC-TempPar,7.542633,False
ContC-VisCent,1.629227,False
ContC-VisPeri,0.712457,False
DefaultA-ContA,0.131096,False
DefaultA-ContB,0.788537,False
DefaultA-ContC,24.053144,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.710705,False
DefaultA-DefaultC,2.499484,False
DefaultA-DorsAttnA,3.38626,False
DefaultA-DorsAttnB,4.392776,False
DefaultA-LimbicA,5.84667,False
DefaultA-LimbicB,24.831902,False
DefaultA-SalVentAttnA,0.05375,False
DefaultA-SalVentAttnB,6.631348,False
DefaultA-SomMotA,1.521707,False
DefaultA-SomMotB,2.390256,False
DefaultA-TempPar,3.317877,False
DefaultA-VisCent,0.663869,False
DefaultA-VisPeri,0.955175,False
DefaultB-ContA,0.0473,False
DefaultB-ContB,0.746168,False
DefaultB-ContC,15.504278,False
DefaultB-DefaultA,2.130518,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.147399,False
DefaultB-DorsAttnA,9.031637,False
DefaultB-DorsAttnB,7.153642,False
DefaultB-LimbicA,1.304226,False
DefaultB-LimbicB,31.845269,False
DefaultB-SalVentAttnA,1.424167,False
DefaultB-SalVentAttnB,6.359896,False
DefaultB-SomMotA,3.244018,False
DefaultB-SomMotB,3.29247,False
DefaultB-TempPar,5.590035,False
DefaultB-VisCent,0.475388,False
DefaultB-VisPeri,0.69832,False
DefaultC-ContA,1.042536,False
DefaultC-ContB,0.482923,False
DefaultC-ContC,2.670851,False
DefaultC-DefaultA,0.136729,False
DefaultC-DefaultB,5.845158,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,10.797612,False
DefaultC-DorsAttnB,8.433808,False
DefaultC-LimbicA,0.462737,False
DefaultC-LimbicB,8.580043,False
DefaultC-SalVentAttnA,5.835195,False
DefaultC-SalVentAttnB,1.399461,False
DefaultC-SomMotA,2.3255,False
DefaultC-SomMotB,4.598484,False
DefaultC-TempPar,1.557647,False
DefaultC-VisCent,0.124135,False
DefaultC-VisPeri,0.790606,False
DorsAttnA-ContA,9.051555,False
DorsAttnA-ContB,14.75845,False
DorsAttnA-ContC,7.405862,False
DorsAttnA-DefaultA,5.924999,False
DorsAttnA-DefaultB,6.471879,False
DorsAttnA-DefaultC,7.330697,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.610726,False
DorsAttnA-LimbicA,6.577336,False
DorsAttnA-LimbicB,13.433272,False
DorsAttnA-SalVentAttnA,6.609131,False
DorsAttnA-SalVentAttnB,5.137811,False
DorsAttnA-SomMotA,6.654651,False
DorsAttnA-SomMotB,5.741798,False
DorsAttnA-TempPar,7.804641,False
DorsAttnA-VisCent,1.367319,False
DorsAttnA-VisPeri,0.270039,False
DorsAttnB-ContA,0.61228,False
DorsAttnB-ContB,3.2483,False
DorsAttnB-ContC,5.998653,False
DorsAttnB-DefaultA,2.276428,False
DorsAttnB-DefaultB,3.479557,False
DorsAttnB-DefaultC,1.499809,False
DorsAttnB-DorsAttnA,3.633738,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.8846,False
DorsAttnB-LimbicB,3.553354,False
DorsAttnB-SalVentAttnA,7.797975,False
DorsAttnB-SalVentAttnB,2.793661,False
DorsAttnB-SomMotA,3.433187,False
DorsAttnB-SomMotB,3.903977,False
DorsAttnB-TempPar,2.375059,False
DorsAttnB-VisCent,3.048852,False
DorsAttnB-VisPeri,0.6497,False
LimbicA-ContA,1.123857,False
LimbicA-ContB,4.38035,False
LimbicA-ContC,7.494234,False
LimbicA-DefaultA,2.025998,False
LimbicA-DefaultB,4.64319,False
LimbicA-DefaultC,0.045855,False
LimbicA-DorsAttnA,4.589813,False
LimbicA-DorsAttnB,3.323079,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,14.042374,False
LimbicA-SalVentAttnA,0.142987,False
LimbicA-SalVentAttnB,13.326218,False
LimbicA-SomMotA,2.30962,False
LimbicA-SomMotB,3.504204,False
LimbicA-TempPar,6.885826,False
LimbicA-VisCent,3.374054,False
LimbicA-VisPeri,0.66127,False
LimbicB-ContA,0.572982,False
LimbicB-ContB,0.549098,False
LimbicB-ContC,3.875637,False
LimbicB-DefaultA,1.944189,False
LimbicB-DefaultB,3.717545,False
LimbicB-DefaultC,2.145364,False
LimbicB-DorsAttnA,3.886932,False
LimbicB-DorsAttnB,2.983525,False
LimbicB-LimbicA,0.531134,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.047825,False
LimbicB-SalVentAttnB,7.78662,False
LimbicB-SomMotA,0.310344,False
LimbicB-SomMotB,1.687888,False
LimbicB-TempPar,0.631463,False
LimbicB-VisCent,2.929136,False
LimbicB-VisPeri,0.682602,False
SalVentAttnA-ContA,6.880648,False
SalVentAttnA-ContB,1.102579,False
SalVentAttnA-ContC,0.196463,False
SalVentAttnA-DefaultA,0.808169,False
SalVentAttnA-DefaultB,2.009169,False
SalVentAttnA-DefaultC,1.313075,False
SalVentAttnA-DorsAttnA,3.037759,False
SalVentAttnA-DorsAttnB,0.131237,False
SalVentAttnA-LimbicA,3.172863,False
SalVentAttnA-LimbicB,2.107876,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.981904,False
SalVentAttnA-SomMotA,0.168104,False
SalVentAttnA-SomMotB,1.312121,False
SalVentAttnA-TempPar,1.901678,False
SalVentAttnA-VisCent,0.567511,False
SalVentAttnA-VisPeri,0.634511,False
SalVentAttnB-ContA,2.010805,False
SalVentAttnB-ContB,1.66173,False
SalVentAttnB-ContC,7.169978,False
SalVentAttnB-DefaultA,3.121306,False
SalVentAttnB-DefaultB,4.000945,False
SalVentAttnB-DefaultC,2.577534,False
SalVentAttnB-DorsAttnA,2.516152,False
SalVentAttnB-DorsAttnB,3.212755,False
SalVentAttnB-LimbicA,7.620909,False
SalVentAttnB-LimbicB,9.326677,False
SalVentAttnB-SalVentAttnA,1.577286,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.861369,False
SalVentAttnB-SomMotB,3.269333,False
SalVentAttnB-TempPar,0.743914,False
SalVentAttnB-VisCent,0.171434,False
SalVentAttnB-VisPeri,0.457992,False
SomMotA-ContA,6.581403,False
SomMotA-ContB,9.184781,False
SomMotA-ContC,1.952979,False
SomMotA-DefaultA,2.601377,False
SomMotA-DefaultB,5.185985,False
SomMotA-DefaultC,10.643348,False
SomMotA-DorsAttnA,3.211731,False
SomMotA-DorsAttnB,9.643555,False
SomMotA-LimbicA,5.593072,False
SomMotA-LimbicB,4.494802,False
SomMotA-SalVentAttnA,4.995584,False
SomMotA-SalVentAttnB,9.990329,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,9.018938,False
SomMotA-TempPar,2.183154,False
SomMotA-VisCent,1.538083,False
SomMotA-VisPeri,1.709533,False
SomMotB-ContA,7.539119,False
SomMotB-ContB,11.746544,False
SomMotB-ContC,0.642985,False
SomMotB-DefaultA,0.212681,False
SomMotB-DefaultB,1.256532,False
SomMotB-DefaultC,4.08234,False
SomMotB-DorsAttnA,0.071712,False
SomMotB-DorsAttnB,4.180682,False
SomMotB-LimbicA,3.957201,False
SomMotB-LimbicB,0.791616,False
SomMotB-SalVentAttnA,4.846199,False
SomMotB-SalVentAttnB,4.593307,False
SomMotB-SomMotA,6.840206,False
SomMotB-SomMotB,0.0,True
